0-0-0;Baseline;bench_test.go/BenchmarkMockSelectString;3188;663;18
0-0-0;Baseline;bench_test.go/BenchmarkMockSelectSeries;38012;6886;215
0-0-0;Baseline;bench_test.go/BenchmarkMockPreparedSelectString;1470;192;7
0-0-0;Baseline;bench_test.go/BenchmarkMockPreparedSelectSeries;35968;6528;205
0-0-0;Baseline;bench_test.go/BenchmarkEncodeInt64;209;24;3
0-0-0;Baseline;bench_test.go/BenchmarkEncodeFloat64;601;16;2
0-0-0;Baseline;bench_test.go/BenchmarkEncodeBytea;434;192;4
0-0-0;Baseline;bench_test.go/BenchmarkEncodeBool;156;16;2
0-0-0;Baseline;bench_test.go/BenchmarkDecodeInt64;84.8;16;2
0-0-0;Baseline;bench_test.go/BenchmarkDecodeFloat64;107;16;2
0-0-0;Baseline;bench_test.go/BenchmarkDecodeBool;5.74;0;0
0-1-0;Baseline;bench_test.go/BenchmarkMockSelectString;3187;663;18
0-1-0;Baseline;bench_test.go/BenchmarkMockSelectSeries;37946;6886;215
0-1-0;Baseline;bench_test.go/BenchmarkMockPreparedSelectString;1463;192;7
0-1-0;Baseline;bench_test.go/BenchmarkMockPreparedSelectSeries;36137;6528;205
0-1-0;Baseline;bench_test.go/BenchmarkEncodeInt64;210;24;3
0-1-0;Baseline;bench_test.go/BenchmarkEncodeFloat64;601;16;2
0-1-0;Baseline;bench_test.go/BenchmarkEncodeBytea;432;192;4
0-1-0;Baseline;bench_test.go/BenchmarkEncodeBool;155;16;2
0-1-0;Baseline;bench_test.go/BenchmarkDecodeInt64;84.9;16;2
0-1-0;Baseline;bench_test.go/BenchmarkDecodeFloat64;107;16;2
0-1-0;Baseline;bench_test.go/BenchmarkDecodeBool;5.74;0;0
0-2-0;Baseline;bench_test.go/BenchmarkMockSelectString;3189;663;18
0-2-0;Baseline;bench_test.go/BenchmarkMockSelectSeries;37958;6886;215
0-2-0;Baseline;bench_test.go/BenchmarkMockPreparedSelectString;1476;192;7
0-2-0;Baseline;bench_test.go/BenchmarkMockPreparedSelectSeries;36308;6528;205
0-2-0;Baseline;bench_test.go/BenchmarkEncodeInt64;209;24;3
0-2-0;Baseline;bench_test.go/BenchmarkEncodeFloat64;601;16;2
0-2-0;Baseline;bench_test.go/BenchmarkEncodeBytea;433;192;4
0-2-0;Baseline;bench_test.go/BenchmarkEncodeBool;155;16;2
0-2-0;Baseline;bench_test.go/BenchmarkDecodeInt64;84.7;16;2
