directory,dep_mgr,exec_err,c1_commit,c1_results,c2_commit,c2_results
cumulus-1/data/00/83/269792,Get,true,,-1,,-1
cumulus-1/data/07/99/375626,Get,true,,-1,,-1
cumulus-1/data/08/e7/236550,Get,true,01acf83d0d615b4f8726e94edf4470985ee176de,1196,,-1
cumulus-1/data/09/cb/476170,Get,true,,-1,,-1
cumulus-1/data/09/f8/320757,Get,false,83418750ee775aa24194606fffe7fec391975a65,2092,7875d65f2aa33e0d47d7073ec94b99ea12ab75f8,0
cumulus-1/data/0a/95/361196,Get,true,,-1,,-1
cumulus-1/data/0b/a3/456692,Get,false,b2b6a672cf1e5b90748f79b8b81fc8c5cf0571a1,0,e560fe7fca8975809db1a0204fb4bda759bd5160,0
cumulus-1/data/10/64/421068,Get,false,49fee9c1c0db1c366003ede4cc665f9924a97521,1524,4a8c7ffc00a27b61b71e3d7234bbae34f5385efa,0
cumulus-1/data/13/4b/439268,Get,true,3e349594b18615fd3052c0711207ec28ffcdcecd,1288,,-1
cumulus-1/data/13/cc/372992,Get,true,0db4a625e949e956314d7d1adea9bf82384cc10c,0,,-1
cumulus-1/data/14/e8/202709,Get,true,5f73c61bd19f0ea02a45cc5aaab0837772b320ea,0,,-1
cumulus-1/data/15/dc/382902,Glide,true,714d4d04557fd068a7c2a1748241ce8428015a96,966,,-1
cumulus-1/data/16/1b/185085,Get,true,6b28917edfbacd50bff4d58f951cf80499c952c4,3395,,-1
cumulus-1/data/19/07/76194,Get,true,8232ab8918d91c72af1a9fb94d3edbe31d88b790,0,,-1
cumulus-1/data/24/75/71848,Get,false,2dfbae5fcf46374f166f8969cb07e167f1be6273,1601,1b1cbf74bb120d9b43b7289d0332b9520f4c4e4a,0
cumulus-1/data/27/e0/67609,Get,false,d0303fe809921458f417bcf828397a65db30a7e4,3199,2839212f9689e409c9144f01b83d55d0d1a3ee94,0
cumulus-1/data/2b/55/71511,Get,true,,-1,,-1
cumulus-1/data/2c/5c/308926,Get,true,,-1,,-1
cumulus-1/data/2c/b8/203675,Get,false,8c81ea47d4c41a385645e133e15510fc6a2a74b4,718,b02b57c4af7a9bab3afbc78fc90e572307ccda22,0
cumulus-1/data/2d/8f/401224,Get,true,c4f8f99b25c74a821ffa41ca2e339cc24a6b4a67,0,,-1
cumulus-1/data/30/37/371826,Get,true,908281bef77441f2d0ec1792189b4032a1dace0c,2475,,-1
cumulus-1/data/34/0b/197606,Get,true,6f85e810e2b9f5a34256f427579527699efcc7be,2805,,-1
cumulus-1/data/34/78/89423,Get,true,,-1,,-1
cumulus-1/data/37/85/165133,Get,false,8becc86e7db2305c7398053e939d50e804a4df72,2902,81be7776fb3f74ff98f706348ef0bfa914fe2042,3070
cumulus-1/data/39/81/246621,Get,false,7b7b6a0d49740e36cd39226913b38cecf9ef76cb,2638,357a1faf3a5369c444dfb4b529a167f67be62e75,0
cumulus-1/data/3d/e2/109203,Get,true,,-1,,-1
cumulus-1/data/3e/5d/360024,Glide,true,b53b701fc3af89fdf5f2999ebbc3b778e8c18ccc,1524,,-1
cumulus-1/data/45/1c/370411,Get,true,afad843cf1d20085a2b1da225b4a5e777c958058,342,,-1
cumulus-1/data/45/87/171932,Get,true,0d3ff14e39c9f3dc59b579648b9a18b893d149c6,3662,,-1
