function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/utils/writers.go/Close,"""(github.com/ironsmile/nedomi/utils.nopCloser).Close""",17,65,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/handler/cache/part_writer.go/flushBuffer,"""(*github.com/ironsmile/nedomi/handler/cache.partWriter).flushBuffer""",14,126,11,0,1,18,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/handler/throttle/throttle.go/New,"""github.com/ironsmile/nedomi/handler/throttle.New""",1,47,3,3,2,25,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/upstream/balancing/bench_test.go/BenchmarkLegacyKetama,"""github.com/ironsmile/nedomi/upstream/balancing.BenchmarkLegacyKetama""",3,34,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/upstream/balancing/bench_test.go/BenchmarkRandom,"""github.com/ironsmile/nedomi/upstream/balancing.BenchmarkRandom""",3,34,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/config/config_test.go/TestExampleConfig,"""github.com/ironsmile/nedomi/config.TestExampleConfig""",16,339,17,1,0,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/handler/cache/part_reader.go/newWholeChunkReadCloser,"""github.com/ironsmile/nedomi/handler/cache.newWholeChunkReadCloser""",14,45,23,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/handler/headers/headers_test.go/TestRemoveFromRequest,"""github.com/ironsmile/nedomi/handler/headers.TestRemoveFromRequest""",4,192,21,1,0,38,19,1,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/tools/module_generator/main.go/readLinesFromInputFile,"""github.com/ironsmile/nedomi/tools/module_generator.readLinesFromInputFile""",1,144,22,0,1,16,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
/app/env_test.go/TestCleaningUpErrors,"""github.com/ironsmile/nedomi/app.TestCleaningUpErrors""",21,268,20,1,0,32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
