function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/db/ItemStoreQuery.go/checkPair,"""(*github.com/Everlag/poeitemstore/db.ItemStoreQuery).checkPair""",16,155,9,1,2,7,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/db/structs_gen.go/UnmarshalMsg,"""(*github.com/Everlag/poeitemstore/db.GGGID).UnmarshalMsg""",16,812,12,1,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/stash/compressed.go/NewChangeSet,"""github.com/Everlag/poeitemstore/stash.NewChangeSet""",9,144,12,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/stash/compressed_gen_test.go/BenchmarkUnmarshalCompressedResponse,"""github.com/Everlag/poeitemstore/stash.BenchmarkUnmarshalCompressedResponse""",9,238,36,1,0,12,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/db/IndexQuery.go/checkPair,"""(*github.com/Everlag/poeitemstore/db.IndexQuery).checkPair""",16,253,9,2,2,24,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/stash/assets.go/ModTime,"""(github.com/Everlag/poeitemstore/stash.bindataFileInfo).ModTime""",9,231,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/stash/assets.go/assetsBaseinfoJson,"""github.com/Everlag/poeitemstore/stash.assetsBaseinfoJson""",9,231,18,0,2,9,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/db/structs_gen_test.go/BenchmarkEncodeItemMod,"""github.com/Everlag/poeitemstore/db.BenchmarkEncodeItemMod""",16,690,22,1,0,12,9,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/stash/compressed_gen.go/EncodeMsg,"""(*github.com/Everlag/poeitemstore/stash.CompressedResponse).EncodeMsg""",9,436,9,1,1,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/stash/stash_easyjson.go/easyjson6ff8f229DecodeGithubComEverlagPoeitemstoreStash1,"""github.com/Everlag/poeitemstore/stash.easyjson6ff8f229DecodeGithubComEverlagPoeitemstoreStash1""",9,536,56,2,0,53,27,2,1,0,0,0,0,0,0,0,0,1,0,2,0,7,1,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
