function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/tcpip/buffer/view.go/ToView,"""(*github.com/google/netstack/tcpip/buffer.VectorisedView).ToView""",3,171,6,0,1,8,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/tcpip/transport/tcp/endpoint.go/Connect,"""(*github.com/google/netstack/tcpip/transport/tcp.endpoint).Connect""",11,1051,7,1,1,97,11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,2,8,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/tcpip/transport/tcp/segment.go/newSegment,"""github.com/google/netstack/tcpip/transport/tcp.newSegment""",11,137,10,3,1,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/dhcp/dhcp.go/op,"""(github.com/google/netstack/dhcp.header).op""",4,258,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/tcpip/header/ipv6.go/IsV4MappedAddress,"""github.com/google/netstack/tcpip/header.IsV4MappedAddress""",10,182,17,1,1,13,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/tcpip/link/fdbased/endpoint.go/Inject,"""(*github.com/google/netstack/tcpip/link/fdbased.InjectableEndpoint).Inject""",2,192,6,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/tcpip/stack/nic.go/AddSubnet,"""(*github.com/google/netstack/tcpip/stack.NIC).AddSubnet""",7,369,9,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/tcpip/stack/stack_test.go/NewEndpoint,"""(*github.com/google/netstack/tcpip/stack_test.fakeNetworkProtocol).NewEndpoint""",2,606,11,5,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/tcpip/transport/tcp/endpoint.go/readyReceiveSize,"""(*github.com/google/netstack/tcpip/transport/tcp.endpoint).readyReceiveSize""",11,1051,16,0,2,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
/waiter/waiter_test.go/TestConcurrentRegistration,"""github.com/google/netstack/waiter.TestConcurrentRegistration""",2,169,26,1,0,59,13,3,0,3,2,4,2,1,0,0,0,7,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/dhcp/client.go/Config,"""(*github.com/google/netstack/dhcp.Client).Config""",4,268,6,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/tcpip/header/ipv6.go/SetPayloadLength,"""(github.com/google/netstack/tcpip/header.IPv6).SetPayloadLength""",10,182,16,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/tcpip/seqnum/seqnum.go/Overlap,"""github.com/google/netstack/tcpip/seqnum.Overlap""",1,43,7,4,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/tcpip/transport/tcp/endpoint.go/Close,"""(*github.com/google/netstack/tcpip/transport/tcp.endpoint).Close""",11,1051,5,0,0,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/tcpip/transport/tcp/tcp_test.go/TestExponentialIncreaseDuringSlowStart,"""github.com/google/netstack/tcpip/transport/tcp_test.TestExponentialIncreaseDuringSlowStart""",2,2381,38,1,0,40,11,3,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/tcpip/transport/unix/unix.go/GetLocalAddress,"""(*github.com/google/netstack/tcpip/transport/unix.baseEndpoint).GetLocalAddress""",3,685,15,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/tcpip/transport/tcp/tcp_test.go/TestOutOfOrderFlood,"""github.com/google/netstack/tcpip/transport/tcp_test.TestOutOfOrderFlood""",2,2381,19,1,0,73,36,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/tcpip/transport/udp/endpoint.go/GetSockOpt,"""(*github.com/google/netstack/tcpip/transport/udp.endpoint).GetSockOpt""",3,696,10,1,1,46,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
/tcpip/transport/unix/unix.go/GetLocalAddress,"""(*github.com/google/netstack/tcpip/transport/unix.connectedEndpoint).GetLocalAddress""",3,685,15,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/tcpip/link/fdbased/endpoint_test.go/TestBufConfigMaxLength,"""github.com/google/netstack/tcpip/link/fdbased.TestBufConfigMaxLength""",2,96,22,1,0,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
