function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/demo/server/server.go/newTCPServer,"""github.com/fabiolb/fabio/demo/server.newTCPServer""",1,239,12,1,3,7,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/proxy/http_headers.go/addHeaders,"""github.com/fabiolb/fabio/proxy.addHeaders""",11,181,10,3,1,84,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/proxy/http_integration_test.go/TestProxyRequestIDHeader,"""github.com/fabiolb/fabio/proxy.TestProxyRequestIDHeader""",11,523,24,1,0,23,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/proxy/gzip/gzip_handler_test.go/Test_GzipHandler_CompressableType,"""github.com/fabiolb/fabio/proxy/gzip.Test_GzipHandler_CompressableType""",3,133,33,1,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,7,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
/route/parse_new.go/parseRouteAdd,"""github.com/fabiolb/fabio/route.parseRouteAdd""",15,206,13,1,2,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
main.go/startServers,"""github.com/fabiolb/fabio.startServers""",1,421,12,1,0,39,18,1,0,0,0,0,0,3,0,0,0,0,2,0,0,5,1,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/admin/server.go/handleHealth,"""github.com/fabiolb/fabio/admin.handleHealth""",2,57,12,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/cert/load_test.go/TestBase,"""github.com/fabiolb/fabio/cert.TestBase""",13,108,8,1,0,25,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/route/route.go/Len,"""(github.com/fabiolb/fabio/route.byN).Len""",15,301,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/proxy/tcp/tcptest/dialer.go/retry,"""github.com/fabiolb/fabio/proxy/tcp/tcptest.retry""",2,66,5,2,2,17,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/registry/consul/register.go/serviceRegistration,"""github.com/fabiolb/fabio/registry/consul.serviceRegistration""",8,126,19,1,2,47,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
