function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/lmd/listener.go/LocalListener,"""github.com/sni/lmd/lmd.LocalListener""",20,288,13,5,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
/lmd/objects.go/AddColumn,"""(*github.com/sni/lmd/lmd.Table).AddColumn""",20,882,9,4,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/lmd/peer.go/NewPeer,"""github.com/sni/lmd/lmd.NewPeer""",20,1937,7,4,1,45,14,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/lmd/peer.go/createLocalStatsCopy,"""github.com/sni/lmd/lmd.createLocalStatsCopy""",20,1937,20,1,1,10,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/lmd/peer.go/checkIcinga2Reload,"""(*github.com/sni/lmd/lmd.Peer).checkIcinga2Reload""",20,1937,18,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/lmd/filter.go/strValue,"""(*github.com/sni/lmd/lmd.Filter).strValue""",20,723,8,0,1,39,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/lmd/peer.go/updateIdleStatus,"""(*github.com/sni/lmd/lmd.Peer).updateIdleStatus""",20,1937,16,0,1,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/lmd/peer.go/HTTPQueryWithRetrys,"""(*github.com/sni/lmd/lmd.Peer).HTTPQueryWithRetrys""",20,1937,19,3,2,14,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/lmd/peer.go/GetRowValue,"""(*github.com/sni/lmd/lmd.Peer).GetRowValue""",20,1937,11,6,1,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/lmd/main.go/logPanicExit,"""github.com/sni/lmd/lmd.logPanicExit""",20,497,12,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
