function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/context/context.go/GetGlobalOk,"""github.com/tsurai/jantar/context.GetGlobalOk""",2,80,11,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jantar.go/initMiddleware,"""(*github.com/tsurai/jantar.Jantar).initMiddleware""",14,239,14,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jantar.go/listenAndServe,"""(*github.com/tsurai/jantar.Jantar).listenAndServe""",14,239,14,2,1,33,7,0,0,0,0,0,0,1,0,0,0,1,1,1,0,5,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jlogger.go/Debugdf,"""(*github.com/tsurai/jantar.JLogger).Debugdf""",14,274,7,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jlogger.go/Fataldf,"""(*github.com/tsurai/jantar.JLogger).Fataldf""",14,274,7,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
router.go/addRoute,"""(*github.com/tsurai/jantar.router).addRoute""",14,230,8,3,1,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jantar_test.go/resourceSetup,"""github.com/tsurai/jantar.resourceSetup""",14,185,13,1,3,36,24,3,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,1,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jantar_test.go/BenchmarkRoute75,"""github.com/tsurai/jantar.BenchmarkRoute75""",14,185,16,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/context/context.go/Set,"""github.com/tsurai/jantar/context.Set""",2,80,3,3,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
controller.go/setInternal,"""(*github.com/tsurai/jantar.Controller).setInternal""",14,69,11,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
