function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
slab.go/LocToBuf,"""(*github.com/couchbase/go-slab.Arena).LocToBuf""",2,493,8,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab.go/chunk,"""(*github.com/couchbase/go-slab.slabClass).chunk""",2,493,5,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab_test.go/TestAddRef,"""github.com/couchbase/go-slab.TestAddRef""",2,761,10,1,0,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab_test.go/TestArenaChunk,"""github.com/couchbase/go-slab.TestArenaChunk""",2,761,14,1,0,12,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab_test.go/TestAddRefOnAlreadyReleasedBuf,"""github.com/couchbase/go-slab.TestAddRefOnAlreadyReleasedBuf""",2,761,30,1,0,12,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab_test.go/TestPopFreeChunkOnFreeChunk,"""github.com/couchbase/go-slab.TestPopFreeChunkOnFreeChunk""",2,761,27,1,0,12,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab.go/defaultMalloc,"""github.com/couchbase/go-slab.defaultMalloc""",2,493,13,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab_test.go/TestEmptyChunk,"""github.com/couchbase/go-slab.TestEmptyChunk""",2,761,14,1,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab_test.go/TestChaining,"""github.com/couchbase/go-slab.TestChaining""",2,761,12,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab_test.go/benchmarkAllocingFunc,"""github.com/couchbase/go-slab.benchmarkAllocingFunc""",2,761,21,3,0,14,8,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab_test.go/testChainingSizes,"""github.com/couchbase/go-slab.testChainingSizes""",2,761,17,2,0,19,10,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab.go/addSlab,"""(*github.com/couchbase/go-slab.Arena).addSlab""",2,493,7,2,1,44,15,1,0,0,0,0,0,0,0,0,0,1,3,1,0,2,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab.go/addRef,"""(*github.com/couchbase/go-slab.chunk).addRef""",2,493,6,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab.go/pushFreeChunk,"""(*github.com/couchbase/go-slab.slabClass).pushFreeChunk""",2,493,13,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab_test.go/TestAddDecRefOnUnowned,"""github.com/couchbase/go-slab.TestAddDecRefOnUnowned""",2,761,22,1,0,18,13,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab.go/IsNil,"""(github.com/couchbase/go-slab.Loc).IsNil""",2,493,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab.go/Alloc,"""(*github.com/couchbase/go-slab.Arena).Alloc""",2,493,5,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab_test.go/TestPushFreeChunkOnReferencedChunk,"""github.com/couchbase/go-slab.TestPushFreeChunkOnReferencedChunk""",2,761,34,1,0,11,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab.go/AddRef,"""(*github.com/couchbase/go-slab.Arena).AddRef""",2,493,6,1,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab.go/BufToLoc,"""(*github.com/couchbase/go-slab.Arena).BufToLoc""",2,493,8,1,1,10,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab.go/LocAddRef,"""(*github.com/couchbase/go-slab.Arena).LocAddRef""",2,493,9,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab.go/findSlabClassIndex,"""(*github.com/couchbase/go-slab.Arena).findSlabClassIndex""",2,493,18,1,1,10,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
slab.go/chunk,"""(*github.com/couchbase/go-slab.Arena).chunk""",2,493,5,1,2,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab_test.go/BenchmarkAllocingModSizes,"""github.com/couchbase/go-slab.BenchmarkAllocingModSizes""",2,761,25,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab_test.go/TestLoc,"""github.com/couchbase/go-slab.TestLoc""",2,761,7,1,0,76,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab_test.go/BenchmarkReffing,"""github.com/couchbase/go-slab.BenchmarkReffing""",2,761,16,1,0,10,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab_test.go/TestStats,"""github.com/couchbase/go-slab.TestStats""",2,761,9,1,0,55,21,2,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
slab.go/LocDecRef,"""(*github.com/couchbase/go-slab.Arena).LocDecRef""",2,493,9,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slab.go/allocChunk,"""(*github.com/couchbase/go-slab.Arena).allocChunk""",2,493,10,1,2,25,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
