function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/parse/node.go/GetStringSlice,"""(*github.com/asteris-llc/converge/parse.Node).GetStringSlice""",2,281,14,1,2,21,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/render/renderer.go/getNearestAncestor,"""github.com/asteris-llc/converge/render.getNearestAncestor""",3,247,18,2,2,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/resource/file/content/preparer_test.go/TestPreparerInterface,"""github.com/asteris-llc/converge/resource/file/content_test.TestPreparerInterface""",2,15,21,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/resource/group/preparer.go/init,"""github.com/asteris-llc/converge/resource/group.init""",3,56,4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/resource/lvm/lv/lv_test.go/TestLVCheck,"""github.com/asteris-llc/converge/resource/lvm/lv_test.TestLVCheck""",2,165,11,1,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/resource/lvm/lv/lv_test.go/simpleApplyFailure,"""github.com/asteris-llc/converge/resource/lvm/lv_test.simpleApplyFailure""",2,165,18,5,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/rpc/security.go/WrapListener,"""(*github.com/asteris-llc/converge/rpc.Security).WrapListener""",15,108,12,1,2,25,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/rpc/pb/root.pb.go/_Info_Ping_Handler,"""github.com/asteris-llc/converge/rpc/pb._Info_Ping_Handler""",7,1010,18,4,2,16,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/helpers/logging/formatter.go/Format,"""(*github.com/asteris-llc/converge/helpers/logging.Formatter).Format""",3,159,6,1,2,40,21,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
/resource/lvm/testhelpers/lvm.go/CreatePhysicalVolume,"""(*github.com/asteris-llc/converge/resource/lvm/testhelpers.FakeLVM).CreatePhysicalVolume""",3,128,20,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
