function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
rawx12file_test.go/X12InterchangeControlVersion5010,"""github.com/azoner/gox12.X12InterchangeControlVersion5010""",9,124,32,1,0,11,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x12path_test.go/TestRefDesMatchingNone,"""github.com/azoner/gox12.TestRefDesMatchingNone""",9,260,22,1,0,13,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x12path_test.go/TestX12PathGeneralNoSegment,"""github.com/azoner/gox12.TestX12PathGeneralNoSegment""",9,260,27,1,0,53,14,1,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
path_finder.go/FindNext,"""(*github.com/azoner/gox12.HeaderPathFinder).FindNext""",9,113,8,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x12path.go/parseRefDes,"""github.com/azoner/gox12.parseRefDes""",9,238,11,1,4,35,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
x12path_test.go/TestSegmentParseFormatIdentity,"""github.com/azoner/gox12.TestSegmentParseFormatIdentity""",9,260,30,1,0,18,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
segment.go/SetValue,"""(*github.com/azoner/gox12.Segment).SetValue""",9,126,8,1,1,27,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
segment_test.go/TestSegmentString,"""github.com/azoner/gox12.TestSegmentString""",9,211,17,1,0,15,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x12path.go/getSubeleIdx,"""github.com/azoner/gox12.getSubeleIdx""",9,238,12,1,3,16,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
path_finder.go/NewHeaderMapFinder,"""github.com/azoner/gox12.NewHeaderMapFinder""",9,113,18,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
