function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/zapcore/json_encoder.go/AppendBool,"""(*github.com/uber-go/zap/zapcore.jsonEncoder).AppendBool""",16,446,10,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/zapcore/json_encoder.go/AddUint32,"""(*github.com/uber-go/zap/zapcore.jsonEncoder).AddUint32""",16,446,9,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/zapcore/memory_encoder.go/AddInt8,"""(*github.com/uber-go/zap/zapcore.MapObjectEncoder).AddInt8""",16,159,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/zapcore/console_encoder.go/Clone,"""(github.com/uber-go/zap/zapcore.consoleEncoder).Clone""",16,120,5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/zapcore/core.go/With,"""(github.com/uber-go/zap/zapcore.nopCore).With""",16,93,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/zapcore/tee.go/NewTee,"""github.com/uber-go/zap/zapcore.NewTee""",16,61,6,1,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.go/newEncoder,"""github.com/uber-go/zap.newEncoder""",16,53,10,2,2,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/zapcore/memory_encoder.go/AddUint8,"""(*github.com/uber-go/zap/zapcore.MapObjectEncoder).AddUint8""",16,159,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/zapcore/memory_encoder.go/OpenNamespace,"""(*github.com/uber-go/zap/zapcore.MapObjectEncoder).OpenNamespace""",16,159,13,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/zapcore/console_encoder.go/writeContext,"""(github.com/uber-go/zap/zapcore.consoleEncoder).writeContext""",16,120,12,2,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/zapcore/json_encoder.go/AppendFloat64,"""(*github.com/uber-go/zap/zapcore.jsonEncoder).AppendFloat64""",16,446,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/zapcore/json_encoder.go/AppendUint8,"""(*github.com/uber-go/zap/zapcore.jsonEncoder).AppendUint8""",16,446,11,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/zapcore/memory_encoder.go/AppendComplex64,"""(*github.com/uber-go/zap/zapcore.sliceArrayEncoder).AppendComplex64""",16,159,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/buffer/buffer.go/Cap,"""(*github.com/uber-go/zap/buffer.Buffer).Cap""",4,83,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/zapcore/encoder.go/StringDurationEncoder,"""github.com/uber-go/zap/zapcore.StringDurationEncoder""",16,304,21,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/zapcore/json_encoder.go/appendFloat,"""(*github.com/uber-go/zap/zapcore.jsonEncoder).appendFloat""",16,446,11,2,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/zapcore/memory_encoder.go/AddDuration,"""(github.com/uber-go/zap/zapcore.MapObjectEncoder).AddDuration""",16,159,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
