function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/iavl/iavl_test.go/b2i,"""github.com/tendermint/merkleeyes/iavl.b2i""",7,630,3,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/iavl/iavl_tree.go/Save,"""(*github.com/tendermint/merkleeyes/iavl.IAVLTree).Save""",7,327,4,0,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/iavl/iavl_tree.go/GetByIndex,"""(*github.com/tendermint/merkleeyes/iavl.IAVLTree).GetByIndex""",7,327,10,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/cmd/loadtest.go/LoadTest,"""github.com/tendermint/merkleeyes/cmd.LoadTest""",5,139,8,2,0,23,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/cmd/version.go/init,"""github.com/tendermint/merkleeyes/cmd.init""",5,21,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/cmd/merkleeyes/main.go/main,"""github.com/tendermint/merkleeyes/cmd/merkleeyes.main""",1,13,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/iavl/iavl_node.go/getRightNode,"""(*github.com/tendermint/merkleeyes/iavl.IAVLNode).getRightNode""",7,526,12,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/iavl/iavl_tree.go/HashWithCount,"""(*github.com/tendermint/merkleeyes/iavl.IAVLTree).HashWithCount""",7,327,13,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/tests/client_test.go/testProcedure,"""github.com/tendermint/merkleeyes/tests.testProcedure""",1,121,13,4,0,69,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/client/client.go/Get,"""(*github.com/tendermint/merkleeyes/client.Client).Get""",1,115,3,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/cmd/dump.go/init,"""github.com/tendermint/merkleeyes/cmd.init""",5,67,4,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/iavl/iavl_test.go/i2b,"""github.com/tendermint/merkleeyes/iavl.i2b""",7,630,3,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/iavl/iavl_test.go/T,"""github.com/tendermint/merkleeyes/iavl.T""",7,630,1,1,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/tests/client_test.go/TestPersistent,"""github.com/tendermint/merkleeyes/tests.TestPersistent""",1,121,14,1,0,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
/benchmarks/bench_test.go/BenchmarkLarge,"""github.com/tendermint/merkleeyes/benchmarks.BenchmarkLarge""",1,308,14,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/cmd/loadtest.go/memUseMB,"""github.com/tendermint/merkleeyes/cmd.memUseMB""",5,139,8,0,1,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/iavl/iavl_node.go/lmd,"""(*github.com/tendermint/merkleeyes/iavl.IAVLNode).lmd""",7,526,3,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/iavl/iavl_tree.go/newNodeDB,"""github.com/tendermint/merkleeyes/iavl.newNodeDB""",7,327,9,2,1,11,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/iavl/iavl_test.go/expectTraverse,"""github.com/tendermint/merkleeyes/iavl.expectTraverse""",7,630,14,4,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/app/app_test.go/makeQuery,"""github.com/tendermint/merkleeyes/app.makeQuery""",3,122,9,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/iavl/iavl_node.go/rotateLeft,"""(*github.com/tendermint/merkleeyes/iavl.IAVLNode).rotateLeft""",7,526,10,1,1,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/cmd/app.go/StartServer,"""github.com/tendermint/merkleeyes/cmd.StartServer""",5,50,11,2,0,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/iavl/iavl_test.go/N,"""github.com/tendermint/merkleeyes/iavl.N""",7,630,1,1,1,21,6,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/tests/client_test.go/commit,"""github.com/tendermint/merkleeyes/tests.commit""",1,121,6,3,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
