function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
db.go/Begin,"""(*github.com/boltdb/bolt.DB).Begin""",15,1039,5,1,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tx.go/Writable,"""(*github.com/boltdb/bolt.Tx).Writable""",15,684,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bucket_test.go/TestBucket_NextSequence_ReadOnly,"""github.com/boltdb/bolt_test.TestBucket_NextSequence_ReadOnly""",6,1909,32,1,0,22,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bucket_test.go/TestBucket_Delete,"""github.com/boltdb/bolt_test.TestBucket_Delete""",6,1909,17,1,0,22,17,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cursor_test.go/TestCursor_Seek,"""github.com/boltdb/bolt_test.TestCursor_Seek""",6,817,15,1,0,68,61,0,0,0,0,0,0,0,0,0,0,0,0,21,0,17,0,0,0,0,1,18,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
db_test.go/MustCheck,"""(*github.com/boltdb/bolt_test.DB).MustCheck""",6,1545,9,0,0,35,18,2,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/cmd/bolt/main.go/runReadsSequentialNested,"""(*github.com/boltdb/bolt/cmd/bolt.BenchCommand).runReadsSequentialNested""",1,1740,24,3,1,34,10,2,1,0,0,0,0,0,0,0,0,2,0,1,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cursor.go/Seek,"""(*github.com/boltdb/bolt.Cursor).Seek""",15,400,4,1,2,14,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tx.go/page,"""(*github.com/boltdb/bolt.Tx).page""",15,684,4,1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cursor_test.go/TestCursor_Restart,"""github.com/boltdb/bolt_test.TestCursor_Restart""",6,817,18,1,0,43,36,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,1,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
simulation_test.go/randValue,"""github.com/boltdb/bolt_test.randValue""",6,329,9,0,1,7,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/cmd/bolt/main.go/newBenchCommand,"""github.com/boltdb/bolt/cmd/bolt.newBenchCommand""",1,1740,15,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cursor.go/Delete,"""(*github.com/boltdb/bolt.Cursor).Delete""",15,400,6,0,1,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
page.go/hexdump,"""(*github.com/boltdb/bolt.page).hexdump""",15,197,7,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tx_test.go/TestTx_Cursor,"""github.com/boltdb/bolt_test.TestTx_Cursor""",6,716,13,1,0,35,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,1,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bucket_test.go/TestBucket_DeleteBucket_Nested,"""github.com/boltdb/bolt_test.TestBucket_DeleteBucket_Nested""",6,1909,30,1,0,29,22,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
db.go/beginTx,"""(*github.com/boltdb/bolt.DB).beginTx""",15,1039,7,0,2,36,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
/cmd/bolt/main_test.go/fillBucket,"""github.com/boltdb/bolt/cmd/bolt_test.fillBucket""",1,356,10,2,1,30,17,2,0,0,0,0,0,0,0,0,0,2,0,3,0,5,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
