function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
proxy.go/start,"""github.com/Shopify/toxiproxy.start""",7,225,5,1,1,11,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toxic_collection.go/GetToxic,"""(*github.com/Shopify/toxiproxy.ToxicCollection).GetToxic""",7,260,8,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/cli/cli.go/sortedAttributes,"""github.com/Shopify/toxiproxy/cli.sortedAttributes""",1,603,16,1,1,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
/cli/cli.go/errorf,"""github.com/Shopify/toxiproxy/cli.errorf""",1,603,6,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/toxics/limit_data_test.go/buffer,"""github.com/Shopify/toxiproxy/toxics_test.buffer""",6,160,6,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/toxics/limit_data_test.go/TestLimitDataToxicChunkBiggerThanLimit,"""github.com/Shopify/toxiproxy/toxics_test.TestLimitDataToxicChunkBiggerThanLimit""",6,160,38,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
api_test.go/TestPopulateWithBadName,"""github.com/Shopify/toxiproxy_test.TestPopulateWithBadName""",3,983,23,1,0,31,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/toxics/latency_test.go/TestTwoLatencyToxics,"""github.com/Shopify/toxiproxy/toxics_test.TestTwoLatencyToxics""",6,250,20,1,0,39,21,2,0,1,0,1,0,0,0,0,0,1,0,3,0,4,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
/toxics/limit_data_test.go/TestLimitDataToxicMayBeRestarted,"""github.com/Shopify/toxiproxy/toxics_test.TestLimitDataToxicMayBeRestarted""",6,160,32,1,0,29,13,0,0,2,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
api_test.go/TestCreateDisabledProxy,"""github.com/Shopify/toxiproxy_test.TestCreateDisabledProxy""",3,983,23,1,0,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
