function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
rpcwebsocket.go/newWebsocketClient,"""github.com/btcsuite/btcd.newWebsocketClient""",18,2618,18,5,2,23,7,0,0,3,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/blockchain/fullblocktests/generate.go/countBlockSigOps,"""github.com/btcsuite/btcd/blockchain/fullblocktests.countBlockSigOps""",3,2126,16,1,1,14,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/database/ffldb/db.go/DeleteBucket,"""(*github.com/btcsuite/btcd/database/ffldb.bucket).DeleteBucket""",11,2080,12,1,1,53,24,3,2,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/txscript/script_test.go/TestIsUnspendable,"""github.com/btcsuite/btcd/txscript.TestIsUnspendable""",24,4188,17,1,0,31,3,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpcwebsocket.go/RegisterSpentRequests,"""(*github.com/btcsuite/btcd.wsNotificationManager).RegisterSpentRequests""",18,2618,21,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/btcjson/btcdextresults_test.go/TestBtcdExtCustomResults,"""github.com/btcsuite/btcd/btcjson_test.TestBtcdExtCustomResults""",19,50,24,1,0,37,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/btcjson/chainsvrcmds_test.go/TestChainSvrCmds,"""github.com/btcsuite/btcd/btcjson_test.TestChainSvrCmds""",19,1172,16,1,0,1103,284,1,0,0,0,0,0,0,0,0,0,1,0,22,4,8,0,0,0,0,0,10,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/wire/msgreject_test.go/TestRejectCodeStringer,"""github.com/btcsuite/btcd/wire.TestRejectCodeStringer""",63,379,22,1,0,26,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/blockchain/blockindex.go/LookupNode,"""(*github.com/btcsuite/btcd/blockchain.blockIndex).LookupNode""",25,457,10,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/chaincfg/register_test.go/TestRegister,"""github.com/btcsuite/btcd/chaincfg_test.TestRegister""",1,380,12,1,0,357,11,5,4,0,0,0,0,0,0,0,0,0,0,23,0,5,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
