function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/internal/clusterinfo/data.go/GetLookupdProducers,"""(*github.com/nsqio/nsq/internal/clusterinfo.ClusterInfo).GetLookupdProducers""",3,890,19,1,2,66,29,3,1,0,0,0,0,1,0,0,0,3,0,3,1,6,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0
/nsqadmin/notify.go/notifyAdminAction,"""(*github.com/nsqio/nsq/nsqadmin.httpServer).notifyAdminAction""",9,71,17,2,0,30,9,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/nsqd/lookup.go/lookupLoop,"""(*github.com/nsqio/nsq/nsqd.NSQD).lookupLoop""",29,198,10,0,0,121,47,8,7,1,0,5,0,0,0,1,5,4,0,5,0,10,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0
/nsqd/protocol_v2.go/IDENTIFY,"""(*github.com/nsqio/nsq/nsqd.protocolV2).IDENTIFY""",29,1012,8,2,2,140,62,0,0,0,0,0,0,0,0,0,0,3,0,1,0,22,0,0,0,0,0,27,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Sub256,"""github.com/nsqio/nsq/nsqd.BenchmarkProtocolV2Sub256""",29,1876,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/nsqlookupd/nsqlookupd_test.go/identify,"""github.com/nsqio/nsq/nsqlookupd.identify""",13,370,8,2,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/bench/bench_writer/bench_writer.go/pubWorker,"""github.com/nsqio/nsq/bench/bench_writer.pubWorker""",1,111,9,7,0,38,29,1,0,0,1,1,0,0,0,0,0,1,0,0,0,7,0,0,6,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
/internal/http_api/compress.go/CompressHandler,"""github.com/nsqio/nsq/internal/http_api.CompressHandler""",6,85,15,1,1,48,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/pqueue/pqueue.go/Len,"""(github.com/nsqio/nsq/internal/pqueue.PriorityQueue).Len""",2,75,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Sub512,"""github.com/nsqio/nsq/nsqd.BenchmarkProtocolV2Sub512""",29,1876,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
