function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
director.go/ruleExists,"""(*github.com/jaredfolkins/badactor.Director).ruleExists""",20,284,10,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infraction.go/newInfraction,"""github.com/jaredfolkins/badactor.newInfraction""",20,21,13,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
studio.go/AddRule,"""(*github.com/jaredfolkins/badactor.Studio).AddRule""",20,161,7,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
benchmark_test.go/BenchmarkIsJailedFor,"""github.com/jaredfolkins/badactor.BenchmarkIsJailedFor""",20,142,20,1,0,26,14,2,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
director_test.go/TestAddRule,"""github.com/jaredfolkins/badactor.TestAddRule""",20,644,11,1,0,16,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actor.go/timeServed,"""(*github.com/jaredfolkins/badactor.Actor).timeServed""",20,190,10,1,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
studio.go/IsJailed,"""(*github.com/jaredfolkins/badactor.Studio).IsJailed""",20,161,8,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infraction_test.go/TestNewInfraction,"""github.com/jaredfolkins/badactor.TestNewInfraction""",20,52,17,1,0,20,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
studio.go/NewStudio,"""github.com/jaredfolkins/badactor.NewStudio""",20,161,9,1,1,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
studio.go/KeepAlive,"""(*github.com/jaredfolkins/badactor.Studio).KeepAlive""",20,161,9,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
studio.go/InfractionExists,"""(*github.com/jaredfolkins/badactor.Studio).InfractionExists""",20,161,16,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
studio.go/Director,"""(github.com/jaredfolkins/badactor.Studio).Director""",20,161,8,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actor_test.go/TestActorExpire,"""github.com/jaredfolkins/badactor.TestActorExpire""",20,482,15,1,0,44,22,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
director.go/isFull,"""(*github.com/jaredfolkins/badactor.Director).isFull""",20,284,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
director.go/up,"""(*github.com/jaredfolkins/badactor.Director).up""",20,284,2,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
director.go/incrementInfraction,"""(*github.com/jaredfolkins/badactor.Director).incrementInfraction""",20,284,19,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actor_test.go/TestActorRebaseAll,"""github.com/jaredfolkins/badactor.TestActorRebaseAll""",20,482,18,1,0,32,18,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
studio_test.go/TestStudioAddRules,"""github.com/jaredfolkins/badactor.TestStudioAddRules""",20,433,18,1,0,38,9,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jail.go/newJail,"""github.com/jaredfolkins/badactor.newJail""",20,17,7,2,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
studio.go/Infraction,"""(*github.com/jaredfolkins/badactor.Studio).Infraction""",20,161,10,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actor_test.go/TestActorJail,"""github.com/jaredfolkins/badactor.TestActorJail""",20,482,13,1,0,28,14,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
actor.go/rebaseAll,"""(*github.com/jaredfolkins/badactor.Actor).rebaseAll""",20,190,9,0,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
action_test.go/WhenJailed,"""(*github.com/jaredfolkins/badactor.MockAction).WhenJailed""",20,121,10,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actor_test.go/TestActorTotalJails,"""github.com/jaredfolkins/badactor.TestActorTotalJails""",20,482,19,1,0,26,14,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
studio_bench_test.go/BenchmarkStudioInfraction2048,"""github.com/jaredfolkins/badactor.BenchmarkStudioInfraction2048""",20,177,29,1,0,26,9,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
actor.go/isJailed,"""(*github.com/jaredfolkins/badactor.Actor).isJailed""",20,190,8,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
director.go/maintenance,"""(*github.com/jaredfolkins/badactor.Director).maintenance""",20,284,11,1,0,15,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
director.go/createInfraction,"""(*github.com/jaredfolkins/badactor.Director).createInfraction""",20,284,16,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
director_test.go/TestDirectorlMaintenance,"""github.com/jaredfolkins/badactor.TestDirectorlMaintenance""",20,644,24,1,0,97,28,2,0,0,0,0,0,0,0,0,0,6,2,0,0,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
actor.go/createInfraction,"""(*github.com/jaredfolkins/badactor.Actor).createInfraction""",20,190,16,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
director.go/lIsJailed,"""(*github.com/jaredfolkins/badactor.Director).lIsJailed""",20,284,9,1,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
studio_test.go/TestStudioCreateInfraction,"""github.com/jaredfolkins/badactor.TestStudioCreateInfraction""",20,433,26,1,0,41,12,0,0,0,0,0,0,0,0,0,0,4,1,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
studio_test.go/TestStudioCreateDirectors,"""github.com/jaredfolkins/badactor.TestStudioCreateDirectors""",20,433,25,1,0,30,11,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
director_test.go/TestIsJailedFor,"""github.com/jaredfolkins/badactor.TestIsJailedFor""",20,644,15,1,0,39,18,1,0,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
studio_test.go/TestStudioIsJailed,"""github.com/jaredfolkins/badactor.TestStudioIsJailed""",20,433,18,1,0,42,10,1,0,0,0,0,0,0,0,0,0,6,1,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
director.go/lCreateActor,"""(*github.com/jaredfolkins/badactor.Director).lCreateActor""",20,284,12,2,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
director.go/isJailedFor,"""(*github.com/jaredfolkins/badactor.Director).isJailedFor""",20,284,11,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
director.go/actor,"""(*github.com/jaredfolkins/badactor.Director).actor""",20,284,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infraction.go/rebase,"""(*github.com/jaredfolkins/badactor.infraction).rebase""",20,21,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
director_test.go/TestMaintenanceWhenActorDoesntExist,"""github.com/jaredfolkins/badactor.TestMaintenanceWhenActorDoesntExist""",20,644,35,1,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
studio_bench_test.go/BenchmarkStudioInfraction1024,"""github.com/jaredfolkins/badactor.BenchmarkStudioInfraction1024""",20,177,29,1,0,26,9,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
director.go/lActorExists,"""(*github.com/jaredfolkins/badactor.Director).lActorExists""",20,284,12,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
studio.go/ActorExists,"""(*github.com/jaredfolkins/badactor.Studio).ActorExists""",20,161,11,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actor_test.go/TestActorInfractionExists,"""github.com/jaredfolkins/badactor.TestActorInfractionExists""",20,482,25,1,0,33,18,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
benchmark_test.go/BenchmarkInfractionlIsJailedFor,"""github.com/jaredfolkins/badactor.BenchmarkInfractionlIsJailedFor""",20,142,31,1,0,25,13,2,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
studio_test.go/TestStudioStrikes,"""github.com/jaredfolkins/badactor.TestStudioStrikes""",20,433,17,1,0,61,19,0,0,0,0,0,0,0,0,0,0,5,1,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actor.go/shouldDelete,"""(*github.com/jaredfolkins/badactor.Actor).shouldDelete""",20,190,12,0,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
director.go/deleteOldest,"""(*github.com/jaredfolkins/badactor.Director).deleteOldest""",20,284,12,0,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
director_test.go/TestInfraction,"""github.com/jaredfolkins/badactor.TestInfraction""",20,644,14,1,0,45,21,0,0,0,0,0,0,0,0,0,0,3,1,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
director_test.go/TestInfractionExists,"""github.com/jaredfolkins/badactor.TestInfractionExists""",20,644,20,1,0,32,17,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
actor.go/infractionExists,"""(*github.com/jaredfolkins/badactor.Actor).infractionExists""",20,190,16,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
director.go/lAddRule,"""(*github.com/jaredfolkins/badactor.Director).lAddRule""",20,284,8,1,1,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
studio.go/CreateInfraction,"""(*github.com/jaredfolkins/badactor.Studio).CreateInfraction""",20,161,16,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
studio_test.go/TestStudioStartReaper,"""github.com/jaredfolkins/badactor.TestStudioStartReaper""",20,433,21,1,0,40,10,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
director.go/NewDirector,"""github.com/jaredfolkins/badactor.NewDirector""",20,284,11,1,1,8,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
director_test.go/TestCreateInfraction,"""github.com/jaredfolkins/badactor.TestCreateInfraction""",20,644,20,1,0,41,20,0,0,0,0,0,0,0,0,0,0,3,1,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
actor_test.go/TestActorShouldDelete,"""github.com/jaredfolkins/badactor.TestActorShouldDelete""",20,482,21,1,0,83,34,2,0,0,0,0,0,0,0,0,0,3,1,0,0,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
director_test.go/TestActorExists,"""github.com/jaredfolkins/badactor.TestActorExists""",20,644,15,1,0,31,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
director_test.go/TestDirectorlIsJailedFor,"""github.com/jaredfolkins/badactor.TestDirectorlIsJailedFor""",20,644,24,1,0,60,26,1,0,0,0,0,0,0,0,0,0,3,1,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
director_test.go/TestDeleteOldest,"""github.com/jaredfolkins/badactor.TestDeleteOldest""",20,644,16,1,0,44,18,1,0,0,0,0,0,0,0,0,0,4,1,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
director.go/isJailed,"""(*github.com/jaredfolkins/badactor.Director).isJailed""",20,284,8,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
studio_bench_test.go/BenchmarkStudioInfraction4096,"""github.com/jaredfolkins/badactor.BenchmarkStudioInfraction4096""",20,177,29,1,0,26,9,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
actor.go/strikes,"""(*github.com/jaredfolkins/badactor.Actor).strikes""",20,190,7,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actor.go/jail,"""(*github.com/jaredfolkins/badactor.Actor).jail""",20,190,4,1,1,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actor.go/hasJails,"""(*github.com/jaredfolkins/badactor.Actor).hasJails""",20,190,8,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
studio_test.go/TestStudioAddRule,"""github.com/jaredfolkins/badactor.TestStudioAddRule""",20,433,17,1,0,21,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
director.go/lTimeToLive,"""(*github.com/jaredfolkins/badactor.Director).lTimeToLive""",20,284,11,1,2,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
action_test.go/Log,"""(*github.com/jaredfolkins/badactor.MockAction).Log""",20,121,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actor_test.go/WhenTimeServed,"""(*github.com/jaredfolkins/badactor.ActorMockAction).WhenTimeServed""",20,482,14,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
director_test.go/TestInfractionIncrement,"""github.com/jaredfolkins/badactor.TestInfractionIncrement""",20,644,23,1,0,33,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
actor.go/newClassicActor,"""github.com/jaredfolkins/badactor.newClassicActor""",20,190,15,3,1,12,6,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
director.go/infractionExists,"""(*github.com/jaredfolkins/badactor.Director).infractionExists""",20,284,16,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
studio.go/CreateDirectors,"""(*github.com/jaredfolkins/badactor.Studio).CreateDirectors""",20,161,15,1,1,7,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
