function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
terminals_test.go/TestTerminalHex,"""github.com/prataprc/goparsec.TestTerminalHex""",6,445,15,1,0,16,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/expr/expr_test.go/BenchmarkExpr3Op,"""github.com/prataprc/goparsec/expr.BenchmarkExpr3Op""",3,47,16,1,0,6,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/json/json_test.go/BenchmarkJSONInt,"""github.com/prataprc/goparsec/json.BenchmarkJSONInt""",3,231,16,1,0,6,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/json/json_test.go/BenchmarkEncJSONNull,"""github.com/prataprc/goparsec/json.BenchmarkEncJSONNull""",3,231,20,1,0,7,5,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parsec.go/ManyUntil,"""github.com/prataprc/goparsec.ManyUntil""",6,284,9,2,1,36,12,1,0,0,0,0,0,0,0,0,0,5,0,1,0,6,1,3,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
terminals_test.go/BenchmarkTerminalInt,"""github.com/prataprc/goparsec.BenchmarkTerminalInt""",6,445,20,1,0,6,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/json/json.go/scanString,"""github.com/prataprc/goparsec/json.scanString""",3,547,10,1,2,82,14,2,0,0,0,0,0,0,0,0,0,1,0,1,0,10,1,5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scanner_test.go/TestEndof,"""github.com/prataprc/goparsec.TestEndof""",6,244,9,1,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/json/json.go/comma,"""github.com/prataprc/goparsec/json.comma""",3,547,5,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/json/json_test.go/BenchmarkEncJSONBool,"""github.com/prataprc/goparsec/json.BenchmarkEncJSONBool""",3,231,20,1,0,7,5,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/json/json.go/getu4,"""github.com/prataprc/goparsec/json.getu4""",3,547,5,1,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
scanner.go/SetWSPattern,"""(*github.com/prataprc/goparsec.SimpleScanner).SetWSPattern""",6,208,12,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
terminals_test.go/TestNoEnd,"""github.com/prataprc/goparsec.TestNoEnd""",6,445,9,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/expr/expr.go/exprValueNode,"""github.com/prataprc/goparsec/expr.exprValueNode""",3,113,13,1,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
/expr/expr_test.go/BenchmarkExpr2Op,"""github.com/prataprc/goparsec/expr.BenchmarkExpr2Op""",3,47,16,1,0,6,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/json/json.go/openBrace,"""github.com/prataprc/goparsec/json.openBrace""",3,547,9,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/json/json.go/sTring,"""github.com/prataprc/goparsec/json.sTring""",3,547,6,0,1,26,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
terminals.go/Ident,"""github.com/prataprc/goparsec.Ident""",6,297,5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
terminals_test.go/TestTerminalFloat,"""github.com/prataprc/goparsec.TestTerminalFloat""",6,445,17,1,0,48,36,1,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scanner.go/TrackLineno,"""(*github.com/prataprc/goparsec.SimpleScanner).TrackLineno""",6,208,11,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
terminals.go/End,"""github.com/prataprc/goparsec.End""",6,297,3,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/expr/expr_test.go/BenchmarkExpr1Op,"""github.com/prataprc/goparsec/expr.BenchmarkExpr1Op""",3,47,16,1,0,6,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
