function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
conn.go/Names,"""(*github.com/tianon/debian-golang-dbus.Conn).Names""",27,609,5,0,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
encoder.go/encode,"""(*github.com/tianon/debian-golang-dbus.encoder).encode""",27,179,6,2,0,121,114,3,0,0,0,0,0,0,0,0,0,4,0,3,0,11,2,18,10,0,0,35,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sig.go/Empty,"""(github.com/tianon/debian-golang-dbus.Signature).Empty""",27,257,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
variant.go/format,"""(github.com/tianon/debian-golang-dbus.Variant).format""",27,139,6,0,2,71,46,3,0,0,0,0,0,0,0,0,0,2,0,2,0,5,2,9,0,0,0,21,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
auth_sha1.go/HandleData,"""(github.com/tianon/debian-golang-dbus.authCookieSha1).HandleData""",27,102,10,1,2,30,19,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,5,0,2,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
variant_lexer.go/accept,"""(*github.com/tianon/debian-golang-dbus.varLexer).accept""",27,284,6,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
proto_test.go/BenchmarkDecodeMessageSmall,"""github.com/tianon/debian-golang-dbus.BenchmarkDecodeMessageSmall""",27,369,27,1,0,19,9,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
variant.go/MakeVariant,"""github.com/tianon/debian-golang-dbus.MakeVariant""",27,139,11,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dbus.go/store,"""github.com/tianon/debian-golang-dbus.store""",27,258,5,1,1,59,59,3,0,0,0,0,0,0,0,0,0,2,0,2,0,10,1,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
variant_lexer.go/peek,"""(*github.com/tianon/debian-golang-dbus.varLexer).peek""",27,284,4,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
variant_test.go/TestFormatVariant,"""github.com/tianon/debian-golang-dbus.TestFormatVariant""",27,78,17,1,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/prop/prop.go/Set,"""(*github.com/tianon/debian-golang-dbus/prop.Properties).Set""",1,262,3,2,1,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
auth.go/tryAuth,"""(*github.com/tianon/debian-golang-dbus.Conn).tryAuth""",27,253,7,3,2,89,37,1,0,0,0,0,0,0,0,0,0,0,0,9,0,15,2,14,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
call.go/GetProperty,"""(*github.com/tianon/debian-golang-dbus.Object).GetProperty""",27,147,11,1,2,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
call.go/Call,"""(*github.com/tianon/debian-golang-dbus.Object).Call""",27,147,4,3,1,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
homedir_dynamic.go/lookupHomeDir,"""github.com/tianon/debian-golang-dbus.lookupHomeDir""",27,13,13,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
proto_test.go/TestMessage,"""github.com/tianon/debian-golang-dbus.TestMessage""",27,369,11,1,0,18,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/prop/prop.go/New,"""github.com/tianon/debian-golang-dbus/prop.New""",1,262,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
export.go/handleCall,"""(*github.com/tianon/debian-golang-dbus.Conn).handleCall""",27,302,10,1,0,104,62,4,0,0,1,0,0,0,0,0,0,4,0,5,1,15,1,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
