function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/pkg/proxy/proxy_api.go/Start,"""(*github.com/CodisLabs/codis/pkg/proxy.apiServer).Start""",18,340,5,1,2,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pkg/proxy/request.go/Buffered,"""(*github.com/CodisLabs/codis/pkg/proxy.RequestChan).Buffered""",18,162,8,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/pkg/proxy/redis/encoder_test.go/TestEncodeBulkBytes,"""github.com/CodisLabs/codis/pkg/proxy/redis.TestEncodeBulkBytes""",7,106,19,1,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pkg/utils/sync2/future.go/Done,"""(*github.com/CodisLabs/codis/pkg/utils/sync2.Future).Done""",1,35,4,2,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
/extern/deprecated/redis-test/bench/benchmark.go/NewBenchCtrl,"""github.com/CodisLabs/codis/extern/deprecated/redis-test/bench.NewBenchCtrl""",1,270,12,1,1,11,4,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pkg/proxy/config.go/String,"""(*github.com/CodisLabs/codis/pkg/proxy.Config).String""",18,302,6,0,1,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pkg/proxy/redis/encoder.go/encodeArray,"""(*github.com/CodisLabs/codis/pkg/proxy/redis.Encoder).encodeArray""",7,181,11,1,1,14,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pkg/topom/topom_slots_test.go/TestSlotsRebalance,"""github.com/CodisLabs/codis/pkg/topom.TestSlotsRebalance""",20,507,18,1,0,64,43,3,0,0,0,0,0,0,0,0,0,2,4,2,3,1,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pkg/utils/timesize/timesize_test.go/TestTimeSize,"""github.com/CodisLabs/codis/pkg/utils/timesize.TestTimeSize""",2,33,12,1,0,23,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/extern/deprecated/redis-test/utils.go/Incr,"""(*github.com/CodisLabs/codis/extern/deprecated/redis-test.Unit).Incr""",16,682,4,1,0,23,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pkg/proxy/proxy.go/SwitchMasters,"""(*github.com/CodisLabs/codis/pkg/proxy.Proxy).SwitchMasters""",18,625,13,1,1,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/pkg/proxy/request.go/NewRequestChanBuffer,"""github.com/CodisLabs/codis/pkg/proxy.NewRequestChanBuffer""",18,162,20,1,1,9,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
/pkg/proxy/redis/decoder.go/decodeArray,"""(*github.com/CodisLabs/codis/pkg/proxy/redis.Decoder).decodeArray""",7,259,11,0,2,22,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pkg/utils/sync2/future.go/Add,"""(*github.com/CodisLabs/codis/pkg/utils/sync2.Future).Add""",1,35,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
/cmd/proxy/main.go/AutoOnlineWithCoordinator,"""github.com/CodisLabs/codis/cmd/proxy.AutoOnlineWithCoordinator""",1,323,25,2,0,19,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pkg/proxy/backend.go/selectDatabase,"""(*github.com/CodisLabs/codis/pkg/proxy.BackendConn).selectDatabase""",18,508,14,2,1,27,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
/pkg/topom/topom_api.go/InfoServer,"""(*github.com/CodisLabs/codis/pkg/topom.apiServer).InfoServer""",20,1003,10,1,2,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/extern/deprecated/redis-test/utils.go/Mset,"""(github.com/CodisLabs/codis/extern/deprecated/redis-test.UnitSlice).Mset""",16,682,4,2,0,24,16,2,0,0,0,0,0,0,0,0,0,4,0,1,0,4,0,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pkg/proxy/forward.go/process,"""(*github.com/CodisLabs/codis/pkg/proxy.forwardSemiAsync).process""",18,227,7,3,3,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
/pkg/topom/topom_api.go/SlotsRebalance,"""(*github.com/CodisLabs/codis/pkg/topom.apiServer).SlotsRebalance""",20,1003,14,1,2,17,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
/pkg/utils/log/log.go/Flags,"""github.com/CodisLabs/codis/pkg/utils/log.Flags""",2,621,5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pkg/utils/redis/client.go/InfoKeySpace,"""(*github.com/CodisLabs/codis/pkg/utils/redis.Client).InfoKeySpace""",2,472,12,0,2,20,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
/pkg/models/zk/zkclient.go/Create,"""(*github.com/CodisLabs/codis/pkg/models/zk.Client).Create""",1,409,6,2,1,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/extern/deprecated/redis-test/utils.go/AddPlayer,"""(*github.com/CodisLabs/codis/extern/deprecated/redis-test.TestGroup).AddPlayer""",16,682,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
/pkg/models/zk/zkclient.go/mkdir,"""(*github.com/CodisLabs/codis/pkg/models/zk.Client).mkdir""",1,409,5,2,1,17,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pkg/proxy/stats.go/OpFails,"""github.com/CodisLabs/codis/pkg/proxy.OpFails""",18,219,7,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pkg/proxy/request_test.go/TestRequestChan3,"""github.com/CodisLabs/codis/pkg/proxy.TestRequestChan3""",18,129,16,1,0,38,20,2,0,0,0,0,0,3,0,0,0,5,0,0,0,2,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
