function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
bytes_test.go/init,"""github.com/dustin/go-jsonpointer.init""",7,647,4,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
bytes_test.go/BenchmarkLargeIdentity,"""github.com/dustin/go-jsonpointer.BenchmarkLargeIdentity""",7,647,22,1,0,13,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytes_test.go/BenchmarkDblReplacerTilde,"""github.com/dustin/go-jsonpointer.BenchmarkDblReplacerTilde""",7,647,25,1,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reflect_test.go/BenchmarkReflectToplevelExact,"""github.com/dustin/go-jsonpointer.BenchmarkReflectToplevelExact""",7,263,29,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reflect_test.go/TestReflectMapThatWontWork,"""github.com/dustin/go-jsonpointer.TestReflectMapThatWontWork""",7,263,26,1,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytes.go/arreq,"""github.com/dustin/go-jsonpointer.arreq""",7,328,5,1,1,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytes.go/mustParseInt,"""github.com/dustin/go-jsonpointer.mustParseInt""",7,328,12,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bytes_test.go/TestManyPointers,"""github.com/dustin/go-jsonpointer.TestManyPointers""",7,647,16,1,0,31,10,3,0,0,0,0,0,0,0,0,0,1,0,2,2,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reflect_test.go/TestReflectNonObjectOrSlice,"""github.com/dustin/go-jsonpointer.TestReflectNonObjectOrSlice""",7,263,27,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bytes.go/encodePointer,"""github.com/dustin/go-jsonpointer.encodePointer""",7,328,13,1,1,8,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
