function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/statsd/statsd_benchmark_test.go/BenchmarkStatBuildGauge_Sprintf,"""github.com/DataDog/datadog-go/statsd.BenchmarkStatBuildGauge_Sprintf""",3,68,31,1,0,6,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/statsd_benchmark_test.go/BenchmarkStatBuildGauge_BytesAppend,"""github.com/DataDog/datadog-go/statsd.BenchmarkStatBuildGauge_BytesAppend""",3,68,35,1,0,9,3,2,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
/statsd/statsd_test.go/TestJoinMaxSize,"""github.com/DataDog/datadog-go/statsd.TestJoinMaxSize""",3,655,15,1,0,128,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/statsd_test.go/TestEvents,"""github.com/DataDog/datadog-go/statsd.TestEvents""",3,655,10,1,0,59,16,1,0,0,0,0,0,0,0,0,0,1,0,3,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/statsd.go/joinMaxSize,"""(*github.com/DataDog/datadog-go/statsd.Client).joinMaxSize""",3,580,11,3,2,38,15,1,0,0,0,0,0,0,0,0,0,1,0,4,0,4,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/statsd.go/TimeInMilliseconds,"""(*github.com/DataDog/datadog-go/statsd.Client).TimeInMilliseconds""",3,580,18,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/statsd.go/Encode,"""(github.com/DataDog/datadog-go/statsd.ServiceCheck).Encode""",3,580,6,1,2,31,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
/statsd/statsd.go/NewServiceCheck,"""github.com/DataDog/datadog-go/statsd.NewServiceCheck""",3,580,15,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/statsd.go/Check,"""(github.com/DataDog/datadog-go/statsd.ServiceCheck).Check""",3,580,5,0,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/statsd_benchmark_test.go/BenchmarkStatBuildGauge_Concat,"""github.com/DataDog/datadog-go/statsd.BenchmarkStatBuildGauge_Concat""",3,68,30,1,0,6,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
/statsd/statsd_test.go/assertNotPanics,"""github.com/DataDog/datadog-go/statsd.assertNotPanics""",3,655,15,2,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/statsd_test.go/BenchmarkFormatV3,"""github.com/DataDog/datadog-go/statsd.BenchmarkFormatV3""",3,655,17,1,0,10,4,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/statsd.go/flush,"""(*github.com/DataDog/datadog-go/statsd.Client).flush""",3,580,5,0,1,22,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/statsd.go/Gauge,"""(*github.com/DataDog/datadog-go/statsd.Client).Gauge""",3,580,5,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/statsd.go/Event,"""(*github.com/DataDog/datadog-go/statsd.Client).Event""",3,580,5,1,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/statsd_test.go/formatV1,"""(*github.com/DataDog/datadog-go/statsd.Client).formatV1""",3,655,8,4,1,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/statsd.go/Check,"""(github.com/DataDog/datadog-go/statsd.Event).Check""",3,580,5,0,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/statsd.go/escapedText,"""(github.com/DataDog/datadog-go/statsd.Event).escapedText""",3,580,11,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/statsd.go/escapedMessage,"""(github.com/DataDog/datadog-go/statsd.ServiceCheck).escapedMessage""",3,580,14,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/statsd_benchmark_test.go/BenchmarkStatBuildCount_BytesAppend,"""github.com/DataDog/datadog-go/statsd.BenchmarkStatBuildCount_BytesAppend""",3,68,35,1,0,9,3,2,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
/statsd/statsd.go/Incr,"""(*github.com/DataDog/datadog-go/statsd.Client).Incr""",3,580,4,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
