project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
dearplain/fast-shadowsocks,/shadowsocks/encrypt_test.go/BenchmarkAES256Encrypt,"""github.com/dearplain/fast-shadowsocks/shadowsocks.BenchmarkAES256Encrypt""",171,5363,22,1,22,175,65,2,0,0,1,3,0,0,0,3,6,4,0,9,0,17,0,0,1,0,1,43,0,0,8,0,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
dearplain/fast-shadowsocks,/shadowsocks/encrypt_test.go/BenchmarkAES128Encrypt,"""github.com/dearplain/fast-shadowsocks/shadowsocks.BenchmarkAES128Encrypt""",171,5363,22,1,22,175,65,2,0,0,1,3,0,0,0,3,6,4,0,9,0,17,0,0,1,0,1,43,0,0,8,0,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
dearplain/fast-shadowsocks,/shadowsocks/encrypt_test.go/BenchmarkAES256Init,"""github.com/dearplain/fast-shadowsocks/shadowsocks.BenchmarkAES256Init""",100,3134,19,1,16,45,21,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,13,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dearplain/fast-shadowsocks,/shadowsocks/encrypt_test.go/BenchmarkDESEncrypt,"""github.com/dearplain/fast-shadowsocks/shadowsocks.BenchmarkDESEncrypt""",171,5363,19,1,22,175,65,2,0,0,1,3,0,0,0,3,6,4,0,9,0,17,0,0,1,0,1,43,0,0,8,0,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
dearplain/fast-shadowsocks,/shadowsocks/encrypt_test.go/BenchmarkAES192Encrypt,"""github.com/dearplain/fast-shadowsocks/shadowsocks.BenchmarkAES192Encrypt""",171,5363,22,1,22,175,65,2,0,0,1,3,0,0,0,3,6,4,0,9,0,17,0,0,1,0,1,43,0,0,8,0,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
dearplain/fast-shadowsocks,/shadowsocks/encrypt_test.go/BenchmarkCast5Encrypt,"""github.com/dearplain/fast-shadowsocks/shadowsocks.BenchmarkCast5Encrypt""",171,5363,21,1,22,175,65,2,0,0,1,3,0,0,0,3,6,4,0,9,0,17,0,0,1,0,1,43,0,0,8,0,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
dearplain/fast-shadowsocks,/shadowsocks/encrypt_test.go/BenchmarkRC4Init,"""github.com/dearplain/fast-shadowsocks/shadowsocks.BenchmarkRC4Init""",10,323,16,1,0,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dearplain/fast-shadowsocks,/shadowsocks/encrypt_test.go/BenchmarkBlowFishEncrypt,"""github.com/dearplain/fast-shadowsocks/shadowsocks.BenchmarkBlowFishEncrypt""",171,5363,24,1,22,175,65,2,0,0,1,3,0,0,0,3,6,4,0,9,0,17,0,0,1,0,1,43,0,0,8,0,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
dearplain/fast-shadowsocks,/shadowsocks/encrypt_test.go/BenchmarkAES256Decrypt,"""github.com/dearplain/fast-shadowsocks/shadowsocks.BenchmarkAES256Decrypt""",171,5363,22,1,22,180,68,2,0,0,1,3,0,0,0,3,6,4,0,9,0,18,0,0,1,0,1,44,0,0,9,0,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
dearplain/fast-shadowsocks,/shadowsocks/encrypt_test.go/BenchmarkCast5Init,"""github.com/dearplain/fast-shadowsocks/shadowsocks.BenchmarkCast5Init""",100,3134,18,1,16,45,21,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,13,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
