project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
golang/snappy,snappy_test.go/BenchmarkWordsDecode1e1,"""github.com/golang/snappy.BenchmarkWordsDecode1e1""",126,11297,23,1,18,260,81,6,1,0,0,0,0,0,0,0,0,4,0,4,0,38,2,5,1,0,0,71,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golang/snappy,snappy_test.go/Benchmark_UFlat11,"""github.com/golang/snappy.Benchmark_UFlat11""",126,11297,17,1,18,298,103,5,1,0,0,0,0,0,0,0,0,4,0,3,0,48,2,5,1,0,3,83,0,0,0,0,2,2,0,0,0,4,1,0,0,0,2,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
golang/snappy,snappy_test.go/Benchmark_ZFlat2,"""github.com/golang/snappy.Benchmark_ZFlat2""",126,11297,16,1,18,298,103,5,1,0,0,0,0,0,0,0,0,4,0,3,0,48,2,5,1,0,3,83,0,0,0,0,2,2,0,0,0,4,1,0,0,0,2,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
golang/snappy,snappy_test.go/Benchmark_ZFlat7,"""github.com/golang/snappy.Benchmark_ZFlat7""",126,11297,16,1,18,298,103,5,1,0,0,0,0,0,0,0,0,4,0,3,0,48,2,5,1,0,3,83,0,0,0,0,2,2,0,0,0,4,1,0,0,0,2,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
golang/snappy,snappy_test.go/BenchmarkWordsDecode1e4,"""github.com/golang/snappy.BenchmarkWordsDecode1e4""",126,11297,23,1,18,260,81,6,1,0,0,0,0,0,0,0,0,4,0,4,0,38,2,5,1,0,0,71,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golang/snappy,snappy_test.go/Benchmark_UFlat1,"""github.com/golang/snappy.Benchmark_UFlat1""",126,11297,16,1,18,298,103,5,1,0,0,0,0,0,0,0,0,4,0,3,0,48,2,5,1,0,3,83,0,0,0,0,2,2,0,0,0,4,1,0,0,0,2,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
golang/snappy,snappy_test.go/Benchmark_UFlat3,"""github.com/golang/snappy.Benchmark_UFlat3""",126,11297,16,1,18,298,103,5,1,0,0,0,0,0,0,0,0,4,0,3,0,48,2,5,1,0,3,83,0,0,0,0,2,2,0,0,0,4,1,0,0,0,2,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
golang/snappy,snappy_test.go/BenchmarkWordsDecode1e5,"""github.com/golang/snappy.BenchmarkWordsDecode1e5""",126,11297,23,1,18,260,81,6,1,0,0,0,0,0,0,0,0,4,0,4,0,38,2,5,1,0,0,71,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golang/snappy,snappy_test.go/Benchmark_UFlat2,"""github.com/golang/snappy.Benchmark_UFlat2""",126,11297,16,1,18,298,103,5,1,0,0,0,0,0,0,0,0,4,0,3,0,48,2,5,1,0,3,83,0,0,0,0,2,2,0,0,0,4,1,0,0,0,2,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
golang/snappy,snappy_test.go/BenchmarkExtendMatch,"""github.com/golang/snappy.BenchmarkExtendMatch""",63,2620,20,1,12,173,45,4,2,0,0,0,0,0,0,0,0,3,0,1,0,29,2,5,0,0,0,51,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
