project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
uber/tchannel-go,/thrift/headers_test.go/BenchmarkWriteHeaders,"""github.com/uber/tchannel-go/thrift.BenchmarkWriteHeaders""",14821,121084,21,1,274,2250,792,30,1,0,2,9,2,1,0,4,10,16,1,11,4,254,7,23,4,0,6,686,0,3,0,0,8,8,0,0,0,10,3,0,0,0,1,1,0,0,0,0,0,0,0,12,2,0,1,0,61,0,0
uber/tchannel-go,frame_pool_b_test.go/BenchmarkFramePoolChannel10000,"""github.com/uber/tchannel-go_test.BenchmarkFramePoolChannel10000""",15188,121356,30,1,277,2269,798,31,4,1,3,10,2,2,0,6,14,22,1,11,4,253,7,23,4,0,6,696,0,3,0,0,8,8,0,0,0,10,3,2,2,0,1,1,0,0,0,0,0,0,0,12,2,0,1,0,66,0,0
uber/tchannel-go,connection_bench_test.go/BenchmarkCallsConcurrentClient,"""github.com/uber/tchannel-go_test.BenchmarkCallsConcurrentClient""",38912,421804,30,1,1113,11156,4522,130,4,4,9,18,3,8,0,12,27,136,31,59,34,1582,65,194,14,0,50,3113,2,15,0,0,29,15,0,14,0,39,4,10,10,0,55,11,0,0,0,0,0,0,0,18,4,0,2,5,207,0,0
uber/tchannel-go,frame_pool_b_test.go/BenchmarkFramePoolSync,"""github.com/uber/tchannel-go_test.BenchmarkFramePoolSync""",15188,121356,22,1,277,2271,797,31,4,0,3,10,2,2,0,6,14,22,1,11,4,253,7,23,4,0,6,696,0,3,0,0,8,8,0,0,0,10,3,2,2,0,1,1,0,0,0,0,0,0,0,12,2,0,1,0,66,0,0
uber/tchannel-go,peer_test.go/BenchmarkSimplePeerHeapPerf,"""github.com/uber/tchannel-go_test.BenchmarkSimplePeerHeapPerf""",39009,433450,27,1,1113,11140,4503,134,4,5,9,18,3,10,0,12,27,137,31,60,34,1580,65,194,14,0,52,3118,2,15,0,0,29,15,0,14,0,39,4,10,10,0,55,11,0,0,0,0,0,0,0,18,4,0,2,5,209,0,0
uber/tchannel-go,arguments_test.go/BenchmarkArgReaderWriter,"""github.com/uber/tchannel-go.BenchmarkArgReaderWriter""",15271,121647,24,1,280,2275,803,28,1,0,2,9,2,1,0,4,10,15,1,11,4,259,7,23,4,0,7,695,2,6,0,0,12,8,0,4,0,12,3,0,0,0,1,1,0,0,0,0,0,0,0,12,2,0,1,0,63,0,0
uber/tchannel-go,peer_test.go/BenchmarkAddPeers,"""github.com/uber/tchannel-go_test.BenchmarkAddPeers""",17865,139346,17,1,317,2686,942,34,2,0,2,9,2,1,0,4,10,18,2,16,11,291,7,23,7,0,12,788,0,3,0,0,8,8,0,0,0,10,3,5,5,0,1,1,0,0,0,0,0,0,0,14,2,0,1,0,86,0,0
uber/tchannel-go,/benchmark/tcp_bench_test.go/BenchmarkTCPRelay1kBytes,"""github.com/uber/tchannel-go/benchmark.BenchmarkTCPRelay1kBytes""",15457,123624,24,1,290,2414,871,32,1,2,3,10,4,7,1,5,12,17,2,12,4,265,8,25,5,0,12,724,0,3,0,0,8,8,0,0,0,16,3,1,1,0,17,1,0,0,0,0,0,0,0,12,2,0,1,0,63,0,0
uber/tchannel-go,/peers/prefer_test.go/BenchmarkHrwScoreCalc,"""github.com/uber/tchannel-go/peers.BenchmarkHrwScoreCalc""",17912,138978,21,1,319,2693,946,33,1,0,2,9,2,1,0,4,10,17,2,16,11,292,7,23,7,0,12,790,0,3,0,0,8,8,0,0,0,10,3,5,5,0,1,1,0,0,0,0,0,0,0,14,2,0,1,0,86,0,0
uber/tchannel-go,/thrift/struct_test.go/BenchmarkReadStruct,"""github.com/uber/tchannel-go/thrift_test.BenchmarkReadStruct""",15138,162003,19,1,341,3484,1264,59,1,0,2,9,2,1,0,4,10,39,2,11,5,513,29,80,4,0,6,1099,0,6,0,0,8,8,0,0,0,11,3,0,0,0,1,1,0,0,0,0,0,0,0,12,2,0,1,0,63,0,0
uber/tchannel-go,frame_pool_b_test.go/BenchmarkFramePoolDisabled,"""github.com/uber/tchannel-go_test.BenchmarkFramePoolDisabled""",15120,121290,26,1,276,2267,795,31,4,0,3,10,2,2,0,6,14,22,1,11,4,253,7,23,4,0,6,695,0,3,0,0,8,8,0,0,0,10,3,2,2,0,1,1,0,0,0,0,0,0,0,12,2,0,1,0,66,0,0
uber/tchannel-go,/benchmark/client_server_bench_test.go/BenchmarkServer,"""github.com/uber/tchannel-go/benchmark.BenchmarkServer""",40571,435174,15,1,1209,12063,4797,153,3,9,13,21,5,14,1,14,31,144,41,81,38,1673,66,195,42,0,59,3336,8,19,0,0,32,16,0,16,0,42,4,12,12,0,68,11,0,0,0,0,0,0,0,24,8,0,2,8,211,0,0
uber/tchannel-go,/benchmark/tcp_bench_test.go/BenchmarkTCPDirect1k,"""github.com/uber/tchannel-go/benchmark.BenchmarkTCPDirect1k""",14889,121275,20,1,276,2264,807,29,1,1,2,10,3,3,0,4,10,15,1,11,4,252,7,23,4,0,8,687,0,3,0,0,8,8,0,0,0,12,3,1,1,0,8,1,0,0,0,0,0,0,0,12,2,0,1,0,63,0,0
uber/tchannel-go,/thrift/struct_test.go/BenchmarkWriteStruct,"""github.com/uber/tchannel-go/thrift_test.BenchmarkWriteStruct""",15016,143669,20,1,310,2621,1052,28,1,0,2,9,2,1,0,4,10,15,2,10,4,359,7,23,4,0,6,824,0,4,0,0,8,8,0,0,0,12,3,0,0,0,1,1,0,0,0,0,0,0,0,12,2,0,1,0,63,0,0
uber/tchannel-go,connection_bench_test.go/BenchmarkCallsConcurrentServer,"""github.com/uber/tchannel-go_test.BenchmarkCallsConcurrentServer""",38912,421804,30,1,1113,11155,4522,130,4,4,9,18,3,8,0,12,27,136,31,59,34,1582,65,194,14,0,50,3113,2,15,0,0,29,15,0,14,0,39,4,10,10,0,55,11,0,0,0,0,0,0,0,18,4,0,2,5,207,0,0
uber/tchannel-go,/testutils/random_bench_test.go/BenchmarkRandom4096,"""github.com/uber/tchannel-go/testutils.BenchmarkRandom4096""",14908,121314,19,1,276,2279,804,30,1,0,2,9,2,1,0,4,10,17,1,13,4,256,7,23,4,0,7,693,0,4,0,0,9,9,0,0,0,11,3,3,3,0,1,1,0,0,0,0,0,0,0,12,2,0,1,0,69,0,0
uber/tchannel-go,peer_bench_test.go/BenchmarkGetConnection5In5Out,"""github.com/uber/tchannel-go_test.BenchmarkGetConnection5In5Out""",38520,417765,29,1,1100,10985,4431,128,3,4,9,18,3,7,0,12,27,135,28,57,34,1569,65,194,14,0,49,3085,2,15,0,0,29,15,0,14,0,39,4,10,10,0,55,11,0,0,0,0,0,0,0,18,4,0,2,5,200,0,0
uber/tchannel-go,/thrift/thrift_bench_test.go/BenchmarkBothSerial,"""github.com/uber/tchannel-go/thrift_test.BenchmarkBothSerial""",40281,433400,19,1,1198,11961,4760,151,3,9,12,21,4,13,1,14,31,145,41,81,37,1663,66,195,39,0,57,3312,8,19,0,0,32,16,0,16,0,41,4,12,12,0,67,11,0,0,0,0,0,0,0,24,8,0,2,7,209,0,0
uber/tchannel-go,/benchmark/tcp_bench_test.go/BenchmarkTCPRelay4k,"""github.com/uber/tchannel-go/benchmark.BenchmarkTCPRelay4k""",15457,123624,19,1,290,2414,871,32,1,2,3,10,4,7,1,5,12,17,2,12,4,265,8,25,5,0,12,724,0,3,0,0,8,8,0,0,0,16,3,1,1,0,17,1,0,0,0,0,0,0,0,12,2,0,1,0,63,0,0
uber/tchannel-go,relay_benchmark_test.go/BenchmarkRelayNoLatencies,"""github.com/uber/tchannel-go_test.BenchmarkRelayNoLatencies""",40737,436367,25,1,1214,12119,4819,156,3,9,13,21,5,14,1,14,31,145,42,84,40,1674,66,195,40,0,62,3350,8,19,0,0,32,16,0,16,0,44,4,12,12,0,69,11,0,0,0,0,0,0,0,25,8,0,2,7,211,0,0
