project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
ernado/sdp,fields_test.go/BenchmarkSession_AddConnectionData,"""github.com/ernado/sdp.BenchmarkSession_AddConnectionData""",128,7600,34,1,15,119,54,3,0,0,0,0,0,0,0,0,0,4,0,3,0,9,2,4,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ernado/sdp,sdp_test.go/BenchmarkDecode,"""github.com/ernado/sdp.BenchmarkDecode""",96,4781,15,1,11,122,40,1,0,0,0,0,0,0,0,0,0,3,0,4,0,5,2,20,1,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ernado/sdp,sdp_test.go/BenchmarkAppendRune,"""github.com/ernado/sdp.BenchmarkAppendRune""",16,533,19,1,1,13,7,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ernado/sdp,decoder_test.go/BenchmarkDecoder_Decode,"""github.com/ernado/sdp.BenchmarkDecoder_Decode""",448,44942,23,1,59,834,281,13,0,0,0,0,0,0,0,0,0,17,0,12,0,94,15,73,4,0,1,241,0,6,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0
ernado/sdp,fields_test.go/BenchmarkAppendByte,"""github.com/ernado/sdp.BenchmarkAppendByte""",32,1732,19,1,3,39,17,2,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ernado/sdp,sdp_test.go/BenchmarkDecodeSession,"""github.com/ernado/sdp.BenchmarkDecodeSession""",112,5405,22,1,14,167,41,3,0,0,0,0,0,0,0,0,0,5,0,1,0,12,2,20,1,0,0,49,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ernado/sdp,fields_test.go/BenchmarkAppendIP,"""github.com/ernado/sdp.BenchmarkAppendIP""",32,1968,17,1,3,41,19,3,0,0,0,0,0,0,0,0,0,3,0,2,0,1,1,2,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ernado/sdp,fields_test.go/BenchmarkAppendInt,"""github.com/ernado/sdp.BenchmarkAppendInt""",32,1732,18,1,3,39,15,2,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ernado/sdp,fields_test.go/BenchmarkSession_EX1,"""github.com/ernado/sdp.BenchmarkSession_EX1""",288,18324,20,1,35,252,141,5,0,0,0,0,0,0,0,0,0,4,0,9,0,19,2,4,1,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ernado/sdp,encoder_test.go/BenchmarkEncode,"""github.com/ernado/sdp.BenchmarkEncode""",488,32738,15,1,57,474,232,15,2,0,0,0,0,0,0,0,0,3,1,17,0,46,2,4,1,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
