project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
prataprc/monster,parser_test.go/BenchmarkTermProd,"""github.com/prataprc/monster.BenchmarkTermProd""",436,9444,17,1,58,638,258,16,1,0,0,0,0,0,0,0,0,15,1,14,4,65,4,17,29,0,0,171,0,0,0,0,3,1,2,0,0,2,1,12,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,4,0,0
prataprc/monster,parser_test.go/BenchmarkProjsProdY,"""github.com/prataprc/monster.BenchmarkProjsProdY""",419,8173,19,1,52,581,233,13,1,0,0,0,0,0,0,0,0,15,1,13,3,62,4,17,29,0,0,159,0,0,0,0,3,1,2,0,0,2,1,8,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,4,0,0
prataprc/monster,parser_test.go/BenchmarkProjsProd,"""github.com/prataprc/monster.BenchmarkProjsProd""",436,9444,18,1,58,638,262,16,1,0,0,0,0,0,0,0,0,16,1,14,4,64,4,17,29,0,0,170,0,0,0,0,3,1,2,0,0,2,1,12,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,4,0,0
prataprc/monster,parser_test.go/BenchmarkJSONProd,"""github.com/prataprc/monster.BenchmarkJSONProd""",436,9444,17,1,58,638,262,16,1,0,0,0,0,0,0,0,0,16,1,14,4,64,4,17,29,0,0,170,0,0,0,0,3,1,2,0,0,2,1,12,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,4,0,0
prataprc/monster,parser_test.go/BenchmarkNTermProd,"""github.com/prataprc/monster.BenchmarkNTermProd""",436,9444,18,1,58,638,258,16,1,0,0,0,0,0,0,0,0,15,1,14,4,65,4,17,29,0,0,171,0,0,0,0,3,1,2,0,0,2,1,12,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,4,0,0
prataprc/monster,parser_test.go/BenchmarkUsersProdY,"""github.com/prataprc/monster.BenchmarkUsersProdY""",419,8173,19,1,52,581,233,13,1,0,0,0,0,0,0,0,0,15,1,13,3,62,4,17,29,0,0,159,0,0,0,0,3,1,2,0,0,2,1,8,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,4,0,0
prataprc/monster,parser_test.go/BenchmarkOrProd___,"""github.com/prataprc/monster.BenchmarkOrProd___""",436,9444,18,1,58,638,258,16,1,0,0,0,0,0,0,0,0,15,1,14,4,65,4,17,29,0,0,171,0,0,0,0,3,1,2,0,0,2,1,12,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,4,0,0
prataprc/monster,parser_test.go/BenchmarkFormProd,"""github.com/prataprc/monster.BenchmarkFormProd""",436,9444,17,1,58,638,258,16,1,0,0,0,0,0,0,0,0,15,1,14,4,65,4,17,29,0,0,171,0,0,0,0,3,1,2,0,0,2,1,12,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,4,0,0
prataprc/monster,parser_test.go/BenchmarkUsersProd,"""github.com/prataprc/monster.BenchmarkUsersProd""",436,9444,18,1,58,642,263,16,1,0,0,0,0,0,0,0,0,16,1,14,4,65,4,17,29,0,0,171,0,0,0,0,3,1,2,0,0,2,1,12,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,4,0,0
prataprc/monster,parser_test.go/BenchmarkStringProd,"""github.com/prataprc/monster.BenchmarkStringProd""",436,9444,19,1,58,638,258,16,1,0,0,0,0,0,0,0,0,15,1,14,4,65,4,17,29,0,0,171,0,0,0,0,3,1,2,0,0,2,1,12,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,4,0,0
prataprc/monster,parser_test.go/BenchmarkJSONProdY,"""github.com/prataprc/monster.BenchmarkJSONProdY""",419,8173,18,1,52,580,233,13,1,0,0,0,0,0,0,0,0,14,1,13,3,62,4,17,29,0,0,159,0,0,0,0,3,1,2,0,0,2,1,8,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,4,0,0
