project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
goframework/gf,/html/template/url_test.go/BenchmarkURLEscaper,"""github.com/goframework/gf/html/template.BenchmarkURLEscaper""",587,49067,19,1,75,421,131,14,0,0,0,0,0,0,0,0,0,13,0,1,0,40,8,25,1,0,0,177,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
goframework/gf,/html/template/html_test.go/BenchmarkStripTags,"""github.com/goframework/gf/html/template.BenchmarkStripTags""",1147,64069,18,1,120,1029,256,25,2,0,0,0,0,0,0,0,0,23,0,3,0,98,26,85,6,0,0,366,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
goframework/gf,/html/template/url_test.go/BenchmarkURLNormalizer,"""github.com/goframework/gf/html/template.BenchmarkURLNormalizer""",587,49067,22,1,75,421,131,14,0,0,0,0,0,0,0,0,0,13,0,1,0,40,8,25,1,0,0,177,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
goframework/gf,/html/template/url_test.go/BenchmarkURLEscaperNoSpecials,"""github.com/goframework/gf/html/template.BenchmarkURLEscaperNoSpecials""",587,49067,29,1,75,421,131,14,0,0,0,0,0,0,0,0,0,13,0,1,0,40,8,25,1,0,0,177,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
goframework/gf,/html/template/html_test.go/BenchmarkHTMLNospaceEscaperNoSpecials,"""github.com/goframework/gf/html/template.BenchmarkHTMLNospaceEscaperNoSpecials""",1247,64977,37,1,126,1107,298,29,2,0,0,0,0,0,0,0,0,26,0,3,0,108,26,85,6,0,0,399,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
goframework/gf,/context/context_test.go/BenchmarkMutexSameReadWrite1,"""github.com/goframework/gf/context.BenchmarkMutexSameReadWrite1""",465,49015,28,1,69,368,113,15,3,2,2,3,1,2,0,0,0,15,0,1,1,31,7,21,1,0,0,142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0
goframework/gf,/html/template/css_test.go/BenchmarkCSSEscaperNoSpecials,"""github.com/goframework/gf/html/template.BenchmarkCSSEscaperNoSpecials""",587,49538,29,1,75,392,135,14,0,0,0,0,0,0,0,0,0,15,0,1,0,35,9,24,1,0,0,169,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
goframework/gf,/html/template/css_test.go/BenchmarkCSSValueFilterOk,"""github.com/goframework/gf/html/template.BenchmarkCSSValueFilterOk""",647,50294,25,1,78,489,158,17,1,0,0,0,0,0,0,0,0,12,0,4,0,44,10,30,2,0,0,208,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
goframework/gf,/html/template/js_test.go/BenchmarkJSValEscaperWithObjNoSpecials,"""github.com/goframework/gf/html/template.BenchmarkJSValEscaperWithObjNoSpecials""",527,49586,38,1,71,420,128,13,0,0,0,0,0,0,0,0,0,15,0,1,0,38,8,26,1,0,0,160,0,8,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
goframework/gf,/html/template/js_test.go/BenchmarkJSRegexpEscaper,"""github.com/goframework/gf/html/template.BenchmarkJSRegexpEscaper""",567,49622,24,1,74,392,132,14,0,0,0,0,0,0,0,0,0,15,0,1,0,35,8,25,1,0,0,161,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
