project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
containerd/containerd,/events/convert_test.go/BenchmarkMarshalEvent,"""github.com/containerd/containerd/events.BenchmarkMarshalEvent""",1029,1028596,21,1,609,14463,3436,511,351,0,0,0,0,0,0,0,0,607,1,132,5,2506,89,390,17,0,1,3842,0,3,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
containerd/containerd,/snapshot/storage/bolt_test.go/BenchmarkSuite,"""github.com/containerd/containerd/snapshot/storage.BenchmarkSuite""",2896,1147024,14,1,931,18092,4606,559,354,3,2,6,4,4,0,3,6,669,14,196,9,2956,105,442,18,0,46,4669,0,7,1,0,28,8,2,17,0,60,13,1,1,0,41,17,0,0,0,0,0,0,0,67,0,0,1,4,29,0,0
containerd/containerd,/snapshot/storage/metastore_bench_test.go/statCommittedBenchmark,"""github.com/containerd/containerd/snapshot/storage.statCommittedBenchmark""",1076,1033307,22,3,625,14659,3518,512,351,0,0,0,0,0,0,0,0,612,0,142,5,2539,89,390,17,0,1,3887,0,3,0,0,8,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
containerd/containerd,/snapshot/storage/metastore_bench_test.go/createActiveBenchmark,"""github.com/containerd/containerd/snapshot/storage.createActiveBenchmark""",1066,1032689,21,3,621,14616,3512,512,351,0,0,0,0,0,0,0,0,611,0,141,5,2533,89,390,17,0,1,3879,0,3,0,0,8,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
containerd/containerd,/snapshot/storage/metastore_bench_test.go/Benchmarks,"""github.com/containerd/containerd/snapshot/storage.Benchmarks""",2896,1147024,10,3,931,18092,4606,559,354,3,2,6,4,4,0,3,6,669,14,196,9,2956,105,442,18,0,46,4669,0,7,1,0,28,8,2,17,0,60,13,1,1,0,41,17,0,0,0,0,0,0,0,67,0,0,1,4,29,0,0
containerd/containerd,/snapshot/storage/metastore_bench_test.go/statActiveBenchmark,"""github.com/containerd/containerd/snapshot/storage.statActiveBenchmark""",1076,1033307,19,3,625,14656,3516,512,351,0,0,0,0,0,0,0,0,612,0,142,5,2538,89,390,17,0,1,3886,0,3,0,0,8,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
containerd/containerd,benchmark_test.go/BenchmarkContainerStart,"""github.com/containerd/containerd.BenchmarkContainerStart""",2596,1134468,23,1,873,17269,4250,542,352,3,2,6,4,4,0,3,6,645,12,176,8,2838,105,442,18,0,32,4484,0,6,0,0,22,2,2,17,0,51,6,0,0,0,41,17,0,0,0,0,0,0,0,47,0,0,1,3,25,0,0
containerd/containerd,/content/content_test.go/BenchmarkIngests,"""github.com/containerd/containerd/content.BenchmarkIngests""",2896,1147024,16,1,931,18092,4606,559,354,3,2,6,4,4,0,3,6,669,14,196,9,2956,105,442,18,0,46,4669,0,7,1,0,28,8,2,17,0,60,13,1,1,0,41,17,0,0,0,0,0,0,0,67,0,0,1,4,29,0,0
containerd/containerd,benchmark_test.go/BenchmarkContainerCreate,"""github.com/containerd/containerd.BenchmarkContainerCreate""",2389,1116379,24,1,850,17094,4199,539,352,2,2,6,2,4,0,3,6,644,8,176,8,2817,105,442,18,0,30,4445,0,5,0,0,22,2,2,17,0,49,5,0,0,0,41,17,0,0,0,0,0,0,0,44,0,0,1,3,22,0,0
containerd/containerd,/snapshot/storage/metastore_bench_test.go/commitBenchmark,"""github.com/containerd/containerd/snapshot/storage.commitBenchmark""",1071,1033090,15,3,623,14670,3535,512,351,0,0,0,0,0,0,0,0,613,0,144,5,2544,89,390,17,0,1,3891,0,3,0,0,8,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
containerd/containerd,/snapshot/storage/metastore_bench_test.go/removeBenchmark,"""github.com/containerd/containerd/snapshot/storage.removeBenchmark""",1066,1032689,15,3,621,14616,3512,512,351,0,0,0,0,0,0,0,0,611,0,141,5,2533,89,390,17,0,1,3879,0,3,0,0,8,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
containerd/containerd,/snapshot/storage/metastore_bench_test.go/getActiveBenchmark,"""github.com/containerd/containerd/snapshot/storage.getActiveBenchmark""",1071,1033090,18,3,622,14673,3527,513,351,0,0,0,0,0,0,0,0,615,0,143,5,2544,89,390,17,0,1,3892,0,3,0,0,8,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
