project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
cayleygraph/cayley,/graph/memstore/b/keys_test.go/BenchmarkDelRnd1e6,"""github.com/cayleygraph/cayley/graph/memstore/b.BenchmarkDelRnd1e6""",8353,442342,18,1,823,20891,3082,206,98,0,0,0,0,0,0,0,0,296,28,119,37,2413,573,2290,83,0,30,6458,5,33,0,63,33,25,0,6,0,12,0,4,0,0,2,1,0,0,0,0,0,0,0,5,0,0,2,11,66,1,0
cayleygraph/cayley,/graph/memstore/b/keys_test.go/BenchmarkPrev1e4,"""github.com/cayleygraph/cayley/graph/memstore/b.BenchmarkPrev1e4""",8329,435538,16,1,825,20733,3049,203,97,0,0,0,0,0,0,0,0,292,28,118,37,2402,574,2292,82,0,30,6423,5,33,0,63,33,25,0,6,0,12,0,4,0,0,2,1,0,0,0,0,0,0,0,5,0,0,2,11,57,1,0
cayleygraph/cayley,/graph/memstore/b/keys_test.go/BenchmarkGetSeq1e5,"""github.com/cayleygraph/cayley/graph/memstore/b.BenchmarkGetSeq1e5""",65,17095,18,1,14,301,58,11,1,0,0,0,0,0,0,0,0,7,0,0,0,20,5,14,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
cayleygraph/cayley,/graph/memstore/b/keys_test.go/BenchmarkGetRnd1e4,"""github.com/cayleygraph/cayley/graph/memstore/b.BenchmarkGetRnd1e4""",8335,436846,18,1,822,20726,3053,206,97,0,0,0,0,0,0,0,0,293,28,119,37,2393,573,2290,83,0,30,6422,5,33,0,63,33,25,0,6,0,12,0,4,0,0,2,1,0,0,0,0,0,0,0,5,0,0,2,11,60,1,0
cayleygraph/cayley,/graph/memstore/b/keys_test.go/BenchmarkDelSeq1e4,"""github.com/cayleygraph/cayley/graph/memstore/b.BenchmarkDelSeq1e4""",80,21675,18,1,15,460,83,11,2,0,0,0,0,0,0,0,0,10,0,0,0,40,5,14,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
cayleygraph/cayley,/graph/memstore/b/keys_test.go/BenchmarkNext1e5,"""github.com/cayleygraph/cayley/graph/memstore/b.BenchmarkNext1e5""",8329,435538,16,1,819,20702,3051,204,97,0,0,0,0,0,0,0,0,293,28,118,37,2393,573,2290,82,0,30,6414,5,33,0,63,33,25,0,6,0,12,0,4,0,0,2,1,0,0,0,0,0,0,0,5,0,0,2,11,60,1,0
cayleygraph/cayley,/integration/integration_test.go/BenchmarkNetAndSpeed,"""github.com/cayleygraph/cayley/integration.BenchmarkNetAndSpeed""",8349,435367,20,1,825,20761,3074,203,97,2,2,4,2,2,0,3,6,293,29,118,37,2403,573,2290,83,0,32,6435,5,33,0,63,33,25,0,6,0,12,0,4,0,0,2,1,0,0,0,0,0,0,0,5,0,0,2,11,57,1,0
cayleygraph/cayley,/integration/integration_test.go/BenchmarkHelplessContainsChecker,"""github.com/cayleygraph/cayley/integration.BenchmarkHelplessContainsChecker""",8349,435367,32,1,825,20761,3074,203,97,2,2,4,2,2,0,3,6,293,29,118,37,2403,573,2290,83,0,32,6435,5,33,0,63,33,25,0,6,0,12,0,4,0,0,2,1,0,0,0,0,0,0,0,5,0,0,2,11,57,1,0
cayleygraph/cayley,/graph/memstore/b/keys_test.go/BenchmarkNext1e3,"""github.com/cayleygraph/cayley/graph/memstore/b.BenchmarkNext1e3""",8329,435538,16,1,819,20702,3051,204,97,0,0,0,0,0,0,0,0,293,28,118,37,2393,573,2290,82,0,30,6414,5,33,0,63,33,25,0,6,0,12,0,4,0,0,2,1,0,0,0,0,0,0,0,5,0,0,2,11,60,1,0
cayleygraph/cayley,/graph/memstore/b/keys_test.go/BenchmarkDelSeq1e3,"""github.com/cayleygraph/cayley/graph/memstore/b.BenchmarkDelSeq1e3""",80,21675,18,1,15,460,83,11,2,0,0,0,0,0,0,0,0,10,0,0,0,40,5,14,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
cayleygraph/cayley,/graph/memstore/b/keys_test.go/BenchmarkPrev1e5,"""github.com/cayleygraph/cayley/graph/memstore/b.BenchmarkPrev1e5""",8329,435538,16,1,825,20733,3049,203,97,0,0,0,0,0,0,0,0,292,28,118,37,2402,574,2292,82,0,30,6423,5,33,0,63,33,25,0,6,0,12,0,4,0,0,2,1,0,0,0,0,0,0,0,5,0,0,2,11,57,1,0
cayleygraph/cayley,/integration/integration_test.go/BenchmarkHelplessNotContainsFilms,"""github.com/cayleygraph/cayley/integration.BenchmarkHelplessNotContainsFilms""",8349,435367,33,1,825,20761,3074,203,97,2,2,4,2,2,0,3,6,293,29,118,37,2403,573,2290,83,0,32,6435,5,33,0,63,33,25,0,6,0,12,0,4,0,0,2,1,0,0,0,0,0,0,0,5,0,0,2,11,57,1,0
cayleygraph/cayley,/graph/memstore/b/keys_test.go/BenchmarkSeekRnd1e5,"""github.com/cayleygraph/cayley/graph/memstore/b.BenchmarkSeekRnd1e5""",8332,435930,19,1,820,20703,3053,205,97,0,0,0,0,0,0,0,0,292,28,119,37,2391,573,2290,83,0,30,6414,5,33,0,63,33,25,0,6,0,12,0,4,0,0,2,1,0,0,0,0,0,0,0,5,0,0,2,11,60,1,0
cayleygraph/cayley,/graph/memstore/b/keys_test.go/BenchmarkDelSeq1e5,"""github.com/cayleygraph/cayley/graph/memstore/b.BenchmarkDelSeq1e5""",80,21675,18,1,15,460,83,11,2,0,0,0,0,0,0,0,0,10,0,0,0,40,5,14,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
cayleygraph/cayley,/graph/memstore/b/keys_test.go/BenchmarkSetRnd1e6,"""github.com/cayleygraph/cayley/graph/memstore/b.BenchmarkSetRnd1e6""",8332,435930,18,1,820,20702,3054,204,97,0,0,0,0,0,0,0,0,292,28,119,37,2391,573,2290,83,0,30,6413,5,33,0,63,33,25,0,6,0,12,0,4,0,0,2,1,0,0,0,0,0,0,0,5,0,0,2,11,60,1,0
cayleygraph/cayley,/integration/integration_test.go/BenchmarkKeanuAndNet,"""github.com/cayleygraph/cayley/integration.BenchmarkKeanuAndNet""",8349,435367,20,1,825,20761,3074,203,97,2,2,4,2,2,0,3,6,293,29,118,37,2403,573,2290,83,0,32,6435,5,33,0,63,33,25,0,6,0,12,0,4,0,0,2,1,0,0,0,0,0,0,0,5,0,0,2,11,57,1,0
cayleygraph/cayley,/graph/memstore/b/keys_test.go/BenchmarkDelSeq1e6,"""github.com/cayleygraph/cayley/graph/memstore/b.BenchmarkDelSeq1e6""",80,21675,18,1,15,460,83,11,2,0,0,0,0,0,0,0,0,10,0,0,0,40,5,14,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
cayleygraph/cayley,/graph/memstore/b/keys_test.go/BenchmarkGetSeq1e3,"""github.com/cayleygraph/cayley/graph/memstore/b.BenchmarkGetSeq1e3""",65,17095,18,1,14,301,58,11,1,0,0,0,0,0,0,0,0,7,0,0,0,20,5,14,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
cayleygraph/cayley,/graph/memstore/b/keys_test.go/BenchmarkDelRnd1e3,"""github.com/cayleygraph/cayley/graph/memstore/b.BenchmarkDelRnd1e3""",8353,442342,18,1,823,20891,3082,206,98,0,0,0,0,0,0,0,0,296,28,119,37,2413,573,2290,83,0,30,6458,5,33,0,63,33,25,0,6,0,12,0,4,0,0,2,1,0,0,0,0,0,0,0,5,0,0,2,11,66,1,0
cayleygraph/cayley,/graph/memstore/b/keys_test.go/BenchmarkSeekSeq1e5,"""github.com/cayleygraph/cayley/graph/memstore/b.BenchmarkSeekSeq1e5""",71,18927,19,1,15,313,66,11,2,0,0,0,0,0,0,0,0,7,0,0,0,20,5,14,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
cayleygraph/cayley,/graph/memstore/b/keys_test.go/BenchmarkSetRnd1e5,"""github.com/cayleygraph/cayley/graph/memstore/b.BenchmarkSetRnd1e5""",8332,435930,18,1,820,20702,3054,204,97,0,0,0,0,0,0,0,0,292,28,119,37,2391,573,2290,83,0,30,6413,5,33,0,63,33,25,0,6,0,12,0,4,0,0,2,1,0,0,0,0,0,0,0,5,0,0,2,11,60,1,0
