project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
cgrates/cgrates,/cmd/cgr-engine/engine_test.go/BenchmarkRPCGet,"""github.com/cgrates/cgrates/cmd/cgr-engine.BenchmarkRPCGet""",6769,35749,15,1,70,349,106,9,0,0,1,0,0,0,0,0,0,14,0,1,0,26,1,4,0,0,0,143,0,0,0,0,6,0,0,6,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0
cgrates/cgrates,/engine/calldesc_test.go/BenchmarkStorageRestoring,"""github.com/cgrates/cgrates/engine.BenchmarkStorageRestoring""",9695,71387,25,1,116,961,313,24,5,0,0,0,0,0,0,0,0,28,2,11,0,134,1,4,0,0,8,313,0,4,0,0,9,0,0,9,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,12,0,0
cgrates/cgrates,/guardian/guardian_test.go/BenchmarkGuard,"""github.com/cgrates/cgrates/guardian.BenchmarkGuard""",47916,491096,14,1,739,11109,3642,348,88,5,4,9,2,13,0,4,9,209,57,144,39,1615,31,234,0,0,80,3315,0,18,1,0,51,0,15,32,0,24,10,16,4,0,8,3,0,0,0,0,0,2,0,10,0,0,12,56,120,3,0
cgrates/cgrates,/engine/actions_test.go/BenchmarkUUID,"""github.com/cgrates/cgrates/engine.BenchmarkUUID""",6822,38441,13,1,67,360,111,9,0,0,0,0,0,0,0,0,0,13,0,2,1,29,1,4,0,0,0,145,0,0,0,0,6,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
cgrates/cgrates,/engine/storage_test.go/BenchmarkMarshallerGOBStoreRestore,"""github.com/cgrates/cgrates/engine.BenchmarkMarshallerGOBStoreRestore""",7710,41387,34,1,79,459,152,14,1,0,0,0,0,0,0,0,0,14,7,6,4,34,1,4,0,0,0,169,0,2,1,0,10,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
cgrates/cgrates,/engine/storage_test.go/BenchmarkMarshallerJSONStoreRestore,"""github.com/cgrates/cgrates/engine.BenchmarkMarshallerJSONStoreRestore""",7710,41387,35,1,79,457,147,14,1,0,0,0,0,0,0,0,0,14,7,6,4,34,1,4,0,0,0,169,0,0,1,0,8,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
cgrates/cgrates,/engine/ratingplan_test.go/BenchmarkRatingPlanMarshal,"""github.com/cgrates/cgrates/engine.BenchmarkRatingPlanMarshal""",7473,38521,26,1,74,406,128,13,1,0,0,0,0,0,0,0,0,13,4,5,3,31,1,4,0,0,0,160,0,0,1,0,6,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
cgrates/cgrates,/engine/storage_test.go/BenchmarkMarshallerBincStoreRestore,"""github.com/cgrates/cgrates/engine.BenchmarkMarshallerBincStoreRestore""",7803,41651,35,1,80,462,150,14,1,0,0,0,0,0,0,0,0,14,7,6,4,34,1,4,0,0,0,170,0,0,1,0,6,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
cgrates/cgrates,/engine/rateinterval_test.go/BenchmarkRateIntervalContainsDate,"""github.com/cgrates/cgrates/engine.BenchmarkRateIntervalContainsDate""",7245,38909,33,1,74,430,135,13,0,0,0,0,0,0,0,0,0,17,1,2,0,39,1,4,0,0,0,172,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
cgrates/cgrates,/engine/ratingplan_test.go/BenchmarkRatingPlanMarshalJson,"""github.com/cgrates/cgrates/engine.BenchmarkRatingPlanMarshalJson""",7287,37993,30,1,71,400,124,13,1,0,0,0,0,0,0,0,0,13,3,5,3,31,1,4,0,0,0,158,0,0,1,0,8,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
cgrates/cgrates,/engine/account_test.go/BenchmarkGetSecondForPrefix,"""github.com/cgrates/cgrates/engine.BenchmarkGetSecondForPrefix""",16400,131878,27,1,195,2147,693,67,13,0,0,0,0,0,0,0,0,52,10,14,1,287,3,12,0,0,12,676,0,4,0,0,9,0,0,9,0,7,3,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,16,0,0
cgrates/cgrates,/engine/ratingplan_test.go/BenchmarkRatingPlanRestore,"""github.com/cgrates/cgrates/engine.BenchmarkRatingPlanRestore""",11262,78204,26,1,143,1281,476,22,2,0,1,0,0,3,0,0,0,29,6,19,4,179,3,9,0,0,15,386,0,9,1,0,14,0,0,14,0,11,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,24,0,0
cgrates/cgrates,/engine/storage_test.go/BenchmarkMarshallerJSONBufStoreRestore,"""github.com/cgrates/cgrates/engine.BenchmarkMarshallerJSONBufStoreRestore""",7782,41833,38,1,83,465,154,14,1,0,1,0,0,0,0,0,0,14,7,6,4,34,1,4,0,0,0,171,0,2,1,0,10,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
cgrates/cgrates,/engine/storage_test.go/BenchmarkMarshallerBSONStoreRestore,"""github.com/cgrates/cgrates/engine.BenchmarkMarshallerBSONStoreRestore""",7710,41387,35,1,79,457,147,14,1,0,0,0,0,0,0,0,0,14,7,6,4,34,1,4,0,0,0,169,0,0,1,0,6,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
cgrates/cgrates,/history/scribe_test.go/BenchmarkModify,"""github.com/cgrates/cgrates/history.BenchmarkModify""",6701,35405,15,1,67,361,108,10,0,0,0,0,0,0,0,0,0,15,0,1,0,28,1,4,0,0,0,146,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0
cgrates/cgrates,/engine/calldesc_test.go/BenchmarkStorageGetting,"""github.com/cgrates/cgrates/engine.BenchmarkStorageGetting""",7856,50379,23,1,88,503,170,10,0,0,0,0,0,0,0,0,0,15,1,2,0,55,1,4,0,0,4,188,0,1,0,0,9,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0
cgrates/cgrates,/engine/calldesc_test.go/BenchmarkSplitting,"""github.com/cgrates/cgrates/engine.BenchmarkSplitting""",11993,90483,18,1,140,1433,476,40,7,0,0,0,0,0,0,0,0,39,4,11,0,194,1,4,0,0,8,441,0,4,0,0,9,0,0,9,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,12,0,0
cgrates/cgrates,/guardian/guardian_test.go/BenchmarkGuardian,"""github.com/cgrates/cgrates/guardian.BenchmarkGuardian""",47916,491096,17,1,739,11100,3638,348,88,5,4,9,2,11,0,4,9,209,57,144,39,1615,31,234,0,0,80,3315,0,18,1,0,51,0,15,32,0,24,10,16,4,0,8,3,0,0,0,0,0,2,0,10,0,0,12,56,120,3,0
cgrates/cgrates,/engine/calldesc_test.go/BenchmarkStorageGetCost,"""github.com/cgrates/cgrates/engine.BenchmarkStorageGetCost""",14540,111873,23,1,169,1762,580,51,7,0,0,0,0,0,0,0,0,47,6,12,0,230,2,8,0,0,8,565,0,4,0,0,9,0,0,9,0,7,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,12,0,0
cgrates/cgrates,/engine/account_test.go/BenchmarkAccountStorageStoreRestore,"""github.com/cgrates/cgrates/engine.BenchmarkAccountStorageStoreRestore""",8382,55040,35,1,94,508,170,12,1,0,1,0,0,0,0,0,0,15,4,1,1,47,1,4,0,0,4,188,0,2,0,0,12,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0
cgrates/cgrates,/engine/destinations_test.go/BenchmarkDestinationStorageStoreRestore,"""github.com/cgrates/cgrates/engine.BenchmarkDestinationStorageStoreRestore""",10761,75546,39,1,138,1241,454,18,1,0,1,0,0,3,0,0,0,29,4,16,1,179,3,9,0,0,15,372,0,9,0,0,14,0,0,14,0,10,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,24,0,0
cgrates/cgrates,/engine/account_test.go/BenchmarkGetSecondsForPrefix,"""github.com/cgrates/cgrates/engine.BenchmarkGetSecondsForPrefix""",16400,131878,28,1,195,2144,691,67,13,0,0,0,0,0,0,0,0,52,10,14,1,287,3,12,0,0,12,676,0,4,0,0,9,0,0,9,0,7,3,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,16,0,0
cgrates/cgrates,/engine/calldesc_test.go/BenchmarkStorageSingleGetSessionTime,"""github.com/cgrates/cgrates/engine.BenchmarkStorageSingleGetSessionTime""",48100,493999,36,1,741,11124,3647,349,88,5,4,9,2,10,0,4,9,209,58,145,39,1618,31,234,0,0,80,3320,0,18,1,0,51,0,15,32,0,24,10,16,4,0,8,3,0,0,0,0,0,2,0,10,0,0,12,56,120,3,0
cgrates/cgrates,/engine/calldesc_test.go/BenchmarkStorageMultipleGetSessionTime,"""github.com/cgrates/cgrates/engine.BenchmarkStorageMultipleGetSessionTime""",48100,493999,38,1,741,11124,3647,349,88,5,4,9,2,10,0,4,9,209,58,145,39,1618,31,234,0,0,80,3320,0,18,1,0,51,0,15,32,0,24,10,16,4,0,8,3,0,0,0,0,0,2,0,10,0,0,12,56,120,3,0
cgrates/cgrates,/engine/storage_test.go/BenchmarkMarshallerCodecMsgpackStoreRestore,"""github.com/cgrates/cgrates/engine.BenchmarkMarshallerCodecMsgpackStoreRestore""",7803,41651,43,1,80,466,152,14,1,0,0,0,0,0,0,0,0,14,8,6,5,34,1,4,0,0,0,170,0,0,1,0,6,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
