project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
apigee-labs/transicator,/changeserver/tracker_perf_test.go/BenchmarkTracker100,"""github.com/apigee-labs/transicator/changeserver.BenchmarkTracker100""",222,2429,19,1,7,163,36,8,1,2,7,4,0,2,0,1,2,7,2,1,3,9,1,4,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
apigee-labs/transicator,/changeserver/tracker_perf_test.go/BenchmarkTracker1,"""github.com/apigee-labs/transicator/changeserver.BenchmarkTracker1""",222,2429,17,1,7,163,36,8,1,2,7,4,0,2,0,1,2,7,2,1,3,9,1,4,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
apigee-labs/transicator,/changeserver/tracker_perf_test.go/BenchmarkTrackerTimeout1,"""github.com/apigee-labs/transicator/changeserver.BenchmarkTrackerTimeout1""",222,2429,24,1,7,163,36,8,1,2,7,4,0,2,0,1,2,7,2,1,3,9,1,4,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
apigee-labs/transicator,/changeserver/tracker_perf_test.go/BenchmarkTrackerTimeout100,"""github.com/apigee-labs/transicator/changeserver.BenchmarkTrackerTimeout100""",222,2429,26,1,7,163,36,8,1,2,7,4,0,2,0,1,2,7,2,1,3,9,1,4,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
apigee-labs/transicator,/storage/storage_bench_test.go/BenchmarkSequence0To100WithMetadataParallel,"""github.com/apigee-labs/transicator/storage.BenchmarkSequence0To100WithMetadataParallel""",2180,37498,43,1,161,2132,702,30,3,0,0,0,0,0,0,0,0,48,8,45,1,217,20,91,6,0,10,586,0,30,5,35,17,15,0,0,0,3,0,5,3,0,20,0,0,0,0,0,0,0,0,3,0,0,1,26,1,0,0
apigee-labs/transicator,/changeserver/tracker_perf_test.go/BenchmarkTracker10,"""github.com/apigee-labs/transicator/changeserver.BenchmarkTracker10""",222,2429,18,1,7,163,36,8,1,2,7,4,0,2,0,1,2,7,2,1,3,9,1,4,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
apigee-labs/transicator,/storage/storage_bench_test.go/BenchmarkSequence0To100WithMetadataAfterClean,"""github.com/apigee-labs/transicator/storage.BenchmarkSequence0To100WithMetadataAfterClean""",2180,37498,45,1,161,2131,699,30,3,0,0,0,0,0,0,0,0,49,8,45,1,216,20,91,6,0,10,585,0,30,5,35,17,15,0,0,0,3,0,5,3,0,20,0,0,0,0,0,0,0,0,3,0,0,1,26,2,0,0
apigee-labs/transicator,/storage/storage_bench_test.go/BenchmarkBatch10Inserts,"""github.com/apigee-labs/transicator/storage.BenchmarkBatch10Inserts""",2132,36711,23,1,150,1988,668,26,3,0,0,0,0,0,0,0,0,36,8,43,1,199,20,91,6,0,6,556,0,28,5,19,15,13,0,0,0,3,0,4,2,0,20,0,0,0,0,0,0,0,0,4,0,0,0,26,0,0,0
apigee-labs/transicator,/storage/storage_bench_test.go/BenchmarkSequence0To100WithMetadata,"""github.com/apigee-labs/transicator/storage.BenchmarkSequence0To100WithMetadata""",2180,37498,35,1,161,2133,701,30,3,0,0,0,0,0,0,0,0,49,8,45,1,218,20,91,6,0,10,587,0,30,5,35,17,15,0,0,0,3,0,5,3,0,20,0,0,0,0,0,0,0,0,3,0,0,1,26,1,0,0
apigee-labs/transicator,/changeserver/tracker_perf_test.go/BenchmarkTrackerTimeout10,"""github.com/apigee-labs/transicator/changeserver.BenchmarkTrackerTimeout10""",222,2429,25,1,7,163,36,8,1,2,7,4,0,2,0,1,2,7,2,1,3,9,1,4,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
apigee-labs/transicator,/storage/storage_bench_test.go/BenchmarkSequenceAfterEnd,"""github.com/apigee-labs/transicator/storage.BenchmarkSequenceAfterEnd""",2180,37498,25,1,161,2132,704,30,3,0,0,0,0,0,0,0,0,49,8,45,1,218,20,91,6,0,10,587,0,30,5,35,17,15,0,0,0,3,0,5,3,0,20,0,0,0,0,0,0,0,0,3,0,0,1,26,1,0,0
apigee-labs/transicator,/storage/storage_bench_test.go/BenchmarkInserts,"""github.com/apigee-labs/transicator/storage.BenchmarkInserts""",2132,36711,16,1,150,1988,668,26,3,0,0,0,0,0,0,0,0,36,8,43,1,199,20,91,6,0,6,556,0,28,5,19,15,13,0,0,0,3,0,4,2,0,20,0,0,0,0,0,0,0,0,4,0,0,0,26,0,0,0
