project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
nelhage/taktician,/ai/minimax_test.go/BenchmarkMinimax,"""github.com/nelhage/taktician/ai.BenchmarkMinimax""",925,32347,16,1,101,1960,622,57,12,0,0,1,0,1,0,0,0,68,12,22,5,208,23,84,6,0,0,520,0,5,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,0
nelhage/taktician,/tak/game_test.go/BenchmarkFullHasRoad,"""github.com/nelhage/taktician/tak.BenchmarkFullHasRoad""",252,6247,20,1,27,282,78,9,1,0,0,0,0,0,0,0,0,7,6,0,0,15,6,21,2,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nelhage/taktician,/tak/game_test.go/BenchmarkHasRoadWindy,"""github.com/nelhage/taktician/tak.BenchmarkHasRoadWindy""",252,6247,21,1,27,277,77,9,0,0,0,0,0,0,0,0,0,6,6,0,0,14,6,21,2,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nelhage/taktician,/tests/bench_test.go/BenchmarkMoveEmpty,"""github.com/nelhage/taktician/tests.BenchmarkMoveEmpty""",311,6766,18,1,34,494,151,11,4,0,0,0,0,0,0,0,0,12,6,1,0,42,10,39,3,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nelhage/taktician,/tak/game_test.go/BenchmarkEmptyHasRoad,"""github.com/nelhage/taktician/tak.BenchmarkEmptyHasRoad""",207,5681,21,1,23,224,54,6,0,0,0,0,0,0,0,0,0,4,6,0,0,11,4,17,2,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nelhage/taktician,/ai/evaluate_test.go/BenchmarkEvalMidGame,"""github.com/nelhage/taktician/ai.BenchmarkEvalMidGame""",491,15825,20,1,55,770,256,30,6,0,0,0,0,0,0,0,0,32,6,7,0,64,9,33,2,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
nelhage/taktician,/ai/evaluate_test.go/BenchmarkEvalEarlyGame,"""github.com/nelhage/taktician/ai.BenchmarkEvalEarlyGame""",491,15825,22,1,55,770,256,30,6,0,0,0,0,0,0,0,0,32,6,7,0,64,9,33,2,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
nelhage/taktician,/tests/bench_test.go/BenchmarkPuzzle1,"""github.com/nelhage/taktician/tests.BenchmarkPuzzle1""",924,32250,16,1,103,2019,651,62,14,0,0,1,0,1,0,0,0,68,12,27,5,218,24,88,7,0,0,542,0,5,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,5,5,0
nelhage/taktician,/tests/bench_test.go/BenchmarkMoveComplex,"""github.com/nelhage/taktician/tests.BenchmarkMoveComplex""",336,7392,20,1,40,622,211,19,8,0,0,0,0,0,0,0,0,16,6,6,0,57,14,52,4,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
nelhage/taktician,/ptn/move_test.go/BenchmarkParseMove,"""github.com/nelhage/taktician/ptn.BenchmarkParseMove""",34,375,18,1,4,97,24,3,0,0,0,0,0,0,0,0,0,6,0,1,0,11,2,9,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
