project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
btcsuite/btcd,/wire/bench_test.go/BenchmarkWriteBlockHeader,"""github.com/btcsuite/btcd/wire.BenchmarkWriteBlockHeader""",630,5622,25,1,9,171,43,2,0,0,1,1,0,0,0,2,4,2,0,5,0,17,0,0,0,0,0,47,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
btcsuite/btcd,/wire/bench_test.go/BenchmarkTxHash,"""github.com/btcsuite/btcd/wire.BenchmarkTxHash""",1265,13610,15,1,20,205,79,5,0,0,1,1,0,0,0,2,4,1,0,3,0,20,0,0,0,0,0,50,0,2,2,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
btcsuite/btcd,/wire/bench_test.go/BenchmarkDecodeGetHeaders,"""github.com/btcsuite/btcd/wire.BenchmarkDecodeGetHeaders""",9428,119140,25,1,236,3631,1698,37,6,0,1,1,0,0,0,2,4,107,6,32,0,256,4,13,2,0,0,602,0,12,4,0,19,12,0,0,0,23,1,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0
btcsuite/btcd,/wire/bench_test.go/BenchmarkReadVarInt5,"""github.com/btcsuite/btcd/wire.BenchmarkReadVarInt5""",9229,117945,20,1,230,3393,1635,34,6,0,1,1,0,0,0,2,4,102,5,25,0,228,4,13,2,0,0,550,0,11,4,0,16,11,0,0,0,19,1,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0
btcsuite/btcd,/wire/bench_test.go/BenchmarkWriteVarInt5,"""github.com/btcsuite/btcd/wire.BenchmarkWriteVarInt5""",567,5498,21,1,8,76,30,1,0,0,1,1,0,0,0,2,4,1,0,2,0,7,0,0,0,0,0,21,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
btcsuite/btcd,/wire/bench_test.go/BenchmarkReadOutPoint,"""github.com/btcsuite/btcd/wire.BenchmarkReadOutPoint""",9040,115951,21,1,223,3323,1607,34,6,0,1,1,0,0,0,2,4,102,5,25,0,219,3,9,2,0,0,534,0,11,4,0,14,9,0,0,0,17,1,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0
btcsuite/btcd,/wire/bench_test.go/BenchmarkReadVarInt3,"""github.com/btcsuite/btcd/wire.BenchmarkReadVarInt3""",9229,117945,20,1,230,3393,1635,34,6,0,1,1,0,0,0,2,4,102,5,25,0,228,4,13,2,0,0,550,0,11,4,0,16,11,0,0,0,19,1,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0
btcsuite/btcd,/peer/mrunoncemap_test.go/BenchmarkMruNonceList,"""github.com/btcsuite/btcd/peer.BenchmarkMruNonceList""",24,390,21,1,1,62,19,2,0,0,0,0,0,0,0,0,0,4,0,1,1,3,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
btcsuite/btcd,/wire/bench_test.go/BenchmarkDoubleHashH,"""github.com/btcsuite/btcd/wire.BenchmarkDoubleHashH""",8914,114520,20,1,220,3304,1602,34,6,0,1,1,0,0,0,2,4,102,5,24,0,218,3,9,2,0,0,531,0,10,4,0,13,8,0,0,0,15,1,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0
btcsuite/btcd,/peer/mruinvmap_test.go/BenchmarkMruInventoryList,"""github.com/btcsuite/btcd/peer.BenchmarkMruInventoryList""",8948,114620,25,1,225,3379,1623,35,6,0,1,1,0,0,0,2,4,105,5,26,1,222,3,9,2,0,1,541,0,9,5,0,13,8,0,0,0,15,1,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,0
btcsuite/btcd,/wire/bench_test.go/BenchmarkDecodeGetBlocks,"""github.com/btcsuite/btcd/wire.BenchmarkDecodeGetBlocks""",9428,119146,24,1,236,3631,1698,37,6,0,1,1,0,0,0,2,4,107,6,32,0,256,4,13,2,0,0,602,0,12,4,0,19,12,0,0,0,23,1,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0
btcsuite/btcd,/wire/bench_test.go/BenchmarkReadTxOut,"""github.com/btcsuite/btcd/wire.BenchmarkReadTxOut""",9544,121614,18,1,235,3607,1678,34,6,0,2,2,0,0,0,4,8,103,5,31,0,251,4,13,2,0,0,598,0,11,4,0,17,12,0,0,0,24,1,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0
btcsuite/btcd,/btcec/bench_test.go/BenchmarkAddJacobianNotZOne,"""github.com/btcsuite/btcd/btcec.BenchmarkAddJacobianNotZOne""",8883,114959,27,1,221,3309,1617,34,6,0,1,1,0,0,0,2,4,101,5,24,0,217,3,9,2,0,0,531,0,9,4,0,13,8,0,0,0,15,1,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0
btcsuite/btcd,/btcec/bench_test.go/BenchmarkScalarBaseMultLarge,"""github.com/btcsuite/btcd/btcec.BenchmarkScalarBaseMultLarge""",8883,114959,28,1,221,3301,1602,34,6,0,1,1,0,0,0,2,4,101,5,24,0,217,3,9,2,0,0,531,0,9,4,0,13,8,0,0,0,15,1,39,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0
btcsuite/btcd,/database/ffldb/bench_test.go/BenchmarkBlock,"""github.com/btcsuite/btcd/database/ffldb.BenchmarkBlock""",14742,488684,14,1,630,10701,3651,166,21,0,2,2,0,0,0,4,8,192,33,160,8,936,13,46,5,1,18,1884,0,37,7,0,68,63,0,0,0,37,1,64,4,0,2,0,0,0,0,0,0,0,0,12,0,0,3,3,86,2,0
btcsuite/btcd,/wire/bench_test.go/BenchmarkWriteOutPoint,"""github.com/btcsuite/btcd/wire.BenchmarkWriteOutPoint""",378,3504,22,1,5,43,11,1,0,0,1,1,0,0,0,2,4,1,1,2,0,2,0,0,0,0,0,13,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
btcsuite/btcd,/btcec/bench_test.go/BenchmarkScalarBaseMult,"""github.com/btcsuite/btcd/btcec.BenchmarkScalarBaseMult""",8883,114959,23,1,221,3301,1602,34,6,0,1,1,0,0,0,2,4,101,5,24,0,217,3,9,2,0,0,531,0,9,4,0,13,8,0,0,0,15,1,39,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0
btcsuite/btcd,/btcec/bench_test.go/BenchmarkFieldNormalize,"""github.com/btcsuite/btcd/btcec.BenchmarkFieldNormalize""",32,1337,23,1,1,125,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
btcsuite/btcd,/wire/bench_test.go/BenchmarkWriteTxOut,"""github.com/btcsuite/btcd/wire.BenchmarkWriteTxOut""",693,6929,19,1,10,93,37,1,0,0,1,1,0,0,0,2,4,1,0,2,0,9,0,0,0,0,0,25,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
btcsuite/btcd,/wire/bench_test.go/BenchmarkDeserializeTxSmall,"""github.com/btcsuite/btcd/wire.BenchmarkDeserializeTxSmall""",9796,124598,27,1,239,3793,1724,40,6,0,2,2,0,0,0,4,8,107,7,36,0,264,4,13,2,0,0,623,0,11,4,0,17,12,0,0,0,25,1,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0
