project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Sub256,"""github.com/nsqio/nsq/nsqd.BenchmarkProtocolV2Sub256""",8092,212183,25,1,560,7820,3088,157,48,25,18,40,6,18,0,21,55,128,28,135,30,807,23,97,8,0,53,1693,29,24,10,0,34,10,0,22,0,51,8,13,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,10,341,79,2
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Sub512,"""github.com/nsqio/nsq/nsqd.BenchmarkProtocolV2Sub512""",8092,212183,25,1,560,7820,3088,157,48,25,18,40,6,18,0,21,55,128,28,135,30,807,23,97,8,0,53,1693,29,24,10,0,34,10,0,22,0,51,8,13,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,10,341,79,2
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Exec,"""github.com/nsqio/nsq/nsqd.BenchmarkProtocolV2Exec""",7748,195741,23,1,546,7536,2874,153,48,23,17,38,4,17,0,21,55,123,27,137,29,784,23,97,2,0,51,1645,24,24,9,0,34,10,0,22,0,50,7,11,6,1,175,67,0,0,0,0,0,0,0,42,0,0,13,8,329,79,1
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Pub1k,"""github.com/nsqio/nsq/nsqd.BenchmarkProtocolV2Pub1k""",7970,204563,24,1,557,7761,3048,157,50,23,17,38,5,20,0,21,55,128,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,9,345,79,2
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2MultiSub4,"""github.com/nsqio/nsq/nsqd.BenchmarkProtocolV2MultiSub4""",8092,212183,28,1,560,7825,3089,158,50,25,18,40,6,18,0,21,55,129,28,135,30,807,23,97,8,0,53,1694,29,24,10,0,34,10,0,22,0,51,8,13,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,11,341,79,2
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Pub1m,"""github.com/nsqio/nsq/nsqd.BenchmarkProtocolV2Pub1m""",7970,204563,24,1,557,7761,3048,157,50,23,17,38,5,20,0,21,55,128,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,9,345,79,2
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Pub4k,"""github.com/nsqio/nsq/nsqd.BenchmarkProtocolV2Pub4k""",7970,204563,24,1,557,7761,3048,157,50,23,17,38,5,20,0,21,55,128,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,9,345,79,2
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Pub16k,"""github.com/nsqio/nsq/nsqd.BenchmarkProtocolV2Pub16k""",7970,204563,25,1,557,7761,3048,157,50,23,17,38,5,20,0,21,55,128,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,9,345,79,2
nsqio/nsq,/nsqd/http_test.go/BenchmarkHTTPpub,"""github.com/nsqio/nsq/nsqd.BenchmarkHTTPpub""",7912,199800,16,1,555,7729,3027,155,49,23,17,38,5,18,0,21,55,127,29,136,29,797,23,97,5,0,53,1670,24,26,10,0,34,10,0,22,0,53,9,11,6,1,188,75,0,0,0,0,0,0,0,48,0,0,13,9,341,79,2
nsqio/nsq,/nsqd/guid_test.go/BenchmarkGUIDCopy,"""github.com/nsqio/nsq/nsqd.BenchmarkGUIDCopy""",29,42,17,1,0,6,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
