project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
prataprc/goparsec,/expr/expr_test.go/BenchmarkExpr3Op,"""github.com/prataprc/goparsec/expr.BenchmarkExpr3Op""",165,12947,16,1,52,502,104,11,0,0,0,0,0,0,0,0,0,5,2,11,3,57,6,24,2,0,0,166,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
prataprc/goparsec,/json/json_test.go/BenchmarkJSONInt,"""github.com/prataprc/goparsec/json.BenchmarkJSONInt""",162,13470,16,1,52,498,103,11,0,0,0,0,0,0,0,0,0,5,2,11,2,57,6,24,2,0,0,166,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
prataprc/goparsec,/json/json_test.go/BenchmarkEncJSONNull,"""github.com/prataprc/goparsec/json.BenchmarkEncJSONNull""",3,231,20,1,0,7,5,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prataprc/goparsec,terminals_test.go/BenchmarkTerminalInt,"""github.com/prataprc/goparsec.BenchmarkTerminalInt""",72,4683,20,1,18,81,21,1,0,0,0,0,0,0,0,0,0,2,0,2,1,7,0,0,1,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prataprc/goparsec,/json/json_test.go/BenchmarkEncJSONBool,"""github.com/prataprc/goparsec/json.BenchmarkEncJSONBool""",3,231,20,1,0,7,5,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prataprc/goparsec,/expr/expr_test.go/BenchmarkExpr2Op,"""github.com/prataprc/goparsec/expr.BenchmarkExpr2Op""",165,12947,16,1,52,502,104,11,0,0,0,0,0,0,0,0,0,5,2,11,3,57,6,24,2,0,0,166,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
prataprc/goparsec,/expr/expr_test.go/BenchmarkExpr1Op,"""github.com/prataprc/goparsec/expr.BenchmarkExpr1Op""",165,12947,16,1,52,502,104,11,0,0,0,0,0,0,0,0,0,5,2,11,3,57,6,24,2,0,0,166,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
prataprc/goparsec,/json/json_test.go/BenchmarkJSONBool,"""github.com/prataprc/goparsec/json.BenchmarkJSONBool""",162,13470,17,1,52,498,103,11,0,0,0,0,0,0,0,0,0,5,2,11,2,57,6,24,2,0,0,166,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
prataprc/goparsec,/json/json_test.go/BenchmarkEncJSONInt,"""github.com/prataprc/goparsec/json.BenchmarkEncJSONInt""",3,231,19,1,0,7,5,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prataprc/goparsec,/json/json_test.go/BenchmarkJSONNull,"""github.com/prataprc/goparsec/json.BenchmarkJSONNull""",162,13470,17,1,52,498,103,11,0,0,0,0,0,0,0,0,0,5,2,11,2,57,6,24,2,0,0,166,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
