project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
ryszard/goskiplist,/skiplist/skiplist_test.go/BenchmarkLookup65536,"""github.com/ryszard/goskiplist/skiplist.BenchmarkLookup65536""",28,9850,20,1,12,119,32,7,1,0,0,0,0,0,0,0,0,3,1,3,0,11,0,0,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ryszard/goskiplist,/skiplist/skiplist_test.go/BenchmarkSet16,"""github.com/ryszard/goskiplist/skiplist.BenchmarkSet16""",24,8319,14,1,9,108,29,7,1,0,0,0,0,0,0,0,0,3,1,4,0,10,0,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ryszard/goskiplist,/skiplist/skiplist_test.go/BenchmarkSet256,"""github.com/ryszard/goskiplist/skiplist.BenchmarkSet256""",24,8319,15,1,9,108,29,7,1,0,0,0,0,0,0,0,0,3,1,4,0,10,0,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ryszard/goskiplist,/skiplist/skiplist_test.go/BenchmarkLookup256,"""github.com/ryszard/goskiplist/skiplist.BenchmarkLookup256""",28,9850,18,1,12,119,32,7,1,0,0,0,0,0,0,0,0,3,1,3,0,11,0,0,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ryszard/goskiplist,/skiplist/skiplist_test.go/BenchmarkForwardSeek,"""github.com/ryszard/goskiplist/skiplist.BenchmarkForwardSeek""",28,9272,20,1,12,137,37,7,1,0,0,0,0,0,0,0,0,3,1,4,0,13,0,0,1,0,0,39,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ryszard/goskiplist,/skiplist/skiplist_test.go/BenchmarkForwardSeekReusedIterator,"""github.com/ryszard/goskiplist/skiplist.BenchmarkForwardSeekReusedIterator""",30,9893,34,1,13,175,40,7,1,0,0,0,0,0,0,0,0,3,1,4,0,18,0,0,1,0,0,46,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ryszard/goskiplist,/skiplist/skiplist_test.go/BenchmarkLookup16,"""github.com/ryszard/goskiplist/skiplist.BenchmarkLookup16""",28,9850,17,1,12,119,32,7,1,0,0,0,0,0,0,0,0,3,1,3,0,11,0,0,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ryszard/goskiplist,/skiplist/skiplist_test.go/LookupBenchmark,"""github.com/ryszard/goskiplist/skiplist.LookupBenchmark""",26,8940,15,2,12,117,31,7,1,0,0,0,0,0,0,0,0,3,1,3,0,11,0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ryszard/goskiplist,/skiplist/skiplist_test.go/SetBenchmark,"""github.com/ryszard/goskiplist/skiplist.SetBenchmark""",22,7409,12,2,9,106,28,7,1,0,0,0,0,0,0,0,0,3,1,4,0,10,0,0,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ryszard/goskiplist,/skiplist/skiplist_test.go/BenchmarkRandomSeek,"""github.com/ryszard/goskiplist/skiplist.BenchmarkRandomSeek""",24,8030,19,1,10,123,31,7,1,0,0,0,0,0,0,0,0,3,1,4,0,12,0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ryszard/goskiplist,/skiplist/skiplist_test.go/BenchmarkSet65536,"""github.com/ryszard/goskiplist/skiplist.BenchmarkSet65536""",24,8319,17,1,9,108,29,7,1,0,0,0,0,0,0,0,0,3,1,4,0,10,0,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
