project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
CloudyKit/jet,eval_test.go/BenchmarkRangeSimple,"""github.com/CloudyKit/jet.BenchmarkRangeSimple""",2432,172307,20,1,211,3006,1334,72,2,1,2,1,1,1,0,0,0,60,6,8,3,407,37,163,15,2,5,943,0,5,0,0,0,0,0,0,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,9,23,0,0
CloudyKit/jet,eval_test.go/BenchmarkRangeSimpleStd,"""github.com/CloudyKit/jet.BenchmarkRangeSimpleStd""",384,22433,23,1,34,234,59,10,0,0,0,0,0,0,0,0,0,9,0,0,0,33,1,4,0,0,0,79,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CloudyKit/jet,eval_test.go/BenchmarkSimpleActionNoAlloc,"""github.com/CloudyKit/jet.BenchmarkSimpleActionNoAlloc""",2432,172307,28,1,211,3003,1333,72,2,1,2,1,1,1,0,0,0,60,6,8,3,406,37,163,14,2,5,942,0,5,0,0,0,0,0,0,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,9,23,0,0
CloudyKit/jet,eval_test.go/BenchmarkNewBlockYield,"""github.com/CloudyKit/jet.BenchmarkNewBlockYield""",2432,172307,22,1,211,3010,1338,72,2,1,2,1,1,1,0,0,0,59,6,8,3,407,37,163,14,2,5,943,0,5,0,0,0,0,0,0,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,9,23,0,0
CloudyKit/jet,eval_test.go/BenchmarkRangeSimpleSetStd,"""github.com/CloudyKit/jet.BenchmarkRangeSimpleSetStd""",384,22433,26,1,34,234,59,10,0,0,0,0,0,0,0,0,0,9,0,0,0,33,1,4,0,0,0,79,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CloudyKit/jet,eval_test.go/BenchmarkSimpleAction,"""github.com/CloudyKit/jet.BenchmarkSimpleAction""",2432,172307,21,1,211,3006,1335,72,2,1,2,1,1,1,0,0,0,60,6,8,3,407,37,163,14,2,5,943,0,5,0,0,0,0,0,0,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,9,23,0,0
CloudyKit/jet,eval_test.go/BenchmarkDynamicFunc,"""github.com/CloudyKit/jet.BenchmarkDynamicFunc""",2444,172692,20,1,212,3011,1337,72,2,1,2,1,1,1,0,0,0,61,6,8,3,407,37,163,14,2,5,944,0,5,0,0,0,0,0,0,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,9,23,0,0
CloudyKit/jet,eval_test.go/BenchmarkRangeSimpleSet,"""github.com/CloudyKit/jet.BenchmarkRangeSimpleSet""",2432,172307,23,1,211,3006,1334,72,2,1,2,1,1,1,0,0,0,60,6,8,3,407,37,163,15,2,5,943,0,5,0,0,0,0,0,0,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,9,23,0,0
CloudyKit/jet,eval_test.go/BenchmarkSimpleActionStdNoAlloc,"""github.com/CloudyKit/jet.BenchmarkSimpleActionStdNoAlloc""",384,22433,31,1,34,234,59,10,0,0,0,0,0,0,0,0,0,9,0,0,0,33,1,4,0,0,0,79,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CloudyKit/jet,eval_test.go/BenchmarkSimpleActionStd,"""github.com/CloudyKit/jet.BenchmarkSimpleActionStd""",384,22433,24,1,34,234,59,10,0,0,0,0,0,0,0,0,0,9,0,0,0,33,1,4,0,0,0,79,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CloudyKit/jet,eval_test.go/BenchmarkJetFunc,"""github.com/CloudyKit/jet.BenchmarkJetFunc""",2444,172692,16,1,212,3012,1341,72,2,1,2,1,1,1,0,0,0,61,6,8,3,407,37,163,14,2,5,944,0,5,0,0,0,0,0,0,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,9,23,0,0
