project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
godbus/dbus,conn_test.go/BenchmarkCall,"""github.com/godbus/dbus.BenchmarkCall""",5400,51798,13,1,178,2381,1096,57,7,3,12,1,3,4,0,1,2,44,5,75,11,294,31,152,37,2,11,709,4,48,2,0,11,5,0,0,0,19,0,0,0,0,7,0,0,0,0,0,0,0,0,12,2,0,1,4,56,0,4
godbus/dbus,sig_test.go/BenchmarkGetSignatureLong,"""github.com/godbus/dbus.BenchmarkGetSignatureLong""",144,1015,25,1,3,78,22,3,0,0,0,0,0,0,0,0,0,4,0,0,0,7,2,16,2,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
godbus/dbus,conn_test.go/BenchmarkServeSameConnAsync,"""github.com/godbus/dbus.BenchmarkServeSameConnAsync""",5796,55315,27,1,184,2481,1137,60,7,5,12,3,4,5,0,1,2,46,5,75,13,303,31,152,37,2,11,734,4,48,2,0,11,5,0,0,0,19,0,0,0,0,7,0,0,0,0,0,0,0,0,12,2,0,1,4,60,0,4
godbus/dbus,conn_test.go/BenchmarkServe,"""github.com/godbus/dbus.BenchmarkServe""",5796,55315,14,1,184,2482,1142,59,7,3,12,1,3,4,0,1,2,46,5,75,13,306,31,152,37,2,11,736,4,48,2,0,11,5,0,0,0,19,0,0,0,0,7,0,0,0,0,0,0,0,0,12,2,0,1,4,60,0,4
godbus/dbus,proto_test.go/BenchmarkEncodeMessageBig,"""github.com/godbus/dbus.BenchmarkEncodeMessageBig""",1044,9262,25,1,27,539,275,18,2,0,0,0,0,0,0,0,0,12,0,8,0,67,9,56,14,1,1,190,0,26,0,0,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
godbus/dbus,conn_test.go/BenchmarkCallAsync,"""github.com/godbus/dbus.BenchmarkCallAsync""",5400,51798,18,1,178,2390,1099,58,7,5,12,3,4,5,0,1,2,45,5,75,11,294,31,152,37,2,11,710,4,48,2,0,11,5,0,0,0,19,0,0,0,0,7,0,0,0,0,0,0,0,0,12,2,0,1,4,56,0,4
godbus/dbus,conn_test.go/BenchmarkServeSameConn,"""github.com/godbus/dbus.BenchmarkServeSameConn""",5796,55315,22,1,184,2473,1136,59,7,3,12,1,3,4,0,1,2,46,5,75,13,303,31,152,37,2,11,733,4,48,2,0,11,5,0,0,0,19,0,0,0,0,7,0,0,0,0,0,0,0,0,12,2,0,1,4,60,0,4
godbus/dbus,proto_test.go/BenchmarkDecodeMessageBig,"""github.com/godbus/dbus.BenchmarkDecodeMessageBig""",2088,19616,25,1,58,1144,633,30,2,0,0,0,0,0,0,0,0,33,0,20,1,140,19,106,32,2,2,365,0,31,0,0,3,3,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
godbus/dbus,proto_test.go/BenchmarkDecodeMessageSmall,"""github.com/godbus/dbus.BenchmarkDecodeMessageSmall""",2088,19616,27,1,58,1144,633,30,2,0,0,0,0,0,0,0,0,33,0,20,1,140,19,106,32,2,2,365,0,31,0,0,3,3,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
godbus/dbus,conn_test.go/BenchmarkServeAsync,"""github.com/godbus/dbus.BenchmarkServeAsync""",5796,55315,19,1,184,2490,1143,60,7,5,12,3,4,5,0,1,2,46,5,75,13,306,31,152,37,2,11,737,4,48,2,0,11,5,0,0,0,19,0,0,0,0,7,0,0,0,0,0,0,0,0,12,2,0,1,4,60,0,4
godbus/dbus,sig_test.go/BenchmarkGetSignatureSimple,"""github.com/godbus/dbus.BenchmarkGetSignatureSimple""",144,1015,27,1,3,78,23,3,0,0,0,0,0,0,0,0,0,4,0,0,0,7,2,16,2,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
godbus/dbus,proto_test.go/BenchmarkEncodeMessageSmall,"""github.com/godbus/dbus.BenchmarkEncodeMessageSmall""",1044,9262,27,1,27,539,275,18,2,0,0,0,0,0,0,0,0,12,0,8,0,67,9,56,14,1,1,190,0,26,0,0,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
