project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
dustin/seriesly,util_test.go/BenchmarkCloseAll1000,"""github.com/dustin/seriesly.BenchmarkCloseAll1000""",52,250,21,1,1,22,13,3,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dustin/seriesly,database_test.go/BenchmarkKeyParsing,"""github.com/dustin/seriesly.BenchmarkKeyParsing""",41,1028,19,1,5,76,25,1,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
dustin/seriesly,/timelib/time_test.go/BenchmarkParseTimeMisc,"""github.com/dustin/seriesly/timelib.BenchmarkParseTimeMisc""",21,1121,22,1,6,100,33,2,0,0,0,0,0,0,0,0,0,3,0,0,0,15,1,3,0,0,0,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
dustin/seriesly,/timelib/time_test.go/BenchmarkParseTimeIntMillis,"""github.com/dustin/seriesly/timelib.BenchmarkParseTimeIntMillis""",21,1121,27,1,6,100,33,2,0,0,0,0,0,0,0,0,0,3,0,0,0,15,1,3,0,0,0,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
dustin/seriesly,util_test.go/BenchmarkCloseRange1,"""github.com/dustin/seriesly.BenchmarkCloseRange1""",39,237,20,1,1,19,9,3,1,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dustin/seriesly,cache_test.go/BenchmarkCacheKeying1440,"""github.com/dustin/seriesly.BenchmarkCacheKeying1440""",52,705,24,1,3,37,21,5,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
dustin/seriesly,/timelib/time_test.go/BenchmarkParseTimeCanonicalDirect,"""github.com/dustin/seriesly/timelib.BenchmarkParseTimeCanonicalDirect""",17,791,33,1,4,72,24,1,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
dustin/seriesly,util_test.go/BenchmarkCloseAll1,"""github.com/dustin/seriesly.BenchmarkCloseAll1""",52,250,18,1,1,22,13,3,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dustin/seriesly,util_test.go/BenchmarkCloseRange3,"""github.com/dustin/seriesly.BenchmarkCloseRange3""",39,237,20,1,1,19,9,3,1,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dustin/seriesly,cache_test.go/BenchmarkCacheKeying10,"""github.com/dustin/seriesly.BenchmarkCacheKeying10""",52,705,22,1,3,37,21,5,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
