function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/builtin/choice.go/Choice,"""github.com/prataprc/monster/builtin.Choice""",17,14,6,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/builtin/dec.go/Dec,"""github.com/prataprc/monster/builtin.Dec""",17,24,3,2,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/builtin/uuid.go/Uint64,"""(github.com/prataprc/monster/builtin.UUID).Uint64""",17,50,6,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/monster/monster.go/evaluate,"""github.com/prataprc/monster/monster.evaluate""",1,205,8,3,1,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parser_test.go/BenchmarkTermProd,"""github.com/prataprc/monster.BenchmarkTermProd""",2,378,17,1,0,21,12,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parser_test.go/BenchmarkProjsProdY,"""github.com/prataprc/monster.BenchmarkProjsProdY""",2,378,19,1,0,12,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parser_test.go/BenchmarkProjsProd,"""github.com/prataprc/monster.BenchmarkProjsProd""",2,378,18,1,0,21,16,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parser_test.go/BenchmarkJSONProd,"""github.com/prataprc/monster.BenchmarkJSONProd""",2,378,17,1,0,21,16,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/common/scope.go/GetBagdir,"""(github.com/prataprc/monster/common.Scope).GetBagdir""",3,175,9,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parser.go/formNode,"""github.com/prataprc/monster.formNode""",2,396,8,1,1,27,12,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/builtin/multf.go/Multf,"""github.com/prataprc/monster/builtin.Multf""",17,40,5,2,1,32,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
/builtin/sprintf.go/Sprintf,"""github.com/prataprc/monster/builtin.Sprintf""",17,15,7,2,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/builtin/uuid.go/newUUID,"""github.com/prataprc/monster/builtin.newUUID""",17,50,7,0,1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/monster/monster.go/generate,"""github.com/prataprc/monster/monster.generate""",1,205,8,4,0,22,14,1,0,0,2,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/builtin/uuid.go/Uuid,"""github.com/prataprc/monster/builtin.Uuid""",17,50,4,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/builtin/uuid.go/Str,"""(github.com/prataprc/monster/builtin.UUID).Str""",17,50,3,0,1,9,6,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
/common/eval.go/currWeight,"""github.com/prataprc/monster/common.currWeight""",3,93,10,4,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
/common/scope.go/NewScopeFromRoot,"""github.com/prataprc/monster/common.NewScopeFromRoot""",3,175,16,1,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/common/scope.go/SetBagdir,"""(github.com/prataprc/monster/common.Scope).SetBagdir""",3,175,9,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
