function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
encode_test.go/TestBinaryByteSlicetoUUID,"""github.com/lib/pq.TestBinaryByteSlicetoUUID""",26,758,25,1,0,29,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,1,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conn.go/Next,"""(*github.com/lib/pq.scanner).Next""",26,1819,4,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
notify.go/recvNotification,"""github.com/lib/pq.recvNotification""",26,782,16,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_test.go/TestStringArrayScanString,"""github.com/lib/pq.TestStringArrayScanString""",26,1317,25,1,0,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bench_test.go/BenchmarkMockSelectSeries,"""github.com/lib/pq.BenchmarkMockSelectSeries""",26,433,25,1,0,18,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conn_test.go/TestEmptyQuery,"""github.com/lib/pq.TestEmptyQuery""",26,1585,14,1,0,63,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conn_test.go/TestParseOpts,"""github.com/lib/pq.TestParseOpts""",26,1585,13,1,0,51,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
copy_test.go/TestCopyInWrongType,"""github.com/lib/pq.TestCopyInWrongType""",26,465,19,1,0,33,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conn.go/Next,"""(*github.com/lib/pq.rows).Next""",26,1819,4,1,1,53,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_test.go/TestGenericArrayValueUnsupported,"""github.com/lib/pq.TestGenericArrayValueUnsupported""",26,1317,32,1,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_test.go/BenchmarkGenericArrayValueStrings,"""github.com/lib/pq.BenchmarkGenericArrayValueStrings""",26,1317,33,1,0,10,4,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
copy_test.go/TestCopyInSchemaStmt,"""github.com/lib/pq.TestCopyInSchemaStmt""",26,465,20,1,0,17,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
copy_test.go/BenchmarkCopyIn,"""github.com/lib/pq.BenchmarkCopyIn""",26,465,15,1,0,46,21,1,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,2,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bench_test.go/BenchmarkDecodeBool,"""github.com/lib/pq.BenchmarkDecodeBool""",26,433,19,1,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conn.go/Begin,"""(*github.com/lib/pq.conn).Begin""",26,1819,5,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conn_test.go/forceBinaryParameters,"""github.com/lib/pq.forceBinaryParameters""",26,1585,21,0,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
copy_test.go/TestCopyInStmt,"""github.com/lib/pq.TestCopyInStmt""",26,465,14,1,0,16,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
copy_test.go/TestCopySyntaxError,"""github.com/lib/pq.TestCopySyntaxError""",26,465,19,1,0,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_test.go/TestBoolArrayScanString,"""github.com/lib/pq.TestBoolArrayScanString""",26,1317,23,1,0,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_test.go/TestBoolArrayValue,"""github.com/lib/pq.TestBoolArrayValue""",26,1317,18,1,0,27,14,0,0,0,0,0,0,0,0,0,0,2,0,2,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
go18_test.go/TestMultipleSimpleQuery,"""github.com/lib/pq.TestMultipleSimpleQuery""",26,317,23,1,0,61,32,4,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,3,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uuid_test.go/BenchmarkDecodeUUIDBinary,"""github.com/lib/pq.BenchmarkDecodeUUIDBinary""",26,46,25,1,0,6,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bench_test.go/BenchmarkPreparedSelectSeries,"""github.com/lib/pq.BenchmarkPreparedSelectSeries""",26,433,29,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conn_test.go/TestCloseBadConn,"""github.com/lib/pq.TestCloseBadConn""",26,1585,16,1,0,41,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conn_test.go/TestIsUTF8,"""github.com/lib/pq.TestIsUTF8""",26,1585,10,1,0,22,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hstore/hstore.go/Scan,"""(*github.com/lib/pq/hstore.Hstore).Scan""",2,118,4,1,1,66,15,1,0,0,0,0,0,0,0,0,0,3,0,5,1,7,2,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conn.go/decideColumnFormats,"""github.com/lib/pq.decideColumnFormats""",26,1819,19,2,2,46,10,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,6,0,0,0,13,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_test.go/BenchmarkInt64ArrayScanBytes,"""github.com/lib/pq.BenchmarkInt64ArrayScanBytes""",26,1317,28,1,0,8,2,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_test.go/TestStringArrayScanBytes,"""github.com/lib/pq.TestStringArrayScanBytes""",26,1317,24,1,0,13,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_test.go/TestGenericArrayValue,"""github.com/lib/pq.TestGenericArrayValue""",26,1317,21,1,0,75,27,2,0,0,0,0,0,0,0,0,0,0,0,39,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conn_test.go/TestRowsResultTag,"""github.com/lib/pq.TestRowsResultTag""",26,1585,17,1,0,77,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssl_test.go/checkSSLSetup,"""github.com/lib/pq.checkSSLSetup""",26,279,13,2,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encode.go/FormatTimestamp,"""github.com/lib/pq.FormatTimestamp""",26,595,15,1,1,31,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
array_test.go/TestBoolArrayScanNil,"""github.com/lib/pq.TestBoolArrayScanNil""",26,1317,20,1,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conn_test.go/TestIssue186,"""github.com/lib/pq.TestIssue186""",26,1585,12,1,0,42,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encode_test.go/TestAppendEncodedText,"""github.com/lib/pq.TestAppendEncodedText""",26,758,21,1,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conn.go/handlePgpass,"""(*github.com/lib/pq.conn).handlePgpass""",26,1819,12,1,0,71,24,2,0,0,0,0,0,0,0,0,0,1,0,3,0,9,1,4,0,0,1,27,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
error.go/Name,"""(github.com/lib/pq.ErrorCode).Name""",26,508,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
array_test.go/TestInt64ArrayScanString,"""github.com/lib/pq.TestInt64ArrayScanString""",26,1317,24,1,0,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bench_test.go/BenchmarkEncodeInt64,"""github.com/lib/pq.BenchmarkEncodeInt64""",26,433,20,1,0,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
