function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/router/listener.go/Stop,"""(*github.com/tsuru/planb/router.RouterListener).Stop""",3,93,4,0,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
main_test.go/Test,"""github.com/tsuru/planb.Test""",2,169,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/backend/redismonitor.go/loop,"""(*github.com/tsuru/planb/backend.redisMonitor).loop""",5,249,4,1,0,29,10,1,0,1,2,2,1,2,0,1,2,1,0,0,0,2,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
/log/log_test.go/Test,"""github.com/tsuru/planb/log.Test""",2,65,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/log/log_test.go/Close,"""(*github.com/tsuru/planb/log.bufferCloser).Close""",2,65,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/reverseproxy/sni.go/handleSNIConnection,"""(*github.com/tsuru/planb/reverseproxy.SNIReverseProxy).handleSNIConnection""",6,179,19,2,0,138,47,1,0,1,1,1,0,2,0,0,0,2,0,4,0,14,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/reverseproxy/reverseproxy_test.go/EndRequest,"""(*github.com/tsuru/planb/reverseproxy.recoderRouter).EndRequest""",6,873,10,3,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/reverseproxy/reverseproxy_test.go/TestRoundTripTimeoutDial,"""(*github.com/tsuru/planb/reverseproxy.S).TestRoundTripTimeoutDial""",6,873,24,1,0,23,20,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/router/router_test.go/TestChooseBackendRoundRobinStressOverflow,"""(*github.com/tsuru/planb/router.S).TestChooseBackendRoundRobinStressOverflow""",3,492,41,1,0,40,15,2,1,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
/tls/redis_test.go/SetUpTest,"""(*github.com/tsuru/planb/tls.S).SetUpTest""",5,98,9,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/reverseproxy/native.go/init,"""github.com/tsuru/planb/reverseproxy.init""",6,361,4,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/router/listener.go/tlsListener,"""(*github.com/tsuru/planb/router.RouterListener).tlsListener""",3,93,11,0,1,22,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/router/router.go/Init,"""(*github.com/tsuru/planb/router.Router).Init""",3,181,4,0,1,30,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/tls/redis_test.go/TestRedisWildcardCertificateFound,"""(*github.com/tsuru/planb/tls.S).TestRedisWildcardCertificateFound""",5,98,33,1,0,9,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
main.go/startProfiling,"""github.com/tsuru/planb.startProfiling""",2,332,14,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
/backend/redismonitor.go/updateDead,"""(*github.com/tsuru/planb/backend.redisMonitor).updateDead""",5,249,10,2,1,35,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
/log/log.go/Stop,"""(*github.com/tsuru/planb/log.Logger).Stop""",2,134,4,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/reverseproxy/fasthttp.go/serveWebsocket,"""(*github.com/tsuru/planb/reverseproxy.FastReverseProxy).serveWebsocket""",6,260,14,3,0,33,26,0,0,1,1,1,0,2,0,0,0,1,1,0,0,4,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/reverseproxy/reverseproxy_test.go/TestRoundTripNoRouteDebugHeaders,"""(*github.com/tsuru/planb/reverseproxy.S).TestRoundTripNoRouteDebugHeaders""",6,873,32,1,0,19,17,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/tls/redis_test.go/TestRedisCertificateNotFound,"""(*github.com/tsuru/planb/tls.S).TestRedisCertificateNotFound""",5,98,28,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
