function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
stream_test.go/TestReadStreamDirect,"""github.com/peterbourgon/diskv.TestReadStreamDirect""",9,117,20,1,0,72,46,0,0,0,0,0,0,0,0,0,0,2,0,2,0,12,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keys_test.go/blockTransform,"""github.com/peterbourgon/diskv_test.blockTransform""",2,231,14,1,1,12,2,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
index.go/Less,"""(github.com/peterbourgon/diskv.btreeString).Less""",9,115,4,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
index.go/Delete,"""(*github.com/peterbourgon/diskv.BTreeIndex).Delete""",9,115,6,1,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
compression.go/NewGzipCompression,"""github.com/peterbourgon/diskv.NewGzipCompression""",9,64,18,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
compression.go/Writer,"""(*github.com/peterbourgon/diskv.genericCompression).Writer""",9,64,6,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
basic_test.go/TestWriteReadErase,"""github.com/peterbourgon/diskv.TestWriteReadErase""",9,253,18,1,0,18,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
basic_test.go/TestWRECache,"""github.com/peterbourgon/diskv.TestWRECache""",9,253,12,1,0,33,20,1,0,0,0,0,0,0,0,0,0,2,0,1,0,8,0,0,0,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stream_test.go/TestBasicStreamCaching,"""github.com/peterbourgon/diskv.TestBasicStreamCaching""",9,117,22,1,0,34,17,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/examples/content-addressable-store/cas.go/blockTransform,"""github.com/peterbourgon/diskv/examples/content-addressable-store.blockTransform""",1,63,14,1,1,10,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diskv.go/New,"""github.com/peterbourgon/diskv.New""",9,575,3,1,1,25,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed_test.go/load,"""(*github.com/peterbourgon/diskv.Diskv).load""",9,153,4,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
