function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/buffer/contents_test.go/BenchmarkAddLines1,"""github.com/bread-editor/bread/buffer_test.BenchmarkAddLines1""",1,372,18,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/buffer/contents_test.go/BenchmarkCopyLines4,"""github.com/bread-editor/bread/buffer_test.BenchmarkCopyLines4""",1,372,19,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/tcp_server/parse_request_test.go/TestReadFull,"""github.com/bread-editor/bread/tcp_server_test.TestReadFull""",2,47,12,1,0,37,19,2,0,0,0,0,0,1,0,0,0,1,0,1,0,4,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bread.go/main,"""github.com/bread-editor/bread.main""",1,9,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/buffer/contents_test.go/benchmarkAddLines,"""github.com/bread-editor/bread/buffer_test.benchmarkAddLines""",1,372,17,3,0,7,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/buffer/contents_test.go/BenchmarkCopyLines3,"""github.com/bread-editor/bread/buffer_test.BenchmarkCopyLines3""",1,372,19,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/buffer/contents_test.go/BenchmarkToStringLines5,"""github.com/bread-editor/bread/buffer_test.BenchmarkToStringLines5""",1,372,23,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/core/files.go/ReadFile,"""github.com/bread-editor/bread/core.ReadFile""",2,41,8,1,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/buffer/contents.go/DistFromEnd,"""(*github.com/bread-editor/bread/buffer.Line).DistFromEnd""",2,163,11,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/buffer/contents_test.go/BenchmarkAddLines2,"""github.com/bread-editor/bread/buffer_test.BenchmarkAddLines2""",1,372,18,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/buffer/contents.go/ToString,"""(*github.com/bread-editor/bread/buffer.Line).ToString""",2,163,8,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/buffer/contents.go/Clear,"""(*github.com/bread-editor/bread/buffer.Line).Clear""",2,163,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/buffer/contents_test.go/BenchmarkClearLines2,"""github.com/bread-editor/bread/buffer_test.BenchmarkClearLines2""",1,372,20,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/buffer/contents_test.go/BenchmarkClearLines4,"""github.com/bread-editor/bread/buffer_test.BenchmarkClearLines4""",1,372,20,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/core/logging.go/Log,"""github.com/bread-editor/bread/core.Log""",2,30,3,3,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/buffer/contents.go/Remove,"""(*github.com/bread-editor/bread/buffer.Line).Remove""",2,163,6,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/buffer/contents.go/InsertAfter,"""(*github.com/bread-editor/bread/buffer.Line).InsertAfter""",2,163,11,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/buffer/contents_test.go/BenchmarkFlattenLines5,"""github.com/bread-editor/bread/buffer_test.BenchmarkFlattenLines5""",1,372,22,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/buffer/contents.go/FindEnd,"""(*github.com/bread-editor/bread/buffer.Line).FindEnd""",2,163,7,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/buffer/contents_test.go/benchmarkRemoveLines,"""github.com/bread-editor/bread/buffer_test.benchmarkRemoveLines""",1,372,20,3,0,21,7,4,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/buffer/contents.go/Backward,"""(*github.com/bread-editor/bread/buffer.Line).Backward""",2,163,8,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
