function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/memmodel/prog.go/Exec,"""(github.com/aclements/go-misc/memmodel.Op).Exec""",11,275,4,1,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/ptype/main.go/printType,"""(*github.com/aclements/go-misc/ptype.typePrinter).printType""",1,364,9,1,0,164,64,2,0,0,0,0,0,0,0,0,0,1,0,2,0,17,1,1,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/rtcheck/main.go/withLCA,"""(*github.com/aclements/go-misc/rtcheck.LockSet).withLCA""",8,1851,7,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/rtcheck/main.go/Plus,"""(*github.com/aclements/go-misc/rtcheck.LockSet).Plus""",8,1851,4,2,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/rtcheck/main.go/Minus,"""(*github.com/aclements/go-misc/rtcheck.LockSet).Minus""",8,1851,5,1,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/benchmany/benchmany.go/shellEscapeList,"""github.com/aclements/go-misc/benchmany.shellEscapeList""",7,110,15,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/benchmany/readlog.go/addKey,"""(*github.com/aclements/go-misc/benchmany.Collection).addKey""",7,174,6,1,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/git-p/main.go/showBranch,"""github.com/aclements/go-misc/git-p.showBranch""",6,375,10,5,1,70,20,3,0,1,2,3,0,1,0,0,0,1,0,2,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/rtcheck/main.go/Contains,"""(*github.com/aclements/go-misc/rtcheck.PathStateSet).Contains""",8,1851,8,1,2,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/rtcheck/rewrite.go/Rewrite,"""github.com/aclements/go-misc/rtcheck.Rewrite""",8,347,7,2,1,315,104,4,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,1,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
