function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/service/rpc1/client.go/ClearBreakpointByName,"""(*github.com/derekparker/delve/service/rpc1.RPCClient).ClearBreakpointByName""",2,307,21,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/_fixtures/issue406.go/String,"""(github.com/derekparker/delve/_fixtures.Blacklist).String""",56,262,6,0,1,21,10,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/_fixtures/testvariables.go/main,"""github.com/derekparker/delve/_fixtures.main""",56,70,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pkg/dwarf/line/state_machine.go/setcolumn,"""github.com/derekparker/delve/pkg/dwarf/line.setcolumn""",3,267,9,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pkg/proc/core/core.go/StepInstruction,"""(*github.com/derekparker/delve/pkg/proc/core.Thread).StepInstruction""",3,347,15,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/service/api/conversions.go/convertFloatValue,"""github.com/derekparker/delve/service/api.convertFloatValue""",3,280,17,2,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
/_fixtures/issue561.go/testfunction,"""github.com/derekparker/delve/_fixtures.testfunction""",56,11,12,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pkg/proc/core/linux_amd64_core.go/Get,"""(*github.com/derekparker/delve/pkg/proc/core.LinuxCoreRegisters).Get""",3,541,3,1,2,155,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,68,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/service/rpc2/server.go/ProcessPid,"""(*github.com/derekparker/delve/service/rpc2.RPCServer).ProcessPid""",2,628,10,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/service/test/common_test.go/getCurinstr,"""github.com/derekparker/delve/service/test_test.getCurinstr""",4,114,11,1,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/service/test/integration1_test.go/Test1Restart_duringStop,"""github.com/derekparker/delve/service/test_test.Test1Restart_duringStop""",4,1101,23,1,0,25,14,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/_fixtures/issue262.go/main,"""github.com/derekparker/delve/_fixtures.main""",56,16,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pkg/proc/proc_test.go/TestCmdLineArgs,"""github.com/derekparker/delve/pkg/proc_test.TestCmdLineArgs""",2,2936,15,1,0,38,20,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pkg/proc/gdbserial/gdbserver_conn.go/checksum,"""github.com/derekparker/delve/pkg/proc/gdbserial.checksum""",4,1135,8,1,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/service/debugger/debugger.go/ClearCheckpoint,"""(*github.com/derekparker/delve/service/debugger.Debugger).ClearCheckpoint""",4,967,15,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/pkg/proc/types.go/Len,"""(github.com/derekparker/delve/pkg/proc.sortFunctionsDebugInfoByLowpc).Len""",18,755,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
