function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
cache.go/Replace,"""(*github.com/patrickmn/go-cache.cache).Replace""",4,1161,7,3,1,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
cache_test.go/TestDecrementWithUint32,"""github.com/patrickmn/go-cache.TestDecrementWithUint32""",4,1771,23,1,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cache.go/IncrementInt32,"""(*github.com/patrickmn/go-cache.cache).IncrementInt32""",4,1161,14,2,2,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
cache.go/IncrementUint8,"""(*github.com/patrickmn/go-cache.cache).IncrementUint8""",4,1161,14,2,2,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
cache.go/Decrement,"""(*github.com/patrickmn/go-cache.cache).Decrement""",4,1161,9,2,1,43,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
cache.go/Items,"""(*github.com/patrickmn/go-cache.cache).Items""",4,1161,5,0,1,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
cache_test.go/TestStorePointerToStruct,"""github.com/patrickmn/go-cache.TestStorePointerToStruct""",4,1771,24,1,0,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cache_test.go/TestIncrementWithFloat64,"""github.com/patrickmn/go-cache.TestIncrementWithFloat64""",4,1771,24,1,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cache_test.go/testFillAndSerialize,"""github.com/patrickmn/go-cache.testFillAndSerialize""",4,1771,20,2,0,116,46,0,0,0,0,1,0,0,0,0,0,0,1,5,0,23,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cache_test.go/benchmarkCacheGetManyConcurrent,"""github.com/patrickmn/go-cache.benchmarkCacheGetManyConcurrent""",4,1771,31,2,0,26,12,3,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
