function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/context/http.go/RemoteIP,"""github.com/docker/distribution/context.RemoteIP""",10,366,8,1,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/registry/auth/htpasswd/access.go/newAccessController,"""github.com/docker/distribution/registry/auth/htpasswd.newAccessController""",4,110,19,1,2,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/registry/storage/driver/azure/azure.go/List,"""(*github.com/docker/distribution/registry/storage/driver/azure.driver).List""",2,499,4,2,2,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/registry/storage/driver/swift/swift.go/parseManifest,"""github.com/docker/distribution/registry/storage/driver/swift.parseManifest""",2,900,13,1,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/testutil/tarfile.go/CreateRandomLayers,"""github.com/docker/distribution/testutil.CreateRandomLayers""",3,115,18,1,2,12,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/testutil/tarfile.go/UploadBlobs,"""github.com/docker/distribution/testutil.UploadBlobs""",3,115,11,2,1,17,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/contrib/token-server/main.go/main,"""github.com/docker/distribution/contrib/token-server.main""",3,425,4,0,0,87,36,0,0,0,0,0,0,0,0,0,0,1,1,0,2,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/registry/storage/registry.go/Scope,"""(*github.com/docker/distribution/registry/storage.registry).Scope""",33,306,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/registry/storage/driver/inmemory/mfs.go/add,"""(*github.com/docker/distribution/registry/storage/driver/inmemory.dir).add""",3,338,3,1,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/registry/storage/driver/s3-aws/s3.go/flushPart,"""(*github.com/docker/distribution/registry/storage/driver/s3-aws.writer).flushPart""",3,1182,9,0,1,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/registry/client/auth/session.go/NewTokenHandlerWithOptions,"""github.com/docker/distribution/registry/client/auth.NewTokenHandlerWithOptions""",3,505,26,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/registry/storage/filereader.go/reader,"""(*github.com/docker/distribution/registry/storage.fileReader).reader""",33,177,6,0,2,33,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
