function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/render/render_test.go/Test_Render_Nested_HTML,"""github.com/codegangsta/martini-contrib/render.Test_Render_Nested_HTML""",2,339,23,1,0,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/render/render_test.go/Test_Render_Redirect_Default,"""github.com/codegangsta/martini-contrib/render.Test_Render_Redirect_Default""",2,339,28,1,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/secure/secure_test.go/Test_Content_Nosniff,"""github.com/codegangsta/martini-contrib/secure.Test_Content_Nosniff""",2,537,20,1,0,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/secure/secure_test.go/Test_CSP,"""github.com/codegangsta/martini-contrib/secure.Test_CSP""",2,537,8,1,0,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/auth/basic.go/Basic,"""github.com/codegangsta/martini-contrib/auth.Basic""",4,19,5,2,1,9,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/cors/cors_test.go/Test_AllowAll,"""github.com/codegangsta/martini-contrib/cors.Test_AllowAll""",2,158,13,1,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/cors/cors_test.go/Test_Preflight,"""github.com/codegangsta/martini-contrib/cors.Test_Preflight""",2,158,14,1,0,24,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/render/render.go/Redirect,"""(*github.com/codegangsta/martini-contrib/render.renderer).Redirect""",2,254,8,2,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/sessionauth/login.go/LoginRequired,"""github.com/codegangsta/martini-contrib/sessionauth.LoginRequired""",2,101,13,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/web.go/webTime,"""github.com/codegangsta/martini-contrib/web.webTime""",2,208,7,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/secure/secure.go/applySTS,"""github.com/codegangsta/martini-contrib/secure.applySTS""",2,157,8,3,0,9,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/secure/secure_test.go/Test_SSL_In_Dev_Mode,"""github.com/codegangsta/martini-contrib/secure.Test_SSL_In_Dev_Mode""",2,537,20,1,0,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/secure/secure_test.go/Test_Basic_SSL,"""github.com/codegangsta/martini-contrib/secure.Test_Basic_SSL""",2,537,14,1,0,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/secure/secure_test.go/Test_Custom_Proxy_SSL,"""github.com/codegangsta/martini-contrib/secure.Test_Custom_Proxy_SSL""",2,537,21,1,0,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/acceptlang/handler_test.go/newBenchmarkMartini,"""github.com/codegangsta/martini-contrib/acceptlang.newBenchmarkMartini""",2,91,19,0,1,11,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/cors/cors_test.go/Test_AllowRegexNoMatch,"""github.com/codegangsta/martini-contrib/cors.Test_AllowRegexNoMatch""",2,158,22,1,0,16,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
