function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/internal/github.com/dancannon/gorethink/query_transformation_test.go/TestTransformationOrderByAsc,"""(*github.com/pgpst/pgpst/internal/github.com/dancannon/gorethink.RethinkSuite).TestTransformationOrderByAsc""",59,441,28,1,0,19,8,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/github.com/gin-gonic/gin/context.go/IndentedJSON,"""(*github.com/pgpst/pgpst/internal/github.com/gin-gonic/gin.Context).IndentedJSON""",33,492,12,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/github.com/golang/protobuf/proto/text_parser.go/checkForColon,"""(*github.com/pgpst/pgpst/internal/github.com/golang/protobuf/proto.textParser).checkForColon""",13,741,13,2,1,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/github.com/golang/protobuf/proto/all_test.go/TestSetDefaultsWithSubMessage,"""github.com/pgpst/pgpst/internal/github.com/golang/protobuf/proto_test.TestSetDefaultsWithSubMessage""",8,2052,29,1,0,18,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/github.com/pzduniak/cli/context_test.go/TestContext_Int,"""github.com/pgpst/pgpst/internal/github.com/pzduniak/cli_test.TestContext_Int""",7,115,15,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/golang.org/x/crypto/openpgp/packet/signature_v3_test.go/TestSignatureV3Reserialize,"""github.com/pgpst/pgpst/internal/golang.org/x/crypto/openpgp/packet.TestSignatureV3Reserialize""",32,88,26,1,0,24,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,3,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/github.com/bitly/go-nsq/producer.go/Publish,"""(*github.com/pgpst/pgpst/internal/github.com/bitly/go-nsq.Producer).Publish""",17,373,7,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/github.com/cenkalti/backoff/exponential.go/GetElapsedTime,"""(*github.com/pgpst/pgpst/internal/github.com/cenkalti/backoff.ExponentialBackOff).GetElapsedTime""",8,143,14,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/github.com/smartystreets/goconvey/convey/reporting/json.go/NewJsonReporter,"""github.com/pgpst/pgpst/internal/github.com/smartystreets/goconvey/convey/reporting.NewJsonReporter""",17,86,15,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/github.com/smartystreets/goconvey/convey/reporting/problems.go/Report,"""(*github.com/pgpst/pgpst/internal/github.com/smartystreets/goconvey/convey/reporting.problem).Report""",17,68,6,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
