function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
uuid_test.go/BenchmarkMaybeFromStringOk,"""github.com/m4rw3r/uuid.BenchmarkMaybeFromStringOk""",6,325,26,1,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marshal.go/MarshalJSON,"""(github.com/m4rw3r/uuid.UUID).MarshalJSON""",6,151,11,0,2,29,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marshal_test.go/TestNullUUIDUnmarshalJSON2,"""github.com/m4rw3r/uuid.TestNullUUIDUnmarshalJSON2""",6,411,26,1,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marshal_test.go/BenchmarkNullUnmarshalText2,"""github.com/m4rw3r/uuid.BenchmarkNullUnmarshalText2""",6,411,27,1,0,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marshal_test.go/BenchmarkNullMarshalJSON2,"""github.com/m4rw3r/uuid.BenchmarkNullMarshalJSON2""",6,411,25,1,0,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sql_test.go/TestNullUUIDScanString,"""github.com/m4rw3r/uuid.TestNullUUIDScanString""",6,281,22,1,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sql_test.go/TestNullUUIDScanInt,"""github.com/m4rw3r/uuid.TestNullUUIDScanInt""",6,281,19,1,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sql_test.go/BenchmarkNullUUIDValueNil,"""github.com/m4rw3r/uuid.BenchmarkNullUUIDValueNil""",6,281,25,1,0,14,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sql.go/Value,"""(github.com/m4rw3r/uuid.NullUUID).Value""",6,64,5,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uuid.go/Error,"""(github.com/m4rw3r/uuid.ErrTooLong).Error""",6,276,5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
