function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/util/reader.go/Discard,"""(*github.com/bogem/id3v2/util.Reader).Discard""",5,139,7,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sequence_test.go/TestSequenceCacheUpdate,"""github.com/bogem/id3v2.TestSequenceCacheUpdate""",18,75,23,1,0,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example_test.go/ExamplePictureFrame_get,"""github.com/bogem/id3v2_test.ExamplePictureFrame_get""",1,270,23,0,0,17,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/util/reader.go/ReadTillDelim,"""(*github.com/bogem/id3v2/util.Reader).ReadTillDelim""",5,139,13,1,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/util/util_test.go/TestParseSize,"""github.com/bogem/id3v2/util.TestParseSize""",5,54,13,1,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
header.go/writeTagHeader,"""github.com/bogem/id3v2.writeTagHeader""",18,98,14,4,1,36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tag.go/Save,"""(*github.com/bogem/id3v2.Tag).Save""",18,435,4,0,1,64,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
unsynchronised_lyrics_frame.go/parseUnsynchronisedLyricsFrame,"""github.com/bogem/id3v2.parseUnsynchronisedLyricsFrame""",18,108,30,1,2,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parse_test.go/TestParseEmptyReader,"""github.com/bogem/id3v2.TestParseEmptyReader""",18,319,20,1,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parse_test.go/TestParse,"""github.com/bogem/id3v2.TestParse""",18,319,9,1,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
