function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
enc.go/writeVorbisComment,"""(*github.com/mewkiz/flac.encoder).writeVorbisComment""",2,548,18,2,1,55,25,2,0,0,0,0,0,0,0,0,0,2,0,2,0,6,0,0,0,0,0,9,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enc_test.go/TestEncodeComment,"""github.com/mewkiz/flac_test.TestEncodeComment""",2,101,17,1,0,38,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/bits/reader_test.go/BenchmarkReadAlign1,"""github.com/mewkiz/flac/internal/bits.BenchmarkReadAlign1""",4,679,19,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/hashutil/crc16/crc16.go/Reset,"""(*github.com/mewkiz/flac/internal/hashutil/crc16.digest).Reset""",2,108,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/hashutil/crc8/crc8_test.go/benchmarkCrc8,"""github.com/mewkiz/flac/internal/hashutil/crc8.benchmarkCrc8""",2,100,13,2,0,15,10,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/meta/reader.go/readBytes,"""github.com/mewkiz/flac/meta.readBytes""",9,26,9,2,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/meta/seektable.go/parseSeekTable,"""(*github.com/mewkiz/flac/meta.Block).parseSeekTable""",9,67,14,0,1,30,6,1,0,0,0,0,0,0,0,0,0,1,2,1,0,3,1,2,0,0,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flac.go/Parse,"""github.com/mewkiz/flac.Parse""",2,197,5,1,2,29,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flac.go/Seek,"""(*github.com/mewkiz/flac.Stream).Seek""",2,197,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/cmd/flac2wav/flac2wav.go/main,"""github.com/mewkiz/flac/cmd/flac2wav.main""",1,92,4,0,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/frame/frame.go/parseHeader,"""(*github.com/mewkiz/flac/frame.Frame).parseHeader""",3,575,11,0,1,281,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,3,29,0,0,0,52,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/frame/frame.go/unexpected,"""github.com/mewkiz/flac/frame.unexpected""",3,575,10,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/hashutil/crc8/crc8.go/Checksum,"""github.com/mewkiz/flac/internal/hashutil/crc8.Checksum""",2,107,8,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enc.go/writeBlockHeader,"""(*github.com/mewkiz/flac.encoder).writeBlockHeader""",2,548,16,1,1,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/cmd/go-metaflac/metaflac.go/listStreamInfoHeader,"""github.com/mewkiz/flac/cmd/go-metaflac.listStreamInfoHeader""",1,330,20,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/cmd/go-metaflac/metaflac.go/listApplication,"""github.com/mewkiz/flac/cmd/go-metaflac.listApplication""",1,330,15,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/frame/frame_test.go/TestFrameHash,"""github.com/mewkiz/flac/frame_test.TestFrameHash""",1,117,13,1,0,28,10,2,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/hashutil/crc8/crc8.go/Sum,"""(*github.com/mewkiz/flac/internal/hashutil/crc8.digest).Sum""",2,107,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enc.go/writeApplication,"""(*github.com/mewkiz/flac.encoder).writeApplication""",2,548,16,2,1,23,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flac.go/New,"""github.com/mewkiz/flac.New""",2,197,3,1,2,22,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/bits/zigzag.go/ZigZag,"""github.com/mewkiz/flac/internal/bits.ZigZag""",4,19,6,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/hashutil/crc16/crc16.go/BlockSize,"""(*github.com/mewkiz/flac/internal/hashutil/crc16.digest).BlockSize""",2,108,9,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/hashutil/crc16/crc16_test.go/BenchmarkCrc16_2K,"""github.com/mewkiz/flac/internal/hashutil/crc16.BenchmarkCrc16_2K""",2,100,17,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/meta/meta_test.go/TestParseBlocks,"""github.com/mewkiz/flac/meta_test.TestParseBlocks""",1,276,15,1,0,30,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
