function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/statsd/bench_buffered_test.go/BenchmarkBufferedClientIncSample,"""github.com/cactus/go-statsd-client/statsd.BenchmarkBufferedClientIncSample""",16,94,32,1,0,20,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/sender_buffered_test.go/TestCloseDuringSendConcurrent,"""github.com/cactus/go-statsd-client/statsd.TestCloseDuringSendConcurrent""",16,112,29,1,0,35,10,3,1,3,1,1,0,1,0,0,0,3,2,2,0,2,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/statsdtest/stat_test.go/TestStatsUnparsed,"""github.com/cactus/go-statsd-client/statsd/statsdtest.TestStatsUnparsed""",4,154,17,1,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/client_noop.go/Gauge,"""(*github.com/cactus/go-statsd-client/statsd.NoopClient).Gauge""",16,107,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/sender_buffered.go/Start,"""(*github.com/cactus/go-statsd-client/statsd.BufferedSender).Start""",16,171,5,0,0,11,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/statsd/client.go/Raw,"""(*github.com/cactus/go-statsd-client/statsd.Client).Raw""",16,326,3,3,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/client.go/includeStat,"""(*github.com/cactus/go-statsd-client/statsd.Client).includeStat""",16,326,11,1,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/client.go/NewSubStatter,"""(*github.com/cactus/go-statsd-client/statsd.Client).NewSubStatter""",16,326,13,1,1,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/client_noop.go/GaugeDelta,"""(*github.com/cactus/go-statsd-client/statsd.NoopClient).GaugeDelta""",16,107,10,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/sender_buffered.go/flush,"""(*github.com/cactus/go-statsd-client/statsd.BufferedSender).flush""",16,171,5,1,2,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/sender_buffered.go/NewBufferedSender,"""github.com/cactus/go-statsd-client/statsd.NewBufferedSender""",16,171,17,3,2,16,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/buffer_pool.go/Get,"""(*github.com/cactus/go-statsd-client/statsd.bufferPool).Get""",16,27,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
/statsd/client.go/DefaultSampler,"""github.com/cactus/go-statsd-client/statsd.DefaultSampler""",16,326,14,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/client.go/Gauge,"""(*github.com/cactus/go-statsd-client/statsd.Client).Gauge""",16,326,5,3,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/client.go/SetInt,"""(*github.com/cactus/go-statsd-client/statsd.Client).SetInt""",16,326,6,3,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/sender_buffered_test.go/Close,"""(*github.com/cactus/go-statsd-client/statsd.mockSender).Close""",16,112,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/sender_buffered_test.go/TestCloseConcurrent,"""github.com/cactus/go-statsd-client/statsd.TestCloseConcurrent""",16,112,19,1,0,27,8,2,0,3,1,1,0,1,0,0,0,3,2,1,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/statsdtest/stat_test.go/TestStatsCollectNamed,"""github.com/cactus/go-statsd-client/statsd/statsdtest.TestStatsCollectNamed""",4,154,21,1,0,29,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/client_noop.go/Inc,"""(*github.com/cactus/go-statsd-client/statsd.NoopClient).Inc""",16,107,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/client.go/Dec,"""(*github.com/cactus/go-statsd-client/statsd.Client).Dec""",16,326,3,3,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/client.go/GaugeDelta,"""(*github.com/cactus/go-statsd-client/statsd.Client).GaugeDelta""",16,326,10,3,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/client.go/Set,"""(*github.com/cactus/go-statsd-client/statsd.Client).Set""",16,326,3,3,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/statsd/client_buffered_test.go/TestBufferedClientFlushTime,"""github.com/cactus/go-statsd-client/statsd.TestBufferedClientFlushTime""",16,199,27,1,0,43,28,1,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
