function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/glacier/multipart.go/TreeHashFromMultipartUpload,"""(*github.com/rdwilliamson/aws/glacier.Connection).TreeHashFromMultipartUpload""",12,480,27,1,2,17,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/glacier/treehash_test.go/TestTreeHashCloseEmpty,"""github.com/rdwilliamson/aws/glacier.TestTreeHashCloseEmpty""",12,193,22,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/glacier/jobs.go/InitiateRetrievalJob,"""(*github.com/rdwilliamson/aws/glacier.Connection).InitiateRetrievalJob""",12,521,20,1,2,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4,0,0,0,0,1,0,0,1,0,2,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/glacier/multipart.go/ListMultipartParts,"""(*github.com/rdwilliamson/aws/glacier.Connection).ListMultipartParts""",12,480,18,2,2,65,15,0,0,0,0,0,0,0,0,0,0,2,0,1,0,9,0,0,0,0,1,10,0,0,0,0,1,0,0,1,0,2,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
/glacier/glacier.go/toHex,"""github.com/rdwilliamson/aws/glacier.toHex""",12,69,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/glacier/jobs.go/ListJobs,"""(*github.com/rdwilliamson/aws/glacier.Connection).ListJobs""",12,521,8,2,3,97,20,1,0,0,0,0,0,0,0,0,0,2,0,1,0,20,0,0,0,0,1,22,0,0,0,0,1,0,0,1,0,2,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
/glacier/policy.go/ToDataRetrievalPolicy,"""github.com/rdwilliamson/aws/glacier.ToDataRetrievalPolicy""",12,224,21,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/glacier/treehash.go/treeHash,"""github.com/rdwilliamson/aws/glacier.treeHash""",12,145,8,1,1,16,10,2,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/glacier/multipart_test.go/testUpload,"""github.com/rdwilliamson/aws/glacier.testUpload""",12,101,10,4,0,52,26,1,0,0,0,0,0,0,0,0,0,2,0,1,0,9,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aws.go/KeysFromEnviroment,"""github.com/rdwilliamson/aws.KeysFromEnviroment""",4,491,18,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
aws_test.go/TestSignErrors,"""github.com/rdwilliamson/aws.TestSignErrors""",4,289,14,1,0,34,12,0,0,0,0,0,0,0,0,0,0,2,0,1,0,5,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/glacier/vault.go/SetVaultNotifications,"""(*github.com/rdwilliamson/aws/glacier.Connection).SetVaultNotifications""",12,385,21,2,1,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,5,0,0,0,0,1,0,0,1,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/glacier/multipart.go/AbortMultipart,"""(*github.com/rdwilliamson/aws/glacier.Connection).AbortMultipart""",12,480,14,1,1,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/glacier/policy.go/String,"""(github.com/rdwilliamson/aws/glacier.DataRetrievalPolicy).String""",12,224,6,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/glacier/vault.go/ListVaults,"""(*github.com/rdwilliamson/aws/glacier.Connection).ListVaults""",12,385,10,2,3,74,19,1,0,0,0,0,0,0,0,0,0,2,0,2,0,11,0,0,0,0,1,13,0,0,0,0,1,0,0,1,0,2,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
/glacier/vault.go/GetVaultNotifications,"""(*github.com/rdwilliamson/aws/glacier.Connection).GetVaultNotifications""",12,385,21,1,2,35,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,6,0,0,0,0,1,0,0,1,0,2,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
