function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
client_request_test.go/SetFileParam,"""(*github.com/go-openapi/runtime.trw).SetFileParam""",26,54,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/testing/simplepetstore/api_test.go/TestSimplePetstoreSpec,"""github.com/go-openapi/runtime/internal/testing/simplepetstore.TestSimplePetstoreSpec""",2,67,22,1,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/context.go/HandlerFor,"""(*github.com/go-openapi/runtime/middleware.routableUntypedAPI).HandlerFor""",26,512,10,1,2,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
/middleware/parameter.go/setSliceFieldValue,"""(*github.com/go-openapi/runtime/middleware.untypedParamBinder).setSliceFieldValue""",26,466,18,4,1,30,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/request.go/newUntypedRequestBinder,"""github.com/go-openapi/runtime/middleware.newUntypedRequestBinder""",26,90,23,3,1,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/router_test.go/TestRouterMiddleware,"""github.com/go-openapi/runtime/middleware.TestRouterMiddleware""",26,213,20,1,0,59,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0
/middleware/untyped/api.go/Formats,"""(*github.com/go-openapi/runtime/middleware/untyped.API).Formats""",2,261,7,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/context.go/RouteInfo,"""(*github.com/go-openapi/runtime/middleware.Context).RouteInfo""",26,512,9,1,2,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/denco/router_bench_test.go/benchmarkRouterLookupStatic,"""github.com/go-openapi/runtime/middleware/denco_test.benchmarkRouterLookupStatic""",4,178,27,2,0,14,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/untyped/api_test.go/TestUntypedAppValidation,"""github.com/go-openapi/runtime/middleware/untyped.TestUntypedAppValidation""",2,262,24,1,0,186,118,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
/client/runtime.go/TLSClientAuth,"""github.com/go-openapi/runtime/client.TLSClientAuth""",8,313,13,1,2,35,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/client/auth_info_test.go/TestAPIKeyAuth_Query,"""github.com/go-openapi/runtime/client.TestAPIKeyAuth_Query""",8,51,20,1,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/context.go/AuthenticatorsFor,"""(*github.com/go-openapi/runtime/middleware.routableUntypedAPI).AuthenticatorsFor""",26,512,17,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/validation_test.go/TestValidateContentType,"""github.com/go-openapi/runtime/middleware.TestValidateContentType""",26,118,23,1,0,29,14,1,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/denco/server.go/handler,"""(*github.com/go-openapi/runtime/middleware/denco.serveMux).handler""",3,106,7,1,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/testing/simplepetstore/api.go/petByID,"""github.com/go-openapi/runtime/internal/testing/simplepetstore.petByID""",2,337,7,1,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/validation.go/validateRequest,"""github.com/go-openapi/runtime/middleware.validateRequest""",26,134,15,3,1,18,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/request_test.go/TestRequestBindingForInvalid,"""github.com/go-openapi/runtime/middleware.TestRequestBindingForInvalid""",26,467,28,1,0,58,65,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/security/bearer_auth_test.go/TestInvalidBearerAuth,"""github.com/go-openapi/runtime/security.TestInvalidBearerAuth""",4,143,21,1,0,39,33,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
request_test.go/TestJSONRequest,"""github.com/go-openapi/runtime.TestJSONRequest""",26,108,15,1,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/client/runtime.go/TLSTransport,"""github.com/go-openapi/runtime/client.TLSTransport""",8,313,12,1,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/client/runtime.go/pickScheme,"""(*github.com/go-openapi/runtime/client.Runtime).pickScheme""",8,313,10,1,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/flagext/byte_size_test.go/TestUnmarshalBytesize,"""github.com/go-openapi/runtime/flagext.TestUnmarshalBytesize""",2,43,21,1,0,9,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/body_test.go/Read,"""(*github.com/go-openapi/runtime/middleware.eofReader).Read""",26,101,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/spec_test.go/TestServeSpecMiddleware,"""github.com/go-openapi/runtime/middleware.TestServeSpecMiddleware""",26,42,23,1,0,29,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/denco/router.go/makeSiblings,"""github.com/go-openapi/runtime/middleware/denco.makeSiblings""",3,451,12,2,3,30,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/untyped/api.go/WithoutJSONDefaults,"""(*github.com/go-openapi/runtime/middleware/untyped.API).WithoutJSONDefaults""",2,261,19,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/client/auth_info_test.go/TestAPIKeyAuth_Header,"""github.com/go-openapi/runtime/client.TestAPIKeyAuth_Header""",8,51,21,1,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/denco/server.go/newServeMux,"""github.com/go-openapi/runtime/middleware/denco.newServeMux""",3,106,11,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/client/request_test.go/TestBuildRequest_SetHeaders,"""github.com/go-openapi/runtime/client.TestBuildRequest_SetHeaders""",8,273,27,1,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/client/runtime_test.go/TestRuntime_OverrideClientOperation,"""github.com/go-openapi/runtime/client.TestRuntime_OverrideClientOperation""",8,708,35,1,0,34,14,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
/middleware/context.go/WriteResponse,"""(github.com/go-openapi/runtime/middleware.ResponderFunc).WriteResponse""",26,512,13,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/denco/router_bench_test.go/BenchmarkRouterLookupStatic700,"""github.com/go-openapi/runtime/middleware/denco_test.BenchmarkRouterLookupStatic700""",4,178,30,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/context.go/AllowedMethods,"""(*github.com/go-openapi/runtime/middleware.Context).AllowedMethods""",26,512,14,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/denco/router.go/arrange,"""(*github.com/go-openapi/runtime/middleware/denco.doubleArray).arrange""",3,451,7,3,4,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/denco/router_bench_test.go/BenchmarkRouterBuildStatic100,"""github.com/go-openapi/runtime/middleware/denco_test.BenchmarkRouterBuildStatic100""",4,178,29,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/denco/router_test.go/TestRouter_Lookup_withManyRoutes,"""github.com/go-openapi/runtime/middleware/denco_test.TestRouter_Lookup_withManyRoutes""",4,526,32,1,0,17,16,2,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/header/header.go/skipSpace,"""github.com/go-openapi/runtime/middleware/header.skipSpace""",1,290,9,1,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/flagext/byte_size.go/MarshalFlag,"""(github.com/go-openapi/runtime/flagext.ByteSize).MarshalFlag""",2,38,11,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/context.go/ResponseFormat,"""(*github.com/go-openapi/runtime/middleware.Context).ResponseFormat""",26,512,14,2,1,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/middleware/denco/router.go/makeRecords,"""github.com/go-openapi/runtime/middleware/denco.makeRecords""",3,451,11,1,1,12,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
