project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
open-policy-agent/opa,/test/authz/authz_bench_test.go/BenchmarkAuthzForbidAuthn,"""github.com/open-policy-agent/opa/test/authz.BenchmarkAuthzForbidAuthn""",20957,1245928,25,1,1025,10850,3433,360,28,0,0,0,0,0,0,0,0,115,50,202,71,1162,11,32,49,1,23,2994,0,18,0,0,25,0,0,22,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,15,1,0
open-policy-agent/opa,/topdown/topdown_bench_test.go/BenchmarkConcurrency4Readers1Writer,"""github.com/open-policy-agent/opa/topdown.BenchmarkConcurrency4Readers1Writer""",21017,1246814,35,1,1017,10825,3422,362,30,0,0,0,0,1,0,0,0,116,50,201,69,1161,10,28,47,1,24,2986,0,18,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,20,1,0
open-policy-agent/opa,/test/scheduler/scheduler_bench_test.go/setupBenchmark,"""github.com/open-policy-agent/opa/test/scheduler.setupBenchmark""",20521,1218490,14,2,991,10621,3377,356,28,0,0,0,0,0,0,0,0,110,49,196,68,1156,10,28,58,1,23,2953,0,19,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,15,1,0
open-policy-agent/opa,/test/authz/authz_bench_test.go/BenchmarkAuthzAllow10Paths,"""github.com/open-policy-agent/opa/test/authz.BenchmarkAuthzAllow10Paths""",20957,1245928,26,1,1025,10850,3433,360,28,0,0,0,0,0,0,0,0,115,50,202,71,1162,11,32,49,1,23,2994,0,18,0,0,25,0,0,22,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,15,1,0
open-policy-agent/opa,/test/authz/authz_bench_test.go/runAuthzBenchmark,"""github.com/open-policy-agent/opa/test/authz.runAuthzBenchmark""",20955,1245857,17,3,1025,10848,3432,360,28,0,0,0,0,0,0,0,0,115,50,202,71,1162,11,32,49,1,23,2993,0,18,0,0,25,0,0,22,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,15,1,0
open-policy-agent/opa,/topdown/topdown_bench_test.go/generateConcurrencyBenchmarkData,"""github.com/open-policy-agent/opa/topdown.generateConcurrencyBenchmarkData""",18614,1129346,32,0,899,9353,2959,296,16,0,0,0,0,0,0,0,0,101,41,174,41,1029,8,24,39,1,22,2653,0,18,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12,6,6,0,0
open-policy-agent/opa,/test/authz/authz_bench_test.go/BenchmarkAuthzForbidMethod,"""github.com/open-policy-agent/opa/test/authz.BenchmarkAuthzForbidMethod""",20957,1245928,26,1,1025,10850,3433,360,28,0,0,0,0,0,0,0,0,115,50,202,71,1162,11,32,49,1,23,2994,0,18,0,0,25,0,0,22,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,15,1,0
open-policy-agent/opa,/test/scheduler/scheduler_bench_test.go/BenchmarkScheduler100x300,"""github.com/open-policy-agent/opa/test/scheduler.BenchmarkScheduler100x300""",20949,1246933,25,1,1017,10853,3459,362,29,0,0,0,0,0,0,0,0,115,50,200,72,1175,10,28,58,1,24,3001,0,19,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,17,1,0
open-policy-agent/opa,/topdown/topdown_bench_test.go/BenchmarkVirtualDocs100x1,"""github.com/open-policy-agent/opa/topdown.BenchmarkVirtualDocs100x1""",20870,1234528,25,1,985,10496,3309,352,28,0,0,0,0,0,0,0,0,113,50,199,64,1120,9,27,45,1,22,2902,0,19,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,9,1,0
open-policy-agent/opa,/topdown/topdown_bench_test.go/BenchmarkVirtualDocs100x10,"""github.com/open-policy-agent/opa/topdown.BenchmarkVirtualDocs100x10""",20870,1234528,26,1,985,10496,3309,352,28,0,0,0,0,0,0,0,0,113,50,199,64,1120,9,27,45,1,22,2902,0,19,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,9,1,0
open-policy-agent/opa,/test/scheduler/scheduler_bench_test.go/runSchedulerBenchmark,"""github.com/open-policy-agent/opa/test/scheduler.runSchedulerBenchmark""",20947,1246522,21,3,1017,10851,3458,362,29,0,0,0,0,0,0,0,0,115,50,200,72,1175,10,28,58,1,24,3000,0,19,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,17,1,0
open-policy-agent/opa,/test/scheduler/scheduler_bench_test.go/BenchmarkScheduler10x30,"""github.com/open-policy-agent/opa/test/scheduler.BenchmarkScheduler10x30""",20949,1246933,23,1,1017,10853,3459,362,29,0,0,0,0,0,0,0,0,115,50,200,72,1175,10,28,58,1,24,3001,0,19,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,17,1,0
open-policy-agent/opa,/topdown/topdown_bench_test.go/BenchmarkVirtualDocs10x10,"""github.com/open-policy-agent/opa/topdown.BenchmarkVirtualDocs10x10""",20870,1234528,25,1,985,10496,3309,352,28,0,0,0,0,0,0,0,0,113,50,199,64,1120,9,27,45,1,22,2902,0,19,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,9,1,0
open-policy-agent/opa,/topdown/topdown_bench_test.go/BenchmarkVirtualDocs10x1,"""github.com/open-policy-agent/opa/topdown.BenchmarkVirtualDocs10x1""",20870,1234528,24,1,985,10496,3309,352,28,0,0,0,0,0,0,0,0,113,50,199,64,1120,9,27,45,1,22,2902,0,19,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,9,1,0
open-policy-agent/opa,/topdown/topdown_bench_test.go/BenchmarkVirtualDocs1000x10,"""github.com/open-policy-agent/opa/topdown.BenchmarkVirtualDocs1000x10""",20870,1234528,27,1,985,10496,3309,352,28,0,0,0,0,0,0,0,0,113,50,199,64,1120,9,27,45,1,22,2902,0,19,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,9,1,0
open-policy-agent/opa,/test/authz/authz_bench_test.go/BenchmarkAuthzForbidPath,"""github.com/open-policy-agent/opa/test/authz.BenchmarkAuthzForbidPath""",20957,1245928,24,1,1025,10850,3433,360,28,0,0,0,0,0,0,0,0,115,50,202,71,1162,11,32,49,1,23,2994,0,18,0,0,25,0,0,22,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,15,1,0
open-policy-agent/opa,/topdown/topdown_bench_test.go/BenchmarkConcurrency2,"""github.com/open-policy-agent/opa/topdown.BenchmarkConcurrency2""",21017,1246814,21,1,1017,10825,3422,362,30,0,0,0,0,1,0,0,0,116,50,201,69,1161,10,28,47,1,24,2986,0,18,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,20,1,0
open-policy-agent/opa,/topdown/topdown_bench_test.go/BenchmarkVirtualDocs1000x1,"""github.com/open-policy-agent/opa/topdown.BenchmarkVirtualDocs1000x1""",20870,1234528,26,1,985,10496,3309,352,28,0,0,0,0,0,0,0,0,113,50,199,64,1120,9,27,45,1,22,2902,0,19,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,9,1,0
open-policy-agent/opa,/topdown/topdown_bench_test.go/BenchmarkConcurrency8,"""github.com/open-policy-agent/opa/topdown.BenchmarkConcurrency8""",21017,1246814,21,1,1017,10825,3422,362,30,0,0,0,0,1,0,0,0,116,50,201,69,1161,10,28,47,1,24,2986,0,18,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,20,1,0
open-policy-agent/opa,/topdown/topdown_bench_test.go/BenchmarkConcurrency4,"""github.com/open-policy-agent/opa/topdown.BenchmarkConcurrency4""",21017,1246814,21,1,1017,10825,3422,362,30,0,0,0,0,1,0,0,0,116,50,201,69,1161,10,28,47,1,24,2986,0,18,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,20,1,0
open-policy-agent/opa,/test/authz/authz_bench_test.go/BenchmarkAuthzAllow100Paths,"""github.com/open-policy-agent/opa/test/authz.BenchmarkAuthzAllow100Paths""",20957,1245928,27,1,1025,10850,3433,360,28,0,0,0,0,0,0,0,0,115,50,202,71,1162,11,32,49,1,23,2994,0,18,0,0,25,0,0,22,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,15,1,0
open-policy-agent/opa,/topdown/topdown_bench_test.go/BenchmarkVirtualDocs1x1,"""github.com/open-policy-agent/opa/topdown.BenchmarkVirtualDocs1x1""",20870,1234528,23,1,985,10496,3309,352,28,0,0,0,0,0,0,0,0,113,50,199,64,1120,9,27,45,1,22,2902,0,19,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,9,1,0
open-policy-agent/opa,/test/scheduler/scheduler_bench_test.go/BenchmarkScheduler1000x3000,"""github.com/open-policy-agent/opa/test/scheduler.BenchmarkScheduler1000x3000""",20949,1246933,27,1,1017,10853,3459,362,29,0,0,0,0,0,0,0,0,115,50,200,72,1175,10,28,58,1,24,3001,0,19,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,17,1,0
open-policy-agent/opa,/test/authz/authz_bench_test.go/BenchmarkAuthzAllow1000Paths,"""github.com/open-policy-agent/opa/test/authz.BenchmarkAuthzAllow1000Paths""",20957,1245928,28,1,1025,10850,3433,360,28,0,0,0,0,0,0,0,0,115,50,202,71,1162,11,32,49,1,23,2994,0,18,0,0,25,0,0,22,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,15,1,0
open-policy-agent/opa,/topdown/topdown_bench_test.go/BenchmarkConcurrency1,"""github.com/open-policy-agent/opa/topdown.BenchmarkConcurrency1""",21017,1246814,21,1,1017,10825,3422,362,30,0,0,0,0,1,0,0,0,116,50,201,69,1161,10,28,47,1,24,2986,0,18,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,20,1,0
open-policy-agent/opa,/topdown/topdown_bench_test.go/runVirtualDocsBenchmark,"""github.com/open-policy-agent/opa/topdown.runVirtualDocsBenchmark""",20848,1234262,23,2,985,10494,3308,352,28,0,0,0,0,0,0,0,0,113,50,199,64,1120,9,27,45,1,22,2901,0,19,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,9,1,0
open-policy-agent/opa,/topdown/topdown_bench_test.go/BenchmarkConcurrency8Writers,"""github.com/open-policy-agent/opa/topdown.BenchmarkConcurrency8Writers""",21017,1246814,28,1,1017,10825,3422,362,30,0,0,0,0,1,0,0,0,116,50,201,69,1161,10,28,47,1,24,2986,0,18,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,6,20,1,0
open-policy-agent/opa,/topdown/topdown_bench_test.go/generateVirtualDocsBenchmarkData,"""github.com/open-policy-agent/opa/topdown.generateVirtualDocsBenchmarkData""",18695,1130983,32,1,903,9414,2975,299,16,0,0,0,0,0,0,0,0,103,41,178,40,1036,8,24,41,1,22,2668,0,19,0,0,24,0,0,21,0,2,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12,6,6,0,0
