project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
pierrre/imageserver,/image/gamma/gamma_benchmark_test.go/BenchmarkProcessor,"""github.com/pierrre/imageserver/image/gamma.BenchmarkProcessor""",52,1905,18,1,14,131,70,6,1,0,0,0,0,0,0,0,0,2,0,1,0,7,0,0,0,0,1,39,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
pierrre/imageserver,/graphicsmagick/benchmark_test.go/BenchmarkResize,"""github.com/pierrre/imageserver/graphicsmagick.BenchmarkResize""",960,26825,15,1,268,2383,733,42,6,2,2,3,0,2,0,1,2,34,18,23,0,345,8,30,0,0,9,675,0,13,0,0,12,4,0,1,0,9,7,7,4,1,48,36,2,0,0,0,0,0,0,8,4,0,1,9,8,0,0
pierrre/imageserver,/image/jpeg/benchmark_test.go/BenchmarkSize,"""github.com/pierrre/imageserver/image/jpeg.BenchmarkSize""",960,26825,13,1,268,2383,733,42,6,2,2,3,0,2,0,1,2,34,18,23,0,345,8,30,0,0,9,675,0,13,0,0,12,4,0,1,0,9,7,7,4,1,48,36,2,0,0,0,0,0,0,8,4,0,1,9,8,0,0
pierrre/imageserver,/source/http/http_benchmark_test.go/BenchmarkServerGet,"""github.com/pierrre/imageserver/source/http.BenchmarkServerGet""",960,26825,18,1,268,2383,733,42,6,2,2,3,0,2,0,1,2,34,18,23,0,345,8,30,0,0,9,675,0,13,0,0,12,4,0,1,0,9,7,7,4,1,48,36,2,0,0,0,0,0,0,8,4,0,1,9,8,0,0
pierrre/imageserver,/image/png/benchmark_test.go/BenchmarkCompressionLevel,"""github.com/pierrre/imageserver/image/png.BenchmarkCompressionLevel""",960,26825,25,1,268,2383,733,42,6,2,2,3,0,2,0,1,2,34,18,23,0,345,8,30,0,0,9,675,0,13,0,0,12,4,0,1,0,9,7,7,4,1,48,36,2,0,0,0,0,0,0,8,4,0,1,9,8,0,0
pierrre/imageserver,/image/bmp/benchmark_test.go/Benchmark,"""github.com/pierrre/imageserver/image/bmp.Benchmark""",960,26825,9,1,268,2383,733,42,6,2,2,3,0,2,0,1,2,34,18,23,0,345,8,30,0,0,9,675,0,13,0,0,12,4,0,1,0,9,7,7,4,1,48,36,2,0,0,0,0,0,0,8,4,0,1,9,8,0,0
pierrre/imageserver,/image/gamma/gamma_benchmark_test.go/BenchmarkProcessorHighQuality,"""github.com/pierrre/imageserver/image/gamma.BenchmarkProcessorHighQuality""",52,1905,29,1,14,131,70,6,1,0,0,0,0,0,0,0,0,2,0,1,0,7,0,0,0,0,1,39,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
pierrre/imageserver,/image/nfntresize/benchmark_test.go/BenchmarkInterpolation,"""github.com/pierrre/imageserver/image/nfntresize.BenchmarkInterpolation""",960,26825,22,1,268,2383,733,42,6,2,2,3,0,2,0,1,2,34,18,23,0,345,8,30,0,0,9,675,0,13,0,0,12,4,0,1,0,9,7,7,4,1,48,36,2,0,0,0,0,0,0,8,4,0,1,9,8,0,0
pierrre/imageserver,/image/png/benchmark_test.go/BenchmarkSize,"""github.com/pierrre/imageserver/image/png.BenchmarkSize""",960,26825,13,1,268,2383,733,42,6,2,2,3,0,2,0,1,2,34,18,23,0,345,8,30,0,0,9,675,0,13,0,0,12,4,0,1,0,9,7,7,4,1,48,36,2,0,0,0,0,0,0,8,4,0,1,9,8,0,0
pierrre/imageserver,/image/_test/benchmark.go/BenchmarkEncoder,"""github.com/pierrre/imageserver/image/_test.BenchmarkEncoder""",73,2531,16,4,23,123,40,3,0,0,0,0,0,0,0,0,0,3,2,1,0,15,0,0,0,0,1,39,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
