project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
klauspost/reedsolomon,reedsolomon_test.go/BenchmarkReconstructP10x2x1M,"""github.com/klauspost/reedsolomon.BenchmarkReconstructP10x2x1M""",540,18042,28,1,43,772,191,57,24,0,0,0,0,2,0,0,0,34,0,28,0,78,0,0,1,0,3,189,0,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0
klauspost/reedsolomon,reedsolomon_test.go/BenchmarkEncode10x2x10000,"""github.com/klauspost/reedsolomon.BenchmarkEncode10x2x10000""",432,13981,25,1,35,439,120,41,18,0,0,0,0,1,0,0,0,20,0,11,0,49,0,0,1,0,0,133,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
klauspost/reedsolomon,reedsolomon_test.go/BenchmarkEncode5x2x1M,"""github.com/klauspost/reedsolomon.BenchmarkEncode5x2x1M""",432,13981,21,1,35,439,120,41,18,0,0,0,0,1,0,0,0,20,0,11,0,49,0,0,1,0,0,133,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
klauspost/reedsolomon,reedsolomon_test.go/BenchmarkReconstructP10x4x1M,"""github.com/klauspost/reedsolomon.BenchmarkReconstructP10x4x1M""",540,18042,28,1,43,772,191,57,24,0,0,0,0,2,0,0,0,34,0,28,0,78,0,0,1,0,3,189,0,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0
klauspost/reedsolomon,reedsolomon_test.go/BenchmarkVerify10x4x16M,"""github.com/klauspost/reedsolomon.BenchmarkVerify10x4x16M""",468,15904,23,1,39,525,146,50,23,0,0,0,0,2,0,0,0,27,0,17,0,58,0,0,1,0,1,155,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0
klauspost/reedsolomon,reedsolomon_test.go/BenchmarkVerify10x2x10000,"""github.com/klauspost/reedsolomon.BenchmarkVerify10x2x10000""",468,15904,25,1,39,525,146,50,23,0,0,0,0,2,0,0,0,27,0,17,0,58,0,0,1,0,1,155,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0
klauspost/reedsolomon,reedsolomon_test.go/BenchmarkReconstruct50x20x1M,"""github.com/klauspost/reedsolomon.BenchmarkReconstruct50x20x1M""",540,18042,28,1,43,767,187,57,24,0,0,0,0,2,0,0,0,35,0,28,0,78,0,0,1,0,3,189,0,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0
klauspost/reedsolomon,reedsolomon_test.go/BenchmarkReconstructP5x2x1M,"""github.com/klauspost/reedsolomon.BenchmarkReconstructP5x2x1M""",540,18042,27,1,43,772,191,57,24,0,0,0,0,2,0,0,0,34,0,28,0,78,0,0,1,0,3,189,0,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0
klauspost/reedsolomon,reedsolomon_test.go/BenchmarkEncode17x3x16M,"""github.com/klauspost/reedsolomon.BenchmarkEncode17x3x16M""",432,13981,23,1,35,439,120,41,18,0,0,0,0,1,0,0,0,20,0,11,0,49,0,0,1,0,0,133,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
klauspost/reedsolomon,streaming_test.go/BenchmarkStreamEncode10x2x1M,"""github.com/klauspost/reedsolomon.BenchmarkStreamEncode10x2x1M""",552,19155,28,1,46,647,176,53,18,2,4,0,2,3,2,0,0,24,0,17,0,76,3,9,5,0,2,191,0,1,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0
klauspost/reedsolomon,streaming_test.go/BenchmarkStreamVerify10x4x1M,"""github.com/klauspost/reedsolomon.BenchmarkStreamVerify10x4x1M""",612,22244,28,1,53,759,212,63,23,2,4,0,2,4,2,0,0,32,0,23,0,90,3,9,5,0,3,222,0,3,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0
klauspost/reedsolomon,reedsolomon_test.go/BenchmarkEncode10x2x1M,"""github.com/klauspost/reedsolomon.BenchmarkEncode10x2x1M""",432,13981,22,1,35,439,120,41,18,0,0,0,0,1,0,0,0,20,0,11,0,49,0,0,1,0,0,133,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
klauspost/reedsolomon,streaming_test.go/BenchmarkStreamEncode10x4x1M,"""github.com/klauspost/reedsolomon.BenchmarkStreamEncode10x4x1M""",552,19155,28,1,46,647,176,53,18,2,4,0,2,3,2,0,0,24,0,17,0,76,3,9,5,0,2,191,0,1,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0
klauspost/reedsolomon,reedsolomon_test.go/BenchmarkReconstruct10x4x1M,"""github.com/klauspost/reedsolomon.BenchmarkReconstruct10x4x1M""",540,18042,27,1,43,767,187,57,24,0,0,0,0,2,0,0,0,35,0,28,0,78,0,0,1,0,3,189,0,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0
klauspost/reedsolomon,streaming_test.go/BenchmarkStreamVerify10x2x10000,"""github.com/klauspost/reedsolomon.BenchmarkStreamVerify10x2x10000""",612,22244,31,1,53,759,212,63,23,2,4,0,2,4,2,0,0,32,0,23,0,90,3,9,5,0,3,222,0,3,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0
klauspost/reedsolomon,reedsolomon_test.go/BenchmarkVerify50x5x50000,"""github.com/klauspost/reedsolomon.BenchmarkVerify50x5x50000""",468,15904,25,1,39,525,146,50,23,0,0,0,0,2,0,0,0,27,0,17,0,58,0,0,1,0,1,155,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0
klauspost/reedsolomon,streaming_test.go/BenchmarkStreamEncode100x20x10000,"""github.com/klauspost/reedsolomon.BenchmarkStreamEncode100x20x10000""",552,19155,33,1,46,647,176,53,18,2,4,0,2,3,2,0,0,24,0,17,0,76,3,9,5,0,2,191,0,1,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0
klauspost/reedsolomon,streaming_test.go/BenchmarkStreamEncode10x4x16M,"""github.com/klauspost/reedsolomon.BenchmarkStreamEncode10x4x16M""",552,19155,29,1,46,647,176,53,18,2,4,0,2,3,2,0,0,24,0,17,0,76,3,9,5,0,2,191,0,1,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0
klauspost/reedsolomon,streaming_test.go/BenchmarkStreamEncode50x20x1M,"""github.com/klauspost/reedsolomon.BenchmarkStreamEncode50x20x1M""",552,19155,29,1,46,647,176,53,18,2,4,0,2,3,2,0,0,24,0,17,0,76,3,9,5,0,2,191,0,1,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0
klauspost/reedsolomon,reedsolomon_test.go/BenchmarkVerify10x2x1M,"""github.com/klauspost/reedsolomon.BenchmarkVerify10x2x1M""",468,15904,22,1,39,525,146,50,23,0,0,0,0,2,0,0,0,27,0,17,0,58,0,0,1,0,1,155,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0
klauspost/reedsolomon,reedsolomon_test.go/BenchmarkReconstruct10x2x10000,"""github.com/klauspost/reedsolomon.BenchmarkReconstruct10x2x10000""",540,18042,30,1,43,767,187,57,24,0,0,0,0,2,0,0,0,35,0,28,0,78,0,0,1,0,3,189,0,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0
klauspost/reedsolomon,streaming_test.go/BenchmarkStreamVerify50x20x1M,"""github.com/klauspost/reedsolomon.BenchmarkStreamVerify50x20x1M""",612,22244,29,1,53,759,212,63,23,2,4,0,2,4,2,0,0,32,0,23,0,90,3,9,5,0,3,222,0,3,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0
klauspost/reedsolomon,streaming_test.go/BenchmarkStreamVerify10x4x16M,"""github.com/klauspost/reedsolomon.BenchmarkStreamVerify10x4x16M""",612,22244,29,1,53,759,212,63,23,2,4,0,2,4,2,0,0,32,0,23,0,90,3,9,5,0,3,222,0,3,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0
klauspost/reedsolomon,reedsolomon_test.go/BenchmarkEncode10x4x1M,"""github.com/klauspost/reedsolomon.BenchmarkEncode10x4x1M""",432,13981,22,1,35,439,120,41,18,0,0,0,0,1,0,0,0,20,0,11,0,49,0,0,1,0,0,133,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
klauspost/reedsolomon,reedsolomon_test.go/BenchmarkVerify10x4x1M,"""github.com/klauspost/reedsolomon.BenchmarkVerify10x4x1M""",468,15904,22,1,39,525,146,50,23,0,0,0,0,2,0,0,0,27,0,17,0,58,0,0,1,0,1,155,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0
klauspost/reedsolomon,reedsolomon_test.go/BenchmarkReconstructP10x2x10000,"""github.com/klauspost/reedsolomon.BenchmarkReconstructP10x2x10000""",540,18042,31,1,43,772,191,57,24,0,0,0,0,2,0,0,0,34,0,28,0,78,0,0,1,0,3,189,0,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0
klauspost/reedsolomon,reedsolomon_test.go/BenchmarkVerify5x2x1M,"""github.com/klauspost/reedsolomon.BenchmarkVerify5x2x1M""",468,15904,21,1,39,525,146,50,23,0,0,0,0,2,0,0,0,27,0,17,0,58,0,0,1,0,1,155,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0
klauspost/reedsolomon,streaming_test.go/BenchmarkStreamEncode5x2x1M,"""github.com/klauspost/reedsolomon.BenchmarkStreamEncode5x2x1M""",552,19155,27,1,46,647,176,53,18,2,4,0,2,3,2,0,0,24,0,17,0,76,3,9,5,0,2,191,0,1,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0
