project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
couchbase/moss,benchmark_store_test.go/BenchmarkStore_numItems100M_keySize20_valSize100_batchSize10000,"""github.com/couchbase/moss.BenchmarkStore_numItems100M_keySize20_valSize100_batchSize10000""",7144,98872,63,1,238,4262,1146,71,4,21,6,21,15,8,0,8,17,117,17,45,17,483,4,17,0,0,22,854,0,20,0,0,14,10,0,4,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,4,1,150,52,0
couchbase/moss,benchmark_test.go/BenchmarkSetsCumulativeBatchSize1000Asc,"""github.com/couchbase/moss.BenchmarkSetsCumulativeBatchSize1000Asc""",6498,87807,39,1,212,3480,941,63,4,17,6,19,14,8,0,7,15,74,14,40,11,392,4,17,2,0,20,726,0,12,0,0,6,4,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,140,50,0
couchbase/moss,benchmark_test.go/BenchmarkSetsParallelBatchSize100Dsc,"""github.com/couchbase/moss.BenchmarkSetsParallelBatchSize100Dsc""",6460,87095,36,1,211,3405,909,61,3,17,6,17,13,8,0,7,15,72,14,40,11,388,4,17,1,0,19,719,0,12,0,0,6,4,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,128,44,0
couchbase/moss,benchmark_test.go/BenchmarkSetsEmptyBatchSize1000Dsc,"""github.com/couchbase/moss.BenchmarkSetsEmptyBatchSize1000Dsc""",6498,87807,34,1,212,3480,941,63,4,17,6,19,14,8,0,7,15,74,14,40,11,392,4,17,2,0,20,726,0,12,0,0,6,4,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,140,50,0
couchbase/moss,benchmark_store_test.go/BenchmarkStore_numItems1M_keySize20_valSize100_batchSize100_ACCESSES_afterLoad_domainTo100K_ops200K_batchSize100,"""github.com/couchbase/moss.BenchmarkStore_numItems1M_keySize20_valSize100_batchSize100_ACCESSES_afterLoad_domainTo100K_ops200K_batchSize100""",7144,98872,112,1,238,4264,1146,71,4,21,6,21,15,8,0,8,17,117,17,45,17,483,4,17,0,0,22,854,0,20,0,0,14,10,0,4,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,4,1,150,52,0
couchbase/moss,benchmark_store_test.go/BenchmarkStore_numItems50M_keySize20_valSize100_batchSize10000,"""github.com/couchbase/moss.BenchmarkStore_numItems50M_keySize20_valSize100_batchSize10000""",7144,98872,62,1,238,4259,1146,71,4,21,6,21,15,8,0,8,17,117,17,44,17,483,4,17,0,0,22,854,0,20,0,0,14,10,0,4,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,4,1,150,52,0
couchbase/moss,benchmark_test.go/BenchmarkSetsParallelBatchSize100000Dsc,"""github.com/couchbase/moss.BenchmarkSetsParallelBatchSize100000Dsc""",6460,87095,39,1,211,3405,909,61,3,17,6,17,13,8,0,7,15,72,14,40,11,388,4,17,1,0,19,719,0,12,0,0,6,4,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,128,44,0
couchbase/moss,benchmark_store_test.go/BenchmarkStore_numItems20M_keySize16_valSize0_batchSize10000_randomLoad,"""github.com/couchbase/moss.BenchmarkStore_numItems20M_keySize16_valSize0_batchSize10000_randomLoad""",7144,98872,71,1,238,4262,1146,71,4,21,6,21,15,8,0,8,17,117,17,45,17,483,4,17,0,0,22,854,0,20,0,0,14,10,0,4,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,4,1,150,52,0
couchbase/moss,benchmark_test.go/BenchmarkGetOperationKeyVal,"""github.com/couchbase/moss.BenchmarkGetOperationKeyVal""",418,7866,27,1,17,113,35,2,0,0,0,0,0,0,0,0,0,2,0,4,0,7,1,4,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
couchbase/moss,benchmark_store_test.go/BenchmarkStore_numItems1M_keySize20_valSize100_batchSize100,"""github.com/couchbase/moss.BenchmarkStore_numItems1M_keySize20_valSize100_batchSize100""",7144,98872,59,1,238,4259,1146,71,4,21,6,21,15,8,0,8,17,117,17,44,17,483,4,17,0,0,22,854,0,20,0,0,14,10,0,4,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,4,1,150,52,0
