project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
limetext/text,buffer_test.go/BenchmarkBufferInsertMid,"""github.com/limetext/text.BenchmarkBufferInsertMid""",884,16186,24,1,41,480,187,10,0,2,6,4,2,1,0,0,0,14,1,8,1,66,0,0,9,1,3,147,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
limetext/text,buffer_test.go/BenchmarkBufferInsertEnd,"""github.com/limetext/text.BenchmarkBufferInsertEnd""",884,16186,24,1,41,480,187,10,0,2,6,4,2,1,0,0,0,14,1,8,1,66,0,0,9,1,3,147,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
limetext/text,buffer_test.go/BenchmarkSubstrR,"""github.com/limetext/text.BenchmarkSubstrR""",986,18120,16,1,49,605,222,16,0,2,7,5,2,1,0,0,0,19,1,9,1,82,0,0,9,1,3,188,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
limetext/text,buffer_test.go/BenchmarkTextPoint,"""github.com/limetext/text.BenchmarkTextPoint""",901,16308,18,1,43,502,194,12,0,2,7,5,2,1,0,0,0,15,1,9,1,67,0,0,9,1,3,151,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
limetext/text,buffer_test.go/BenchmarkBufferInsertRand,"""github.com/limetext/text.BenchmarkBufferInsertRand""",901,16508,25,1,43,490,191,11,0,2,6,4,2,1,0,0,0,14,1,9,1,66,0,0,9,1,3,149,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
limetext/text,buffer_test.go/BenchmarkBufferInsertBegin,"""github.com/limetext/text.BenchmarkBufferInsertBegin""",867,16064,26,1,40,472,185,10,0,2,5,3,2,1,0,0,0,13,1,8,1,65,0,0,9,1,3,145,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
limetext/text,buffer_test.go/BenchmarkRowCol,"""github.com/limetext/text.BenchmarkRowCol""",901,16308,15,1,43,494,189,11,0,2,7,5,2,1,0,0,0,15,1,10,1,67,0,0,9,1,3,150,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
limetext/text,buffer_test.go/BenchmarkSubstr,"""github.com/limetext/text.BenchmarkSubstr""",1003,18572,15,1,50,607,224,16,0,2,7,5,2,1,0,0,0,19,1,9,1,82,0,0,9,1,3,189,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
limetext/text,buffer_test.go/BenchmarkLine,"""github.com/limetext/text.BenchmarkLine""",884,16316,13,1,41,509,189,12,0,2,6,4,2,1,0,0,0,14,1,7,1,70,0,0,9,1,3,159,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
limetext/text,regionset_test.go/BenchmarkRegionSetAddAllBig,"""github.com/limetext/text.BenchmarkRegionSetAddAllBig""",289,2541,27,1,13,126,70,7,1,0,0,0,0,0,0,0,0,5,0,3,0,12,0,0,0,0,2,43,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
limetext/text,buffer_test.go/BenchmarkWord,"""github.com/limetext/text.BenchmarkWord""",952,17476,13,1,45,585,212,14,0,2,7,5,2,1,0,0,0,19,1,7,1,82,0,0,9,1,3,184,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
