project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
segmentio/objconv,encode_test.go/BenchmarkEncoder,"""github.com/segmentio/objconv.BenchmarkEncoder""",5286,295515,16,1,650,6328,2120,81,13,0,0,0,0,0,0,0,0,188,19,74,21,584,90,422,33,0,1,1773,0,42,0,0,21,12,0,0,0,69,2,12,0,0,17,0,0,0,0,0,0,0,0,2,0,0,5,11,23,0,0
segmentio/objconv,/json/json_test.go/BenchmarkCodec,"""github.com/segmentio/objconv/json.BenchmarkCodec""",5286,295515,14,1,650,6328,2120,81,13,0,0,0,0,0,0,0,0,188,19,74,21,584,90,422,33,0,1,1773,0,42,0,0,21,12,0,0,0,69,2,12,0,0,17,0,0,0,0,0,0,0,0,2,0,0,5,11,23,0,0
segmentio/objconv,/objutil/duration_test.go/BenchmarkAppendDuration,"""github.com/segmentio/objconv/objutil.BenchmarkAppendDuration""",5286,295515,23,1,650,6328,2120,81,13,0,0,0,0,0,0,0,0,188,19,74,21,584,90,422,33,0,1,1773,0,42,0,0,21,12,0,0,0,69,2,12,0,0,17,0,0,0,0,0,0,0,0,2,0,0,5,11,23,0,0
segmentio/objconv,/json/bench_test.go/BenchmarkUnmarshalFloat64,"""github.com/segmentio/objconv/json.BenchmarkUnmarshalFloat64""",2806,176431,25,1,410,4049,1166,35,1,0,0,0,0,0,0,0,0,128,5,48,9,400,72,353,25,0,0,1146,0,10,0,0,10,6,0,0,0,8,1,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0
segmentio/objconv,/objutil/int_test.go/BenchmarkParseUintHex,"""github.com/segmentio/objconv/objutil.BenchmarkParseUintHex""",5286,295515,21,1,650,6328,2120,81,13,0,0,0,0,0,0,0,0,188,19,74,21,584,90,422,33,0,1,1773,0,42,0,0,21,12,0,0,0,69,2,12,0,0,17,0,0,0,0,0,0,0,0,2,0,0,5,11,23,0,0
segmentio/objconv,/objutil/int_test.go/BenchmarkParseInt,"""github.com/segmentio/objconv/objutil.BenchmarkParseInt""",5286,295515,17,1,650,6328,2120,81,13,0,0,0,0,0,0,0,0,188,19,74,21,584,90,422,33,0,1,1773,0,42,0,0,21,12,0,0,0,69,2,12,0,0,17,0,0,0,0,0,0,0,0,2,0,0,5,11,23,0,0
segmentio/objconv,/json/bench_test.go/BenchmarkUnmarshalInt64,"""github.com/segmentio/objconv/json.BenchmarkUnmarshalInt64""",2806,176431,23,1,410,4049,1166,35,1,0,0,0,0,0,0,0,0,128,5,48,9,400,72,353,25,0,0,1146,0,10,0,0,10,6,0,0,0,8,1,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0
segmentio/objconv,/json/bench_test.go/BenchmarkUnmarshalString,"""github.com/segmentio/objconv/json.BenchmarkUnmarshalString""",2806,176431,24,1,410,4049,1166,35,1,0,0,0,0,0,0,0,0,128,5,48,9,400,72,353,25,0,0,1146,0,10,0,0,10,6,0,0,0,8,1,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0
segmentio/objconv,/msgpack/msgpack_test.go/BenchmarkCodec,"""github.com/segmentio/objconv/msgpack.BenchmarkCodec""",5286,295515,14,1,650,6328,2120,81,13,0,0,0,0,0,0,0,0,188,19,74,21,584,90,422,33,0,1,1773,0,42,0,0,21,12,0,0,0,69,2,12,0,0,17,0,0,0,0,0,0,0,0,2,0,0,5,11,23,0,0
segmentio/objconv,/json/bench_test.go/BenchmarkCodeDecoder,"""github.com/segmentio/objconv/json.BenchmarkCodeDecoder""",2840,178666,20,1,413,4090,1190,35,1,0,0,0,0,0,0,0,0,129,6,47,9,405,72,353,30,0,1,1155,0,14,0,0,10,6,0,0,0,9,2,5,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,5,13,0,0
